school_name,district_name,city_name,total_students,frl_eligible_students,national_school_lunch_program
Academy Charter School,Matanuska-Susitna Borough School District,Palmer,268,,No
Airport Heights Elementary,Anchorage School District,Anchorage,240,251,Yes under Community Eligibility Option (CEO)
Ak-Trails Correspondence,Southeast Island School District,Thorne Bay,15,,No
Akchoice K-12 Learning,Anchorage School District,Anchorage,283,,No
Akhiok School,Kodiak Island Borough School District,Akhiok,13,14,Yes under Community Eligibility Option (CEO)
Akiachak School,Yupiit School District,Akiachak,254,259,Yes under Community Eligibility Option (CEO)
Akiak School,Yupiit School District,Akiak,135,142,Yes under Community Eligibility Option (CEO)
Akiuk Memorial School,Lower Kuskokwim School District,Kasigluk,73,75,Yes under Community Eligibility Option (CEO)
Akteach,Kodiak Island Borough School District,Kodiak,199,,No
Akula Elitnaurvik School,Lower Kuskokwim School District,Kasigluk,118,123,Yes under Community Eligibility Option (CEO)
Akutan School,Aleutians East Borough School District,Akutan,16,,No
Alak School,North Slope Borough School District,Wainwright,138,47,Yes under Community Eligibility Option (CEO)
Alakanuk School,Lower Yukon School District,Alakanuk,248,225,Yes under Community Eligibility Option (CEO)
Alaska Homeschool,Delta/Greely School District,Delta Junction,378,,No
Alaska Middle College School,Anchorage School District,Eagle River,272,,No
Alaska Native Cultural Charter School,Anchorage School District,Anchorage,357,304,Yes under Community Eligibility Option (CEO)
Alaska Reach Academy,Alaska Gateway School District,Tok,62,,No
Alaska State School for Deaf and Hard of Hearing,Anchorage School District,Anchorage,25,,No
Aleknagik School,Southwest Region School District,Aleknagik,28,29,Yes under Community Eligibility Option (CEO)
Allakaket School,Yukon-Koyukuk School District,Allakaket,27,26,Yes under Community Eligibility Option (CEO)
Alpenglow Elementary,Anchorage School District,Eagle River,278,48,Yes participating without using any Provision or the CEO
Alternative Learning Systems,Fairbanks North Star Borough School District,Fairbanks,184,,No
Ambler School,Northwest Arctic Borough School District,Ambler,60,59,Yes under Community Eligibility Option (CEO)
American Charter Academy,Matanuska-Susitna Borough School District,Wasilla,193,,No
Anchorage Stream Academy,Anchorage School District,Anchorage,183,,No
Anderson Crawford Elementary,Fairbanks North Star Borough School District,Eielson AFB,369,80,Yes participating without using any Provision or the CEO
Anderson School,Denali Borough School District,Anderson,10,,No
Andrew K. Demoski School,Yukon-Koyukuk School District,Nulato,45,41,Yes under Community Eligibility Option (CEO)
Angoon School,Chatham School District,Angoon,70,71,Yes under Community Eligibility Option (CEO)
Aniak Jr/Sr High School,Kuspuk School District,Aniak,50,38,Yes under Community Eligibility Option (CEO)
Aniguiin School,Bering Strait School District,Elim,90,90,Yes under Community Eligibility Option (CEO)
Anna Tobeluk Memorial School,Lower Kuskokwim School District,Nunapitchuk,167,173,Yes under Community Eligibility Option (CEO)
Anne Wien Elementary,Fairbanks North Star Borough School District,Fairbanks,360,168,Yes participating without using any Provision or the CEO
Anthony A. Andrews School,Bering Strait School District,St. Michael,112,121,Yes under Community Eligibility Option (CEO)
Anvil City Science Academy,Nome Public Schools,Nome,60,60,Yes under Community Eligibility Option (CEO)
Aqqaluk High/Noorvik Elementary,Northwest Arctic Borough School District,Noorvik,212,211,Yes under Community Eligibility Option (CEO)
Aquarian Charter School,Anchorage School District,Anchorage,365,,No
Arctic Light Elementary,Fairbanks North Star Borough School District,Fort Wainwright,361,158,Yes participating without using any Provision or the CEO
Arctic Village School,Yukon Flats School District,Arctic Village,24,21,Yes under Community Eligibility Option (CEO)
Auke Bay Elementary,Juneau Borough School District,Juneau,353,46,Yes participating without using any Provision or the CEO
Auntie Mary Nicoli Elementary,Kuspuk School District,Aniak,53,31,Yes under Community Eligibility Option (CEO)
Aurora Borealis Charter School,Kenai Peninsula Borough School District,Kenai,199,,No
Aurora Elementary,Anchorage School District,Jber,359,83,Yes participating without using any Provision or the CEO
Ayagina'Ar Elitnaurvik,Lower Kuskokwim School District,Kongiganak,184,185,Yes under Community Eligibility Option (CEO)
Ayaprun Elitnaurvik,Lower Kuskokwim School District,Bethel,203,153,Yes under Community Eligibility Option (CEO)
Barnette Magnet School,Fairbanks North Star Borough School District,Fairbanks,417,123,Yes participating without using any Provision or the CEO
Barrow High School,North Slope Borough School District,Utqiagvik,259,89,Yes under Community Eligibility Option (CEO)
Barry Craig Stewart Kasaan School,Southeast Island School District,Kasaan,18,14,Yes under Community Eligibility Option (CEO)
