school_name,district_name,city_name,total_students,frl_eligible_students,national_school_lunch_program
A C Moore Primary School,Escambia County,Atmore,216,105,Yes under Community Eligibility Option (CEO)
A M Windham Elementary School,Daleville City,Daleville,507,383,Yes under Community Eligibility Option (CEO)
Abbeville Elementary School,Henry County,Abbeville,338,253,Yes under Community Eligibility Option (CEO)
Abbeville High School,Henry County,Abbeville,266,215,Yes under Community Eligibility Option (CEO)
Abc Elementary,Wilcox County,Alberta,103,83,Yes under Community Eligibility Option (CEO)
Abrams Elementary School,Bessemer City,Bessemer,231,183,Yes under Community Eligibility Option (CEO)
Academy for Academics and Arts Middle School,Huntsville City,Huntsville,270,118,Yes under Community Eligibility Option (CEO)
Academy for Academics Arts Elementary School,Huntsville City,Huntsville,400,193,Yes under Community Eligibility Option (CEO)
Academy for Science Foreign Language,Huntsville City,Huntsville,303,134,Yes under Community Eligibility Option (CEO)
Academy for Science Foreign Language Middle School,Huntsville City,Huntsville,194,93,Yes under Community Eligibility Option (CEO)
Acceleration Day and Evening Academy,MAEF Public Charter Schools,Mobile,513,427,Yes under Community Eligibility Option (CEO)
Acceleration Preparatory Academy,MAEF Public Charter Schools,Mobile,322,269,Yes under Community Eligibility Option (CEO)
Adams Elementary School,Gadsden City,Gadsden,433,393,Yes under Community Eligibility Option (CEO)
Adamsville Elementary School,Jefferson County,Adamsville,288,230,Yes under Community Eligibility Option (CEO)
Addison Elementary School,Winston County,Addison,346,130,Yes under Community Eligibility Option (CEO)
Addison High School,Winston County,Addison,232,96,Yes under Community Eligibility Option (CEO)
Ah Watwood Elementary School,Talladega County,Childersburg,289,207,Yes under Community Eligibility Option (CEO)
Airport Road Intermediate School,Elmore County,Coosada,536,308,Yes under Community Eligibility Option (CEO)
Alabama Aerospace and Aviation High School,Alabama Aerospace and Aviation,Bessemer,161,99,Yes under Community Eligibility Option (CEO)
Alabama Connections Academy,Limestone County,Athens,7822,4835,Yes participating without using any Provision or the CEO
Alabama Destinations Career Academy,Chickasaw City,Chickasaw,1663,1175,Yes participating without using any Provision or the CEO
Alabama Virtual Academy at Eufaula City Schools,Eufaula City,Eufaula,6104,4243,Yes participating without using any Provision or the CEO
Albert P Brewer High School,Morgan County,Somerville,757,408,Yes participating without using any Provision or the CEO
Albertville Elementary School,Albertville City,Albertville,911,628,Yes under Community Eligibility Option (CEO)
Albertville High School,Albertville City,Albertville,1244,798,Yes under Community Eligibility Option (CEO)
Albertville Innovation Academy,Albertville City,Albertville,507,305,Yes under Community Eligibility Option (CEO)
Albertville Intermediate School,Albertville City,Albertville,843,570,Yes under Community Eligibility Option (CEO)
Albertville Kindergarten and Prek,Albertville City,Albertville,566,304,Yes under Community Eligibility Option (CEO)
Albertville Middle School,Albertville City,Albertville,849,562,Yes under Community Eligibility Option (CEO)
Albertville Primary School,Albertville City,Albertville,990,654,Yes under Community Eligibility Option (CEO)
Alexander City Middle School,Alexander City,Alexander City,430,313,Yes under Community Eligibility Option (CEO)
