school_name,district_name,city_name,total_students,frl_eligible_students,national_school_lunch_program
Academies at Rivercrest High School,Rivercrest School District,Wilson,351,351,Yes under Community Eligibility Option (CEO)
Academies of Math and Science School,Academies of Math and Science,Little Rock,486,341,Yes participating without using any Provision or the CEO
Acorn Elementary School,Ouachita River School District,Mena,321,254,Yes participating without using any Provision or the CEO
Acorn High School,Ouachita River School District,Mena,281,182,Yes participating without using any Provision or the CEO
Adkins Preschool Center,Jacksonville North Pulaski School District,Jacksonville,228,133,No
Adventure Online Academy,Waldron School District,Waldron,35,28,Yes participating without using any Provision or the CEO
Agee Lierly Life Preparation Services School,Fayetteville School District,Fayetteville,250,158,Yes participating without using any Provision or the CEO
Ahlf Junior High School,Searcy School District,Searcy,576,285,Yes participating without using any Provision or the CEO
Albert J. Murphy Junior High School,Genoa Central School District,Texarkana,287,94,Yes participating without using any Provision or the CEO
Allbritton Elementary School,Hamburg School District,Hamburg,293,188,Yes participating without using any Provision or the CEO
Alma High School,Alma School District,Alma,981,411,Yes participating without using any Provision or the CEO
Alma Intermediate School,Alma School District,Alma,685,347,Yes participating without using any Provision or the CEO
Alma Middle School,Alma School District,Alma,722,347,Yes participating without using any Provision or the CEO
Alma Primary School,Alma School District,Alma,704,357,Yes participating without using any Provision or the CEO
Alpena Elementary School,Alpena School District,Alpena,219,156,Yes participating without using any Provision or the CEO
Alpena High School,Alpena School District,Alpena,183,113,Yes participating without using any Provision or the CEO
Amanda Gist Elementary School,Cotter School District,Cotter,374,374,Yes under Community Eligibility Option (CEO)
Amboy Elementary School,North Little Rock School District,North Little Rock,456,456,Yes under Community Eligibility Option (CEO)
Angie Grant Elementary School,Benton School District,Benton,340,225,Yes participating without using any Provision or the CEO
Anna Strong Learning Academy,Lee County School District,Marianna,417,416,Yes under Community Eligibility Option (CEO)
Anne Watson Elementary School,East End School District,Bigelow,357,258,Yes participating without using any Provision or the CEO
Annie Camp Junior High School,Jonesboro School District,Jonesboro,701,701,Yes under Community Eligibility Option (CEO)
Apple Glen Elementary School,Bentonville School District,Bentonville,497,97,Yes participating without using any Provision or the CEO
Ardis Ann Middle School,Bentonville School District,Bentonville,576,100,Yes participating without using any Provision or the CEO
Arkadelphia High School,Arkadelphia School District,Arkadelphia,534,253,Yes participating without using any Provision or the CEO
Arkansas Arts Academy Elementary,Arkansas Arts Academy,Rogers,523,229,Yes participating without using any Provision or the CEO
Arkansas Arts Academy High School,Arkansas Arts Academy,Rogers,422,158,Yes participating without using any Provision or the CEO
Arkansas Connections Academy High,Arkansas Connections Academy,Bentonville,4575,1647,Yes participating without using any Provision or the CEO
Arkansas Consolidate High School - Vera Lloyd,Division of Youth Services School System,Monticello,10,7,Yes participating without using any Provision or the CEO
Arkansas Consolidated High School - Lewisville,Division of Youth Services School System,Lewisville,23,20,Yes participating without using any Provision or the CEO
Arkansas Consolidated High School-Alexander,Division of Youth Services School System,Alexander,106,103,Yes participating without using any Provision or the CEO
Arkansas Consolidated High School-Dermott,Division of Youth Services School System,Dermott,16,13,Yes participating without using any Provision or the CEO
Arkansas Consolidated High School-Harrisburg,Division of Youth Services School System,Harrisburg,19,16,Yes participating without using any Provision or the CEO
Arkansas Consolidated High School-Mansfield,Division of Youth Services School System,Mansfield,36,33,Yes participating without using any Provision or the CEO
Arkansas High School,Texarkana School District,Texarkana,1092,1092,Yes under Community Eligibility Option (CEO)
Arkansas Middle School,Texarkana School District,Texarkana,842,842,Yes under Community Eligibility Option (CEO)
Arkansas Military and First Responders Academy (Amfra),Arkansas Military and First Responders Academy (Amfra),Little Rock,176,106,Yes participating without using any Provision or the CEO
Arkansas School for the Blind Elem,Arkansas School for the Blind,Little Rock,30,21,Yes participating without using any Provision or the CEO
Arkansas School for the Blind High School,Arkansas School for the Blind,Little Rock,32,13,Yes participating without using any Provision or the CEO
Arkansas Virtual Academy Elementary,Arkansas Virtual Academy,Little Rock,1387,896,Yes participating without using any Provision or the CEO
Arkansas Virtual Academy High School,Arkansas Virtual Academy,Little Rock,2567,1360,Yes participating without using any Provision or the CEO
Arkansas Virtual Academy Middle School,Arkansas Virtual Academy,Little Rock,1315,740,Yes participating without using any Provision or the CEO
Armorel Elementary School,Armorel School District,Blytheville,234,145,Yes participating without using any Provision or the CEO
Armorel High School,Armorel School District,Blytheville,204,108,Yes participating without using any Provision or the CEO
Asbell Elementary School,Fayetteville School District,Fayetteville,319,279,Yes participating without using any Provision or the CEO
Ashdown Elementary School,Ashdown School District,Ashdown,621,451,Yes participating without using any Provision or the CEO
Ashdown High School,Ashdown School District,Ashdown,382,261,Yes participating without using any Provision or the CEO
Ashdown Junior High School,Ashdown School District,Ashdown,278,197,Yes participating without using any Provision or the CEO
Atkins Elementary School,Atkins School District,Atkins,370,276,Yes under Provision 2
Atkins High School,Atkins School District,Atkins,317,215,Yes under Provision 2
Atkins Middle School,Atkins School District,Atkins,264,183,Yes under Provision 2
Augusta Elementary School,Augusta School District,Augusta,184,184,Yes under Community Eligibility Option (CEO)
Augusta High School,Augusta School District,Augusta,145,145,Yes under Community Eligibility Option (CEO)
Baker Elementary School,Pulaski County Special School District,Little Rock,407,106,Yes participating without using any Provision or the CEO
Bald Knob High School,Bald Knob School District,Bald Knob,326,170,Yes participating without using any Provision or the CEO
Bald Knob Middle School,Bald Knob School District,Bald Knob,216,125,Yes participating without using any Provision or the CEO
Baldwin Elementary School,Paragould School District,Paragould,221,221,Yes under Community Eligibility Option (CEO)
Bale Elementary School,Little Rock School District,Little Rock,330,327,Yes under Provision 2
Ballman Elementary School,Fort Smith School District,Fort Smith,286,192,Yes participating without using any Provision or the CEO
Barling Elementary School,Fort Smith School District,Barling,316,247,Yes participating without using any Provision or the CEO
Barton Elementary School,Barton School District,Lexa,342,342,Yes under Community Eligibility Option (CEO)
Barton High School,Barton School District,Lexa,322,322,Yes under Community Eligibility Option (CEO)
Barton Jr. High School,El Dorado School District,El Dorado,540,353,Yes under Provision 2
Batesville High School Charter,Batesville School District,Batesville,986,594,Yes participating without using any Provision or the CEO
Batesville Junior High School Charter,Batesville School District,Batesville,690,468,Yes participating without using any Provision or the CEO
Bauxite High School,Bauxite School District,Bauxite,551,173,Yes participating without using any Provision or the CEO
Bauxite Middle School,Bauxite School District,Bauxite,413,165,Yes participating without using any Provision or the CEO
Bay Elementary School,Bay School District,Bay,317,192,Yes participating without using any Provision or the CEO
Bay High School,Bay School District,Bay,233,114,Yes participating without using any Provision or the CEO
Bayou Meto Elementary School,Jacksonville North Pulaski School District,Jacksonville,416,202,Yes under Provision 2
Bayyari Elementary School,Springdale School District,Springdale,543,502,Yes participating without using any Provision or the CEO
Beard Elementary School,Fort Smith School District,Fort Smith,297,232,Yes participating without using any Provision or the CEO
Bearden Elementary School,Bearden School District,Bearden,219,216,Yes under Provision 2
Bearden High School,Bearden School District,Bearden,227,224,Yes under Provision 2
Beebe Early Childhood,Beebe School District,Beebe,439,283,Yes participating without using any Provision or the CEO
Beebe Elementary School,Beebe School District,Beebe,904,576,Yes participating without using any Provision or the CEO
Beebe High School,Beebe School District,Beebe,1049,504,Yes participating without using any Provision or the CEO
Beebe Junior High School,Beebe School District,Beebe,491,259,Yes participating without using any Provision or the CEO
Beebe Middle School,Beebe School District,Beebe,509,288,Yes participating without using any Provision or the CEO
Belle Point Alternative Center,Fort Smith School District,Fort Smith,39,36,Yes participating without using any Provision or the CEO
Bellview Elementary,Rogers School District,Rogers,382,77,Yes participating without using any Provision or the CEO
Benton High School,Benton School District,Benton,1298,392,Yes participating without using any Provision or the CEO
Benton Junior High School,Benton School District,Benton,971,355,Yes participating without using any Provision or the CEO
Benton Middle School,Benton School District,Benton,1363,592,Yes participating without using any Provision or the CEO
Bentonville High School,Bentonville School District,Bentonville,3579,526,Yes participating without using any Provision or the CEO
Bentonville West High School,Bentonville School District,Bentonville,2661,563,Yes participating without using any Provision or the CEO
Bergman Elementary School,Bergman School District,Harrison,474,311,Yes participating without using any Provision or the CEO
Bergman High School,Bergman School District,Harrison,297,139,Yes participating without using any Provision or the CEO
Bergman Middle School,Bergman School District,Harrison,331,196,Yes participating without using any Provision or the CEO
Bernice Young Elementary,Springdale School District,Springdale,536,198,Yes participating without using any Provision or the CEO
Berryville Elementary School,Berryville School District,Berryville,423,319,Yes participating without using any Provision or the CEO
Berryville High School,Berryville School District,Berryville,547,387,Yes participating without using any Provision or the CEO
Berryville Intermediate School,Berryville School District,Berryville,406,298,Yes participating without using any Provision or the CEO
Berryville Middle School,Berryville School District,Berryville,421,280,Yes participating without using any Provision or the CEO
Beryl Henry Upper Elementary School,Hope School District,Hope,198,198,Yes under Community Eligibility Option (CEO)
Bethel Middle School,Bryant School District,Alexander,762,363,Yes participating without using any Provision or the CEO
Bigelow High School,East End School District,Bigelow,317,213,Yes participating without using any Provision or the CEO
Bismarck Elementary School,Bismarck School District,Bismarck,379,252,Yes participating without using any Provision or the CEO
Bismarck High School,Bismarck School District,Bismarck,317,198,Yes participating without using any Provision or the CEO
Bismarck Middle School,Bismarck School District,Bismarck,338,235,Yes participating without using any Provision or the CEO
Blevins High School,Blevins School District,Blevins,183,153,Yes participating without using any Provision or the CEO
Blytheville Chickasaw Preparatory Academy (Bcpa),Blytheville School District,Blytheville,104,104,Yes under Community Eligibility Option (CEO)
Blytheville Elementary School,Blytheville School District,Blytheville,307,307,Yes under Community Eligibility Option (CEO)
Blytheville High School,Blytheville School District,Blytheville,369,369,Yes under Community Eligibility Option (CEO)
