school_name,district_name,city_name,total_students,frl_eligible_students,national_school_lunch_program
A J Mitchell Elementary School,Nogales Unified District (4457),Nogales,301,,Yes under Community Eligibility Option (CEO)
A+ Charter Schools,A+ Charter Schools (1000166),Maricopa,370,,No
Aaec - Paradise Valley,Arizona Agribusiness & Equine Center Inc. (4331),Phoenix,269,,No
Aaec - Smcc Campus,Arizona Agribusiness & Equine Center Inc. (85816),Phoenix,426,,Yes under Community Eligibility Option (CEO)
Aaec Online,Arizona Agribusiness & Equine Center INC. (134379),Mesa,51,,No
Abia Judd Elementary School,Prescott Unified District (4466),Prescott,471,,Yes participating without using any Provision or the CEO
Abraham Lincoln Traditional School,Washington Elementary School District (4260),Phoenix,593,,Yes under Community Eligibility Option (CEO)
Acacia Elementary School,Washington Elementary School District (4260),Phoenix,806,,Yes under Community Eligibility Option (CEO)
Acacia Elementary School,Vail Unified District (4413),Vail,783,,Yes participating without using any Provision or the CEO
Academy Adventures Midtown,Ed Ahead (90506),Tucson,25,,Yes under Community Eligibility Option (CEO)
Academy Del Sol,Academy Del Sol Inc. (90199),Tucson,171,,Yes under Community Eligibility Option (CEO)
Academy Del Sol - Star Valley,Academy Del Sol Inc. (90199),Tucson,558,,Yes under Community Eligibility Option (CEO)
Academy of Building Industries,Academy of Building Industries Inc. (85540),Fort Mohave,108,,No
Academy of Math and Science,Academy of Mathematics and Science Inc. (79961),Tucson,580,,Yes under Community Eligibility Option (CEO)
Academy of Math and Science Avondale,Academy of Mathematics and Science South Inc. (90878),Phoenix,1175,,Yes under Community Eligibility Option (CEO)
Academy of Math and Science Camelback,Academy of Mathematics and Science Inc. (92768),Phoenix,1063,,Yes under Community Eligibility Option (CEO)
Academy of Math and Science Desert Sky,Academy of Mathematics and Science South Inc. (90878),Phoenix,1339,,Yes under Community Eligibility Option (CEO)
Academy of Math and Science Glendale,Academy of Mathematics and Science South Inc. (90878),Glendale,1085,,Yes under Community Eligibility Option (CEO)
Academy of Math and Science Peoria Advanced,Academy of Mathematics and Science South Inc. (90878),Peoria,1030,,Yes under Community Eligibility Option (CEO)
Academy of Math and Science South Mountain,Academy of Mathematics and Science South Inc. (90878),Phoenix,960,,Yes under Community Eligibility Option (CEO)
Academy of Mathematics and Science South,Academy of Mathematics and Science South Inc. (90878),Phoenix,578,,Yes under Community Eligibility Option (CEO)
Academy of Tucson Elementary School,Academy of Tucson Inc. (78897),Tucson,140,,Yes under Community Eligibility Option (CEO)
Academy of Tucson High School,Academy of Tucson Inc. (78897),Tucson,152,,Yes participating without using any Provision or the CEO
Academy of Tucson Middle School,Academy of Tucson Inc. (78897),Tucson,143,,Yes under Community Eligibility Option (CEO)
Academy with Community Partners,Academy with Community Partners-Arizona Inc (79213),Mesa,170,,No
Accelerated Learning Center,Accelerated Learning Center Inc. (4297),Phoenix,133,,No
Acclaim Academy,Acclaim Charter School (4325),Phoenix,249,,Yes under Provision 2
Acorn Montessori Charter School,Acorn Montessori Charter School (79437),Prescott Valley,294,,Yes under Community Eligibility Option (CEO)
Acorn Montessori Charter School Inc. - West,Acorn Montessori Charter School (79437),Prescott Valley,266,,Yes under Community Eligibility Option (CEO)
Adams Elementary School,Mesa Unified District (4235),Mesa,667,,Yes under Community Eligibility Option (CEO)
Adams Traditional Academy,Choice Academies Inc. (90138),Phoenix,532,,Yes participating without using any Provision or the CEO
Advance U,Kaizen Education Foundation dba Advance U (91329),Phoenix,72,,Yes under Community Eligibility Option (CEO)
Adventure School,Educational Impact Inc. (81123),Tucson,141,,Yes under Community Eligibility Option (CEO)
Agua Caliente School,Tanque Verde Unified District (4408),Tucson,449,,Yes participating without using any Provision or the CEO
Agua Fria High School,Agua Fria Union High School District (4289),Avondale,1535,,Yes participating without using any Provision or the CEO
Aguila Elementary School,Aguila Elementary District (4249),Aguila,124,,Yes under Community Eligibility Option (CEO)
Aguila Pre-School,Aguila Elementary District (4249),Aguila,17,,No
Aguilar School,Tempe School District (4258),Tempe,350,,Yes under Community Eligibility Option (CEO)
Ajo Elementary School,Ajo Unified District (4409),Ajo,258,,Yes under Provision 2
Ajo High School,Ajo Unified District (4409),Ajo,139,,Yes under Provision 2
Akimel O'Otham Pee Posh (3-5),Akimel O'Otham Pee Posh Charter School Inc. (78966),Coolidge,10,,No
Akimel O'Otham Pee Posh (K-2),Akimel O Otham Pee Posh Charter School Inc. (5978),Coolidge,46,,No
Alchesay High School,Whiteriver Unified District (4394),Whiteriver,742,,Yes under Community Eligibility Option (CEO)
Alhambra High School,Phoenix Union High School District (4286),Phoenix,2169,,Yes under Community Eligibility Option (CEO)
Alhambra Preschool Academy,Alhambra Elementary District (4280),Phoenix,99,,Yes under Community Eligibility Option (CEO)
Alhambra Traditional School,Alhambra Elementary District (4280),Phoenix,733,,Yes under Community Eligibility Option (CEO)
Alice Byrne Elementary School,Yuma Elementary District (4499),Yuma,289,,Yes participating without using any Provision or the CEO
Alice Vail Middle School,Tucson Unified District (4403),Tucson,573,,Yes under Community Eligibility Option (CEO)
Alpine Elementary School,Alpine Elementary District (4161),Alpine,56,,No
