school_name,district_name,city_name,total_students,frl_eligible_students,national_school_lunch_program,admin_approved
'O Me-Nok Learning Center,Del Norte County Unified,Klamath,86,75,Yes under Community Eligibility Option (CEO),false
21st Century Learning Institute,Beaumont Unified,Beaumont,314,226,,false
A. E. Arnold Elementary,Cypress Elementary,Cypress,560,297,Yes under Community Eligibility Option (CEO),false
A. G. Cook Elementary,Garden Grove Unified,Garden Grove,345,223,Yes under Community Eligibility Option (CEO),false
A. H. Morgan Elementary,Rialto Unified,Rialto,487,417,Yes under Community Eligibility Option (CEO),false
A. J. Dorsa Elementary,Alum Rock Union Elementary,San Jose,284,256,Yes under Community Eligibility Option (CEO),false
A. L. Conner Elementary,Kings Canyon Joint Unified,Orange Cove,308,301,Yes under Community Eligibility Option (CEO),false
A. M. Thomas Middle,Lost Hills Union Elementary,Lost Hills,90,87,,true
A. M. Winn Waldorf-Inspired,Sacramento City Unified,Sacramento,405,235,Yes under Community Eligibility Option (CEO),true
Abbott Middle,San Mateo-Foster City,San Mateo,721,440,Yes under Provision 2,false
Abby Reinke Elementary,Temecula Valley Unified,Temecula,559,145,Yes participating without using any Provision or the CEO,false
Abc Secondary (Alternative),ABC Unified,Cerritos,17,11,,true
Able Charter,ABLE Charter District,Stockton,1186,951,Yes under Community Eligibility Option (CEO),true
Abraham Lincoln,Paramount Unified,Paramount,502,474,Yes under Community Eligibility Option (CEO),false
Abraham Lincoln Alternative,Southern Kern Unified,Rosamond,71,47,,true
Abraham Lincoln Continuation,Riverside Unified,Riverside,148,140,Yes under Community Eligibility Option (CEO),true
Abraham Lincoln Elementary,Colton Joint Unified,Colton,587,534,Yes under Community Eligibility Option (CEO),false
Abraham Lincoln Elementary,Newport-Mesa Unified,Corona Del Mar,336,118,Yes participating without using any Provision or the CEO,false
Abraham Lincoln Elementary,Cupertino Union,Cupertino,662,95,Yes participating without using any Provision or the CEO,false
Abraham Lincoln Elementary,Glendale Unified,La Crescenta,495,203,Yes under Community Eligibility Option (CEO),false
Abraham Lincoln Elementary,Desert Sands Unified,Palm Desert,607,526,Yes under Community Eligibility Option (CEO),false
Abraham Lincoln Elementary,Sacramento City Unified,Sacramento,498,393,Yes under Community Eligibility Option (CEO),false
