school_name,district_name,city_name,total_students,frl_eligible_students,national_school_lunch_program
27J Online Academy,School District 27J,Brighton,336,,No
5280 High School,School District No. 1 in the county of Denver and State of C,Denver,109,41,Yes participating without using any Provision or the CEO
70 Online,Pueblo County School District 70,Pueblo,209,143,Yes participating without using any Provision or the CEO
Abraham Lincoln High School,School District No. 1 in the county of Denver and State of C,Denver,965,858,Yes under Community Eligibility Option (CEO)
Abrams Elementary School,Fountain School District No. 8 in the county of El Paso an,Fort Carson,396,255,Yes participating without using any Provision or the CEO
Academia Ana Marie Sandoval,School District No. 1 in the county of Denver and State of C,Denver,409,158,Yes under Community Eligibility Option (CEO)
Academy 360,School District No. 1 in the county of Denver and State of C,Denver,201,141,Yes under Community Eligibility Option (CEO)
Academy Charter School,Douglas County School District No. Re 1,Castle Rock,581,61,Yes participating without using any Provision or the CEO
Academy Endeavour Elementary School,Academy School District No. 20 in the county of El Paso an,Colorado Springs,347,81,Yes participating without using any Provision or the CEO
Academy for Advanced and Creative Learning,Colorado Springs School District No. 11 in the county of E,Colorado Springs,298,98,Yes participating without using any Provision or the CEO
Academy High School,Mapleton School District No. 1 in the county of Adams & St,Thornton,399,297,Yes under Community Eligibility Option (CEO)
Academy International Elementary School,Academy School District No. 20 in the county of El Paso an,Colorado Springs,368,57,Yes participating without using any Provision or the CEO
Academy of Advanced Learning,State Charter School Institute,Aurora,847,392,Yes under Community Eligibility Option (CEO)
Academy of Arts and Knowledge Elementary,State Charter School Institute,Ft Collins,240,114,Yes under Community Eligibility Option (CEO)
Academy of Charter Schools,State Charter School Institute,Westminster,1887,640,Yes under Community Eligibility Option (CEO)
Academy of Las Animas Online School,Las Animas School District No. Re-1,Pueblo,474,,No
Achieve Academy,Mapleton School District No. 1 in the county of Adams & St,Thornton,370,280,Yes under Community Eligibility Option (CEO)
Achieve Online,Colorado Springs School District No. 11 in the county of E,Colorado Springs,342,220,Yes under Community Eligibility Option (CEO)
Acres Green Elementary School,Douglas County School District No. Re 1,Littleton,341,125,Yes under Community Eligibility Option (CEO)
Adams City High School,School District N. 14 in the county of Adams & State of Colo,Commerce City,1500,1277,Yes under Community Eligibility Option (CEO)
Adams City Middle School,School District N. 14 in the county of Adams & State of Colo,Commerce City,296,269,Yes under Community Eligibility Option (CEO)
Adams Elementary School,Colorado Springs School District No. 11 in the county of E,Colorado Springs,299,265,Yes under Community Eligibility Option (CEO)
Adams Elementary School,Jefferson County School District No. R-1,Westminster,310,130,Yes under Community Eligibility Option (CEO)
Addenbrooke Classical Academy,Jefferson County School District No. R-1,Lakewood,191,49,Yes participating without using any Provision or the CEO
Addenbrooke Classical Grammar School,Jefferson County School District No. R-1,Lakewood,774,,No
Adventure Elementary,Mapleton School District No. 1 in the county of Adams & St,Denver,429,300,Yes under Community Eligibility Option (CEO)
Agate Elementary School,Agate School District No. 300,Agate,53,23,Yes under Community Eligibility Option (CEO)
Agate Junior Senior High School,Agate School District No. 300,Agate,32,21,Yes under Community Eligibility Option (CEO)
Aguilar Elementary School,Aguilar Reorganized School District No. 6,Aguilar,79,65,Yes under Community Eligibility Option (CEO)
Aguilar Junior-Senior High School,Aguilar Reorganized School District No. 6,Aguilar,48,37,Yes under Community Eligibility Option (CEO)
Air Academy High School,Academy School District No. 20 in the county of El Paso an,Usaf Academy,1380,253,Yes participating without using any Provision or the CEO
Akron Elementary School,Akron School District No. R-1,Akron,301,161,Yes under Community Eligibility Option (CEO)
Akron High School,Akron School District No. R-1,Akron,110,49,Yes under Community Eligibility Option (CEO)
Alameda International Junior/Senior High School,Jefferson County School District No. R-1,Lakewood,1002,655,Yes under Community Eligibility Option (CEO)
Alamosa Alternative Education School,Alamosa School District No. Re-11J,Alamosa,60,57,Yes under Community Eligibility Option (CEO)
Alamosa Elementary School 3-5,Alamosa School District No. Re-11J,Alamosa,473,384,Yes under Community Eligibility Option (CEO)
Alamosa Elementary School K-2,Alamosa School District No. Re-11J,Alamosa,437,331,Yes under Community Eligibility Option (CEO)
Alamosa High School,Alamosa School District No. Re-11J,Alamosa,568,414,Yes under Community Eligibility Option (CEO)
Alamosa Online,Alamosa School District No. Re-11J,Alamosa,29,,No
Alice Terry Elementary School,Sheridan School District No. 2,Englewood,167,140,Yes under Community Eligibility Option (CEO)
Alicia Sanchez International School,Boulder Valley School District No. Re2,Lafayette,321,252,Yes under Community Eligibility Option (CEO)
Allies,El Paso County Colorado School District 49,Colorado Springs,124,45,Yes under Community Eligibility Option (CEO)
Alpine Elementary School,St. Vrain Valley School District No. Re1J,Longmont,388,217,Yes under Community Eligibility Option (CEO)
Alsup Elementary School,School District N. 14 in the county of Adams & State of Colo,Commerce City,492,420,Yes under Community Eligibility Option (CEO)
Alta Vista Charter School,Lamar School District No. Re-2,Lamar,133,59,Yes under Community Eligibility Option (CEO)
Altitude Elementary School,Cherry Creek School District No. 5 in the county of Arapah,Aurora,758,91,Yes under Community Eligibility Option (CEO)
Altona Middle School,St. Vrain Valley School District No. Re1J,Longmont,715,168,Yes participating without using any Provision or the CEO
Altura Elementary School,Aurora Joint District No. 28 of the counties of Adams and A,Aurora,527,492,Yes under Community Eligibility Option (CEO)
American Academy,Douglas County School District No. Re 1,Castle Pines,2803,180,Yes participating without using any Provision or the CEO
American Legacy Academy,Weld County Reorganized School District No. Re-4,Windsor,419,,No
Angevine Middle School,Boulder Valley School District No. Re2,Lafayette,619,307,Yes under Community Eligibility Option (CEO)
Animas High School,State Charter School Institute,Durango,249,66,Yes under Community Eligibility Option (CEO)
Animas Valley Elementary School,Durango School District No. 9-R,Durango,185,70,Yes under Community Eligibility Option (CEO)
Antelope Ridge Elementary School,Cherry Creek School District No. 5 in the county of Arapah,Aurora,549,218,Yes under Community Eligibility Option (CEO)
Antelope Trails Elementary School,Academy School District No. 20 in the county of El Paso an,Colorado Springs,311,61,Yes participating without using any Provision or the CEO
Antonito High School,South Conejos School District No. Re10,Antonito,58,40,Yes under Community Eligibility Option (CEO)
Antonito Middle School,South Conejos School District No. Re10,Antonito,24,21,Yes participating without using any Provision or the CEO
Appleton Elementary School,Mesa County Valley School District No. 51,Grand Junction,439,164,Yes under Community Eligibility Option (CEO)
Aps Early Beginnings - a Zoom Site,Aurora Joint District No. 28 of the counties of Adams and A,Aurora,23,,No
Aragon Elementary School,Fountain School District No. 8 in the county of El Paso an,Fountain,358,268,Yes under Community Eligibility Option (CEO)
Arapahoe High School,Littleton School District No. 6 in the county of Arapahoe,Centennial,1748,294,Yes participating without using any Provision or the CEO
Arapahoe Ridge Elementary School,Adams 12 Five Star Schools,Westminster,465,263,Yes under Community Eligibility Option (CEO)
Arapahoe Ridge High School,Boulder Valley School District No. Re2,Boulder,184,134,Yes under Community Eligibility Option (CEO)
Arickaree Elementary School,Arickaree School District No. R-2,Anton,48,29,Yes under Community Eligibility Option (CEO)
Arickaree Undivided High School,Arickaree School District No. R-2,Anton,34,14,Yes under Community Eligibility Option (CEO)
Arkansas Elementary School,Aurora Joint District No. 28 of the counties of Adams and A,Aurora,432,324,Yes under Community Eligibility Option (CEO)
Arrowhead Elementary School,Cherry Creek School District No. 5 in the county of Arapah,Aurora,499,270,Yes under Community Eligibility Option (CEO)
Arrowwood Elementary School,Douglas County School District No. Re 1,Highlands Ranch,390,87,Yes under Community Eligibility Option (CEO)
Arvada High School,Jefferson County School District No. R-1,Arvada,754,535,Yes under Community Eligibility Option (CEO)
Arvada West High School,Jefferson County School District No. R-1,Arvada,1923,547,Yes under Community Eligibility Option (CEO)
Asbury Elementary School,School District No. 1 in the county of Denver and State of C,Denver,292,68,Yes under Community Eligibility Option (CEO)
Ascend College Prep,Education Reenvisioned BOCES,Colorado Springs,109,,No
Ascent Classical Academy of Douglas County,State Charter School Institute,Lone Tree,852,,No
Ascent Classical Academy of Grand Junction,State Charter School Institute,Grand Junction,457,251,Yes participating without using any Provision or the CEO
