school_name,district_name,city_name,total_students,frl_eligible_students,national_school_lunch_program,admin_approved
A. Baldwin Middle School,Guilford School District,Guilford,463,68,Yes participating without using any Provision or the CEO,false
A. I. Prince Technical High School,Connecticut Technical Education and Career System,Hartford,725,516,Yes under Community Eligibility Option (CEO),true
A. W. Cox School,Guilford School District,Guilford,255,38,Yes participating without using any Provision or the CEO,false
A. Ward Spaulding School,Suffield School District,Suffield,455,59,Yes participating without using any Provision or the CEO,false
A.b. Skane Center,Bridgeport School District,Bridgeport,183,170,Yes under Community Eligibility Option (CEO),false
Academy of Aerospace and Engineering,Capitol Region Education Council,Windsor,767,467,Yes under Community Eligibility Option (CEO),true
Academy of Aerospace and Engineering Elementary,Capitol Region Education Council,Rocky Hill,604,316,Yes under Community Eligibility Option (CEO),false
Academy of Computer Science and Engineering,Capitol Region Education Council,Enfield,550,407,Yes under Community Eligibility Option (CEO),true
Academy of Computer Science and Engineering Middle School,Capitol Region Education Council,East Hartford,669,481,Yes under Community Eligibility Option (CEO),false
Academy of International Studies 6-12,Capitol Region Education Council,Bloomfield,697,446,Yes under Community Eligibility Option (CEO),true
Academy of International Studies Elementary School,Capitol Region Education Council,South Windsor,497,301,Yes under Community Eligibility Option (CEO),false
Academy of Science and Innovation,Capitol Region Education Council,New Britain,767,487,Yes under Community Eligibility Option (CEO),true
Aces at Chase,Area Cooperative Educational Services,Waterbury,556,232,Yes under Community Eligibility Option (CEO),true
Achievement First Bridgeport Academy,Achievement First Bridgeport Academy District,Bridgeport,1090,811,Yes under Community Eligibility Option (CEO),true
Achievement First Hartford Academy,Achievement First Hartford Academy District,Hartford,907,722,Yes under Community Eligibility Option (CEO),true
Aerospace/Hydrospace Engineering and Physical Sciences Magne,Bridgeport School District,Bridgeport,324,233,Yes under Community Eligibility Option (CEO),true
Aiken School,West Hartford School District,West Hartford,408,68,Yes participating without using any Provision or the CEO,false
Albert D. Griswold Middle School,Rocky Hill School District,Rocky Hill,622,139,Yes participating without using any Provision or the CEO,false
Alcott School,Wolcott School District,Wolcott,320,111,Yes participating without using any Provision or the CEO,false
Alfred W. Hanmer School,Wethersfield School District,Wethersfield,280,94,Yes under Community Eligibility Option (CEO),false
Allgrove School,East Granby School District,East Granby,215,22,No,false
Alma E. Pagels School,West Haven School District,West Haven,364,198,Yes under Community Eligibility Option (CEO),false
Amistad Academy,Amistad Academy District,New Haven,1105,868,Yes under Community Eligibility Option (CEO),true
Amity Middle School: Bethany,Regional School District 05,Bethany,373,66,Yes participating without using any Provision or the CEO,false
Amity Middle School: Orange,Regional School District 05,Orange,380,62,Yes participating without using any Provision or the CEO,false
Amity Regional High School,Regional School District 05,Woodbridge,1347,226,Yes participating without using any Provision or the CEO,false
Ana Grace Academy of the Arts,Capitol Region Education Council,Bloomfield,855,584,Yes under Community Eligibility Option (CEO),false
Andover Elementary School,Andover School District,Andover,239,67,Yes participating without using any Provision or the CEO,false
Andrew Avenue School,Naugatuck School District,Naugatuck,221,159,Yes under Community Eligibility Option (CEO),false
Ann Antolini School,New Hartford School District,New Hartford,241,47,Yes participating without using any Provision or the CEO,false
Anna E. Norris School,East Hartford School District,East Hartford,279,196,Yes under Community Eligibility Option (CEO),false
Anna H. Rockwell School,Bethel School District,Bethel,303,111,Yes participating without using any Provision or the CEO,false
Anna Reynolds School,Newington School District,Newington,407,160,Yes participating without using any Provision or the CEO,false
Ansonia High School,Ansonia School District,Ansonia,617,366,Yes under Community Eligibility Option (CEO),false
Ansonia Middle School,Ansonia School District,Ansonia,560,359,Yes under Community Eligibility Option (CEO),true
Arts at the Capitol Theater Magnet School (Act),Eastern Connecticut Regional Educational Service Center (EAS,Willimantic,123,39,Yes under Community Eligibility Option (CEO),true
Ashford School,Ashford School District,Ashford,351,136,Yes participating without using any Provision or the CEO,false
Augusta Lewis Troup School,New Haven School District,New Haven,300,263,Yes under Community Eligibility Option (CEO),true
Avon High School,Avon School District,Avon,946,137,Yes participating without using any Provision or the CEO,false
Avon Middle School,Avon School District,Avon,461,61,Yes participating without using any Provision or the CEO,false
B. W. Tinker School,Waterbury School District,Waterbury,578,432,Yes under Community Eligibility Option (CEO),false
Bacon Academy,Colchester School District,Colchester,572,139,Yes participating without using any Provision or the CEO,false
Bakerville Consolidated School,New Hartford School District,New Hartford,104,13,Yes participating without using any Provision or the CEO,false
Barack H. Obama Magnet University School,New Haven School District,New Haven,343,272,Yes under Community Eligibility Option (CEO),false
Barkhamsted Elementary School,Barkhamsted School District,Barkhamsted,205,49,Yes participating without using any Provision or the CEO,false
Barlow Mountain Elementary School,Ridgefield School District,Ridgefield,377,31,Yes participating without using any Provision or the CEO,false
Barnard Environmental Magnet School,New Haven School District,New Haven,496,381,Yes under Community Eligibility Option (CEO),true
Barnum School,Bridgeport School District,Bridgeport,588,558,Yes under Community Eligibility Option (CEO),true
Bassick High School,Bridgeport School District,Bridgeport,1075,990,Yes under Community Eligibility Option (CEO),true
Bear Path School,Hamden School District,Hamden,385,135,Yes participating without using any Provision or the CEO,false
Beardsley School,Bridgeport School District,Bridgeport,327,278,Yes under Community Eligibility Option (CEO),false
Bedford Middle School,Westport School District,Westport,710,25,No,false
Beecher Road School,Woodbridge School District,Woodbridge,862,109,Yes participating without using any Provision or the CEO,false
Beecher School,New Haven School District,New Haven,462,368,Yes under Community Eligibility Option (CEO),true
Beman Middle School,Middletown School District,Middletown,977,489,Yes under Community Eligibility Option (CEO),false
Benjamin Franklin School,Meriden School District,Meriden,357,245,Yes under Community Eligibility Option (CEO),false
Benjamin Jepson Magnet School,New Haven School District,New Haven,483,373,Yes under Community Eligibility Option (CEO),true
Bennie Dover Jackson Middle School,New London School District,New London,343,323,Yes under Community Eligibility Option (CEO),false
Berlin High School,Berlin School District,Berlin,836,189,Yes participating without using any Provision or the CEO,false
Betances Learning Lab Magnet School,Hartford School District,Hartford,398,182,Yes under Community Eligibility Option (CEO),false
Betances STEM Magnet School,Hartford School District,Hartford,206,151,Yes under Community Eligibility Option (CEO),true
Bethany Community School,Bethany School District,Bethany,430,55,Yes participating without using any Provision or the CEO,false
Bethel High School,Bethel School District,Bethel,1097,348,Yes participating without using any Provision or the CEO,false
Bethel Middle School,Bethel School District,Bethel,758,255,Yes participating without using any Provision or the CEO,false
Bethlehem Elementary School,Regional School District 14,Bethlehem,276,53,Yes participating without using any Provision or the CEO,false
Betsy Ross Arts Magnet School,New Haven School District,New Haven,348,257,Yes under Community Eligibility Option (CEO),true
Bielefield School,Middletown School District,Middletown,251,162,Yes under Community Eligibility Option (CEO),false
Biotechnology Research & Zoological Studies Magnet High Scho,Bridgeport School District,Bridgeport,376,284,Yes under Community Eligibility Option (CEO),true
Birch Grove Primary School,Tolland School District,Tolland,532,102,Yes participating without using any Provision or the CEO,false
Bishop Woods Architecture and Design Magnet School,New Haven School District,New Haven,408,333,Yes under Community Eligibility Option (CEO),true
