school_name,district_name,city_name,total_students,frl_eligible_students,national_school_lunch_program,admin_approved
Achievement Preparatory Academy PCS - Wahler Place ES,Achievement Preparatory Academy PCS,Washington,409,,Yes under Community Eligibility Option (CEO),false
Amidon-Bowen ES,District of Columbia Public Schools,Washington,374,,Yes under Community Eligibility Option (CEO),false
Anacostia HS,District of Columbia Public Schools,Washington,246,,Yes under Community Eligibility Option (CEO),false
Appletree Early Learning Center PCS - Columbia Heights,AppleTree Early Learning PCS,Washington,119,,Yes under Community Eligibility Option (CEO),false
Appletree Early Learning Center PCS - Douglas Knoll,AppleTree Early Learning PCS,Washington,39,,Yes under Community Eligibility Option (CEO),false
Appletree Early Learning Center PCS - Lincoln Park,AppleTree Early Learning PCS,Washington,61,,Yes participating without using any Provision or the CEO,false
Appletree Early Learning Center PCS - Oklahoma Avenue,AppleTree Early Learning PCS,Washington,84,,Yes under Community Eligibility Option (CEO),false
Appletree Early Learning Center PCS - Parklands at Thearc,AppleTree Early Learning PCS,Washington,98,,Yes under Community Eligibility Option (CEO),false
Appletree Early Learning Center PCS - Southwest,AppleTree Early Learning PCS,Washington,54,,Yes under Community Eligibility Option (CEO),false
Appletree Early Learning Center PCS - Spring Valley,AppleTree Early Learning PCS,Washington,113,,Yes participating without using any Provision or the CEO,false
Appletree Early Learning PCS - Waterfront Station,AppleTree Early Learning PCS,Washington,90,,Yes under Community Eligibility Option (CEO),false
Ballou HS,District of Columbia Public Schools,Washington,597,,Yes under Community Eligibility Option (CEO),false
Ballou Stay HS,District of Columbia Public Schools,Washington,278,,Yes under Community Eligibility Option (CEO),false
Bancroft ES,District of Columbia Public Schools,Washington,821,,Yes under Community Eligibility Option (CEO),false
Bard HS Early College Dc (Bard Dc),District of Columbia Public Schools,Washington,331,,Yes under Community Eligibility Option (CEO),false
Barnard ES,District of Columbia Public Schools,Washington,573,,Yes under Community Eligibility Option (CEO),false
Basis Dc PCS,Basis Dc PCS,Washington,692,,Yes participating without using any Provision or the CEO,false
Beers ES,District of Columbia Public Schools,Washington,412,,Yes under Community Eligibility Option (CEO),false
Benjamin Banneker HS,District of Columbia Public Schools,Washington,703,,Yes under Community Eligibility Option (CEO),false
Breakthrough Montessori PCS,Breakthrough Montessori PCS,Washington,383,,Yes participating without using any Provision or the CEO,false
Brent ES,District of Columbia Public Schools,Washington,421,,Yes participating without using any Provision or the CEO,false
Bridges PCS,Bridges PCS,Washington,365,,Yes under Community Eligibility Option (CEO),false
Brightwood ES,District of Columbia Public Schools,Washington,646,,Yes under Community Eligibility Option (CEO),true
Brookland MS,District of Columbia Public Schools,Washington,381,,Yes under Community Eligibility Option (CEO),true
Browne Education Campus,District of Columbia Public Schools,Washington,457,,Yes under Community Eligibility Option (CEO),true
Bruce-Monroe ES at Park View,District of Columbia Public Schools,Washington,448,,Yes under Community Eligibility Option (CEO),false
Bunker Hill ES,District of Columbia Public Schools,Washington,219,,Yes under Community Eligibility Option (CEO),false
Burroughs ES,District of Columbia Public Schools,Washington,331,,Yes under Community Eligibility Option (CEO),false
Burrville ES,District of Columbia Public Schools,Washington,232,,Yes under Community Eligibility Option (CEO),false
C.w. Harris ES,District of Columbia Public Schools,Washington,251,,Yes under Community Eligibility Option (CEO),false
Capital City PCS - HS,Capital City PCS,Washington,348,,Yes participating without using any Provision or the CEO,false
Capital City PCS - Lower School,Capital City PCS,Washington,323,,Yes participating without using any Provision or the CEO,false
Capital City PCS - MS,Capital City PCS,Washington,344,,Yes participating without using any Provision or the CEO,true
Capital Village PCS,Capital Village PCS,Washington,91,,Yes under Community Eligibility Option (CEO),false
Capitol Hill Montessori School at Logan,District of Columbia Public Schools,Washington,503,,Yes under Community Eligibility Option (CEO),false
Cardozo Education Campus,District of Columbia Public Schools,Washington,710,,Yes under Community Eligibility Option (CEO),false
Cedar Tree Academy PCS,Cedar Tree Academy PCS,Washington,399,,Yes under Community Eligibility Option (CEO),false
Center City PCS - Brightwood,Center City PCS,Washington,269,,Yes under Community Eligibility Option (CEO),true
Center City PCS - Capitol Hill,Center City PCS,Washington,257,,Yes under Community Eligibility Option (CEO),true
Center City PCS - Congress Heights,Center City PCS,Washington,251,,Yes under Community Eligibility Option (CEO),true
Center City PCS - Petworth,Center City PCS,Washington,255,,Yes under Community Eligibility Option (CEO),true
Center City PCS - Shaw,Center City PCS,Washington,202,,Yes under Community Eligibility Option (CEO),true
Center City PCS - Trinidad,Center City PCS,Washington,212,,Yes under Community Eligibility Option (CEO),true
Cesar Chavez Public Charter Schools for Public Policy,Cesar Chavez PCS for Public Policy,Washington,367,,Yes under Community Eligibility Option (CEO),false
Cleveland ES,District of Columbia Public Schools,Washington,301,,Yes under Community Eligibility Option (CEO),false
Columbia Heights Education Campus,District of Columbia Public Schools,Washington,1563,,Yes under Community Eligibility Option (CEO),false
Coolidge HS,District of Columbia Public Schools,Washington,1029,,Yes under Community Eligibility Option (CEO),false
Creative Minds International PCS,Creative Minds International PCS,Washington,530,,Yes participating without using any Provision or the CEO,false
Dc Bilingual PCS,DC Bilingual PCS,Washington,622,,Yes participating without using any Provision or the CEO,false
Dc Department of Corrections,DC Jail Education Program,Washington,45,,No,false
Dc Prep PCS - Anacostia ES,DC Prep PCS,Washington,409,,Yes under Community Eligibility Option (CEO),false
Dc Prep PCS - Anacostia MS,DC Prep PCS,Washington,315,,Yes under Community Eligibility Option (CEO),false
Dc Prep PCS - Benning ES,DC Prep PCS,Washington,430,,Yes under Community Eligibility Option (CEO),false
Dc Prep PCS - Benning MS,DC Prep PCS,Washington,318,,Yes under Community Eligibility Option (CEO),true
Dc Prep PCS - Edgewood ES,DC Prep PCS,Washington,401,,Yes under Community Eligibility Option (CEO),false
Dc Prep PCS - Edgewood MS,DC Prep PCS,Washington,308,,Yes under Community Eligibility Option (CEO),true
Dc Scholars PCS,DC Scholars PCS,Washington,478,,Yes under Community Eligibility Option (CEO),true
Dc Wildflower PCS - the Riverseed School,DC Wildflower PCS,Washington,45,,No,false
Deal MS,District of Columbia Public Schools,Washington,1462,,Yes participating without using any Provision or the CEO,false
Digital Pioneers Academy PCS - Capitol Hill,Digital Pioneers Academy PCS,Washington,387,,Yes under Community Eligibility Option (CEO),false
Digital Pioneers Academy PCS - Johenning,Digital Pioneers Academy PCS,Washington,297,,Yes under Community Eligibility Option (CEO),true
District of Columbia International School,District of Columbia International School,Washington,1654,,Yes participating without using any Provision or the CEO,true
Dorothy I. Height ES,District of Columbia Public Schools,Washington,400,,Yes under Community Eligibility Option (CEO),false
Drew ES,District of Columbia Public Schools,Washington,223,,Yes under Community Eligibility Option (CEO),false
Duke Ellington School of the Arts,District of Columbia Public Schools,Washington,589,,Yes under Community Eligibility Option (CEO),false
Dunbar HS,District of Columbia Public Schools,Washington,892,,Yes under Community Eligibility Option (CEO),false
E.l. Haynes PCS - ES,E.L. Haynes PCS,Washington,409,,Yes under Community Eligibility Option (CEO),false
E.l. Haynes PCS - HS,E.L. Haynes PCS,Washington,446,,Yes under Community Eligibility Option (CEO),false
E.l. Haynes PCS - MS,E.L. Haynes PCS,Washington,329,,Yes under Community Eligibility Option (CEO),true
Early Childhood Academy PCS,Early Childhood Academy PCS,Washington,281,,Yes under Community Eligibility Option (CEO),false
Eastern HS,District of Columbia Public Schools,Washington,909,,Yes under Community Eligibility Option (CEO),false
Eaton ES,District of Columbia Public Schools,Washington,436,,Yes participating without using any Provision or the CEO,false
Eliot-Hine MS,District of Columbia Public Schools,Washington,432,,Yes under Community Eligibility Option (CEO),true
Elsie Whitlow Stokes Community Freedom PCS - Brookland,Elsie Whitlow Stokes Community Freedom PCS,Washington,354,,Yes participating without using any Provision or the CEO,false
Elsie Whitlow Stokes Community Freedom PCS - East End,Elsie Whitlow Stokes Community Freedom PCS,Washington,353,,Yes participating without using any Provision or the CEO,false
Excel Academy,District of Columbia Public Schools,Washington,363,,Yes under Community Eligibility Option (CEO),true
Friendship PCS - Armstrong Elementary,Friendship PCS,Washington,239,,Yes under Community Eligibility Option (CEO),false
Friendship PCS - Armstrong Middle,Friendship PCS,Washington,199,,Yes under Community Eligibility Option (CEO),false
Friendship PCS - Blow Pierce Elementary,Friendship PCS,Washington,271,,Yes under Community Eligibility Option (CEO),false
Friendship PCS - Blow Pierce Middle,Friendship PCS,Washington,238,,Yes under Community Eligibility Option (CEO),true
Friendship PCS - Chamberlain Elementary,Friendship PCS,Washington,256,,Yes under Community Eligibility Option (CEO),false
Friendship PCS - Chamberlain Middle,Friendship PCS,Washington,282,,Yes under Community Eligibility Option (CEO),true
Friendship PCS - Collegiate Academy,Friendship PCS,Washington,745,,Yes under Community Eligibility Option (CEO),true
Friendship PCS - Ideal Elementary,Friendship PCS,Washington,212,,Yes under Community Eligibility Option (CEO),false
Friendship PCS - Ideal Middle,Friendship PCS,Washington,172,,Yes under Community Eligibility Option (CEO),false
Friendship PCS - Online Academy,Friendship PCS,Washington,366,,No,true
Friendship PCS - Southeast Elementary,Friendship PCS,Washington,357,,Yes under Community Eligibility Option (CEO),false
Friendship PCS - Southeast Middle,Friendship PCS,Washington,293,,Yes under Community Eligibility Option (CEO),true
Friendship PCS - Technology Preparatory HS,Friendship PCS,Washington,307,,Yes under Community Eligibility Option (CEO),true
Friendship PCS - Woodridge International Elementary,Friendship PCS,Washington,218,,Yes under Community Eligibility Option (CEO),false
Friendship PCS - Woodridge International Middle,Friendship PCS,Washington,223,,Yes under Community Eligibility Option (CEO),true
Garfield ES,District of Columbia Public Schools,Washington,252,,Yes under Community Eligibility Option (CEO),false
Garnet-Patterson Stay HS,District of Columbia Public Schools,Washington,432,,Yes under Community Eligibility Option (CEO),false
Garrison ES,District of Columbia Public Schools,Washington,395,,Yes under Community Eligibility Option (CEO),false
Girls Global Academy PCS,Girls Global Academy PCS,Washington,183,,Yes under Community Eligibility Option (CEO),false
Global Citizens PCS,Global Citizens PCS,Washington,198,,Yes under Community Eligibility Option (CEO),false
Goodwill Excel Center PCS,Goodwill Excel Center PCS,Washington,440,,No,false
H.d. Cooke ES,District of Columbia Public Schools,Washington,406,,Yes under Community Eligibility Option (CEO),false
H.d. Woodson HS,District of Columbia Public Schools,Washington,579,,Yes under Community Eligibility Option (CEO),false
Hardy MS,District of Columbia Public Schools,Washington,631,,Yes participating without using any Provision or the CEO,false
Harmony Dc PCS - School of Excellence,Harmony DC PCS,Washington,182,,Yes under Community Eligibility Option (CEO),false
Hart MS,District of Columbia Public Schools,Washington,374,,Yes under Community Eligibility Option (CEO),true
Hearst ES,District of Columbia Public Schools,Washington,356,,Yes participating without using any Provision or the CEO,false
Hendley ES,District of Columbia Public Schools,Washington,276,,Yes under Community Eligibility Option (CEO),false
Hope Community PCS - Tolson,Hope Community PCS,Washington,232,,Yes participating without using any Provision or the CEO,true
Houston ES,District of Columbia Public Schools,Washington,314,,Yes under Community Eligibility Option (CEO),false
Howard University MS of Mathematics and Science PCS,Howard University Middle School of Mathematics and Science P,Washington,271,,Yes under Community Eligibility Option (CEO),true
Hyde-Addison ES,District of Columbia Public Schools,Washington,400,,Yes participating without using any Provision or the CEO,false
I Dream PCS,I Dream PCS,Washington,99,,Yes participating without using any Provision or the CEO,false
Ida B. Wells MS,District of Columbia Public Schools,Washington,521,,Yes under Community Eligibility Option (CEO),false
Idea PCS,Idea PCS,Washington,350,,Yes under Community Eligibility Option (CEO),false
