school_name,district_name,city_name,total_students,frl_eligible_students,national_school_lunch_program,admin_approved
Academia Antonia Alonso,Academia Antonia Alonso,Newark,910,,Yes under Community Eligibility Option (CEO),false
Academy of Dover Charter School,Academy of Dover Charter School,Dover,443,,Yes under Community Eligibility Option (CEO),false
Allen Frear Elementary School,Caesar Rodney School District,Camden,504,,Yes participating without using any Provision or the CEO,false
Appoquinimink High School,Appoquinimink School District,Middletown,1357,,Yes participating without using any Provision or the CEO,false
Appoquinimink Preschool Center,Appoquinimink School District,Middletown,150,,Yes participating without using any Provision or the CEO,false
Aspira Delaware,Las Americas Aspira Academy,Newark,1471,,Yes participating without using any Provision or the CEO,false
Baltz (Austin D.) Elementary School,Red Clay Consolidated School District,Wilmington,549,,Yes under Community Eligibility Option (CEO),false
Banneker (Benjamin) Elementary School,Milford School District,Milford,540,,Yes under Community Eligibility Option (CEO),false
Beacon Middle School,Cape Henlopen School District,Lewes,427,,Yes participating without using any Provision or the CEO,false
Bedford (Gunning) Middle School,Colonial School District,New Castle,846,,Yes under Community Eligibility Option (CEO),true
Blades Elementary School,Seaford School District,Blades,410,,Yes under Community Eligibility Option (CEO),false
Booker T. Washington Elementary School,Capital School District,Dover,314,,Yes under Community Eligibility Option (CEO),false
Brader (Henry M.) Elementary School,Christina School District,Newark,324,,Yes participating without using any Provision or the CEO,false
Brandywine High School,Brandywine School District,Wilmington,897,,Yes under Community Eligibility Option (CEO),true
Brandywine Springs School,Red Clay Consolidated School District,Wilmington,941,,Yes participating without using any Provision or the CEO,false
Brennen School (The),Christina School District,Newark,419,,Yes participating without using any Provision or the CEO,false
Brick Mill Early Childhood Center,Appoquinimink School District,Middletown,280,,Yes participating without using any Provision or the CEO,false
Brick Mill Elementary School,Appoquinimink School District,Middletown,524,,Yes participating without using any Provision or the CEO,false
Brookside Elementary School,Christina School District,Newark,260,,Yes under Community Eligibility Option (CEO),false
Bryan Allen Stevenson School of Excellence,Bryan Allen Stevenson School of Excellence,Georgetown,208,,Yes participating without using any Provision or the CEO,false
Bunker Hill Elementary School,Appoquinimink School District,Middletown,566,,Yes participating without using any Provision or the CEO,false
Bush (Charles W.) Pre-School,Brandywine School District,Wilmington,317,,Yes under Community Eligibility Option (CEO),false
Caesar Rodney High School,Caesar Rodney School District,Camden,2254,,Yes participating without using any Provision or the CEO,false
Calloway (Cab) School of the Arts,Red Clay Consolidated School District,Wilmington,941,,Yes participating without using any Provision or the CEO,false
Campus Community School,Campus Community School,Dover,409,,Yes participating without using any Provision or the CEO,true
Cantwells Bridge Middle School,Appoquinimink School District,Townsend,852,,Yes participating without using any Provision or the CEO,false
Cape Henlopen High School,Cape Henlopen School District,Lewes,1889,,Yes participating without using any Provision or the CEO,false
Capital Early Childhood Center,Capital School District,Dover,145,,Yes participating without using any Provision or the CEO,false
Carrcroft Elementary School,Brandywine School District,Wilmington,475,,Yes under Community Eligibility Option (CEO),false
Castle Hills Elementary School,Colonial School District,New Castle,462,,Yes under Community Eligibility Option (CEO),false
Cedar Lane Early Childhood Center,Appoquinimink School District,Middletown,265,,Yes participating without using any Provision or the CEO,false
Cedar Lane Elementary School,Appoquinimink School District,Middletown,634,,Yes participating without using any Provision or the CEO,false
Charter School of New Castle,Charter School of New Castle,New Castle,788,,Yes under Community Eligibility Option (CEO),true
Charter School of Wilmington,Charter School of Wilmington,Wilmington,977,,Yes participating without using any Provision or the CEO,true
Chipman (W.t.) Middle School,Lake Forest School District,Harrington,905,,Yes under Community Eligibility Option (CEO),true
Christiana High School,Christina School District,Newark,1425,,Yes participating without using any Provision or the CEO,true
Christina Early Education Center,Christina School District,Newark,362,,Yes under Community Eligibility Option (CEO),false
Claymont Elementary School,Brandywine School District,Claymont,937,,Yes under Community Eligibility Option (CEO),false
Clayton (John M.) Elementary School,Indian River School District,Frankford,446,,Yes participating without using any Provision or the CEO,false
Clayton Elementary School,Smyrna School District,Clayton,487,,Yes participating without using any Provision or the CEO,false
Clayton Intermediate School,Smyrna School District,Clayton,490,,Yes participating without using any Provision or the CEO,false
Concord High School,Brandywine School District,Wilmington,994,,Yes participating without using any Provision or the CEO,false
