school_name,district_name,city_name,total_students,frl_eligible_students,national_school_lunch_program
A Seminole County Virtual School,Seminole,Lake Mary,210,38,No
A. Crawford Mosley High School,Bay,Lynn Haven,1864,553,Yes participating without using any Provision or the CEO
A. Gary Walsingham Academy,Bay,Panama City Beach,470,189,Yes under Community Eligibility Option (CEO)
A. K. Suter Elementary School,Escambia,Pensacola,500,242,Yes participating without using any Provision or the CEO
A. L. Mebane Middle School,Alachua,Alachua,385,193,Yes under Community Eligibility Option (CEO)
A. Philip Randolph Academies,Duval,Jacksonville,349,228,Yes under Community Eligibility Option (CEO)
A.d. Henderson University School & Fau High School,Fau Lab Sch,Boca Raton,1326,307,Yes participating without using any Provision or the CEO
A.quinn Jones Center,Alachua,Gainesville,95,80,Yes under Community Eligibility Option (CEO)
Abess Park Elementary School,Duval,Jacksonville,509,225,Yes under Community Eligibility Option (CEO)
Abraham Lincoln Middle School,Alachua,Gainesville,613,338,Yes under Community Eligibility Option (CEO)
Academic Solutions Academy A,Broward,Coral Springs,204,17,No
Academic Solutions High School,Broward,Coral Springs,224,9,No
Academie Da Vinci Charter School,Pinellas,Dunedin,336,99,Yes participating without using any Provision or the CEO
Academir Charter School East at Doral,Miami-Dade,Doral,463,149,Yes participating without using any Provision or the CEO
Academir Charter School East Middle,Miami-Dade,Doral,92,30,Yes participating without using any Provision or the CEO
Academir Charter School Elementary South,Miami-Dade,Miami,128,67,Yes participating without using any Provision or the CEO
Academir Charter School Middle,Miami-Dade,Miami,299,237,Yes participating without using any Provision or the CEO
Academir Charter School of Math and Science,Miami-Dade,Homestead,436,371,Yes participating without using any Provision or the CEO
Academir Charter School Preparatory,Miami-Dade,Miami,1172,929,Yes participating without using any Provision or the CEO
Academir Charter School West,Miami-Dade,Miami,695,314,Yes participating without using any Provision or the CEO
Academir Middle School of Math and Science,Miami-Dade,Homestead,151,128,Yes participating without using any Provision or the CEO
Academir Preparatory Academy,Miami-Dade,Miami,396,322,Yes participating without using any Provision or the CEO
Academir Preparatory High School,Miami-Dade,Miami,53,16,Yes participating without using any Provision or the CEO
Academir Preparatory of Championsgate,Osceola,Miami,366,202,Yes participating without using any Provision or the CEO
Academy at the Farm,Pasco,Dade City,761,110,Yes under Community Eligibility Option (CEO)
Academy for Advanced Academics,Miami-Dade,Miami,136,59,Yes participating without using any Provision or the CEO
Academy for Innovative Education,Miami-Dade,Miami Springs,1063,498,Yes under Community Eligibility Option (CEO)
Academy of Environmental Science,Citrus,Crystal River,115,39,Yes under Community Eligibility Option (CEO)
Acceleration Academies Llc Homestead,Miami-Dade,Chicago,170,13,No
Acceleration Academies-Central Miami,Miami-Dade,Miami,375,14,No
Acceleration Academy,St. Lucie,Port St Lucie,418,236,Yes participating without using any Provision or the CEO
Acceleration East,Orange,Orlando,212,121,Yes under Community Eligibility Option (CEO)
Acceleration West,Orange,Orlando,246,145,Yes under Community Eligibility Option (CEO)
Access Charter,Orange,Orlando,115,,No
Access to Education,Manatee,Bradenton,44,30,Yes participating without using any Provision or the CEO
Achieve Academy at McMillian,Escambia,Pensacola,260,214,Yes under Community Eligibility Option (CEO)
Achievement Academy,Polk,Lakeland,157,88,Yes under Community Eligibility Option (CEO)
Acreage Pines Elementary School,Palm Beach,Loxahatchee,569,171,Yes under Community Eligibility Option (CEO)
Ada Merritt K-8 Center,Miami-Dade,Miami,780,146,Yes under Community Eligibility Option (CEO)
Addie R. Lewis School,Okaloosa,Valparaiso,653,312,Yes participating without using any Provision or the CEO
Addison Mizner School,Palm Beach,Boca Raton,1184,154,Yes under Community Eligibility Option (CEO)
Adjudicated Youth Facility,Okaloosa,Crestview,7,,Yes participating without using any Provision or the CEO
Advantage Academy of Hillsborough,Hillsborough,Plant City,457,260,Yes under Community Eligibility Option (CEO)
Agenoria S Paschal/Olinda Elementary School,Miami-Dade,Miami,296,201,Yes under Community Eligibility Option (CEO)
Air Base K-8 Center for International Education,Miami-Dade,Homestead,1131,378,Yes under Community Eligibility Option (CEO)
Alachua Elementary School,Alachua,Alachua,323,195,Yes under Community Eligibility Option (CEO)
Alachua Eschool (Virtual Franchise),Alachua,Gainesville,178,81,No
Alachua Learning Academy Elementary,Alachua,Alachua,108,46,Yes participating without using any Provision or the CEO
Alachua Learning Academy Middle,Alachua,Alachua,63,22,Yes participating without using any Provision or the CEO
Alachua Virtual Instruction Program (District Provided),Alachua,Gainesville,29,13,No
Alafia Elementary School,Hillsborough,Valrico,568,151,Yes under Community Eligibility Option (CEO)
Alden Road Excep. Student Center,Duval,Jacksonville,177,52,Yes under Community Eligibility Option (CEO)
Alee Academy Charter School,Lake,Eustis,181,31,Yes participating without using any Provision or the CEO
Alexander Elementary School,Hillsborough,Tampa,579,402,Yes under Community Eligibility Option (CEO)
Alexander W Dreyfoos Junior School of the Arts,Palm Beach,West Palm Beach,1352,215,Yes under Community Eligibility Option (CEO)
Alfred I. Dupont Middle School,Duval,Jacksonville,579,295,Yes under Community Eligibility Option (CEO)
Alice B. Landrum Middle School,St. Johns,Ponte Vedra Beach,918,71,No
Alimacani Elementary School,Duval,Jacksonville,802,187,Yes under Community Eligibility Option (CEO)
Allamanda Elementary School,Palm Beach,Palm Beach Gardens,634,264,Yes under Community Eligibility Option (CEO)
Allapattah Flats K-8,St. Lucie,Port St Lucie,1347,766,Yes participating without using any Provision or the CEO
Allen D Nease Senior High School,St. Johns,Ponte Vedra,2177,144,No
Allen Park Elementary School,Lee,Fort Myers,926,566,Yes under Community Eligibility Option (CEO)
Aloma Elementary,Orange,Winter Park,509,255,Yes under Community Eligibility Option (CEO)
Aloma High Charter,Orange,Winter Park,447,,No
Alonso High School,Hillsborough,Tampa,2863,1016,Yes under Community Eligibility Option (CEO)
Alonzo & Tracy Mourning Senior High School,Miami-Dade,Miami,1633,530,Yes under Community Eligibility Option (CEO)
Alpha Charter of Excellence,Miami-Dade,Miami,262,144,Yes under Community Eligibility Option (CEO)
Alphabet Land-Margate,Broward,Margate,11,,No
Alta Vista Elementary School,Polk,Haines City,780,553,Yes under Community Eligibility Option (CEO)
Alta Vista Elementary School,Sarasota,Sarasota,453,382,Yes participating without using any Provision or the CEO
Altamonte Elementary School,Seminole,Altamonte Springs,577,471,Yes participating without using any Provision or the CEO
Alternative Program Central,Palm Beach,West Palm Beach,12,4,No
Altha Public School,Calhoun,Altha,653,282,Yes under Community Eligibility Option (CEO)
Altoona School,Lake,Altoona,248,204,Yes under Community Eligibility Option (CEO)
Alturas Elementary School,Polk,Alturas,274,208,Yes under Community Eligibility Option (CEO)
Amanecer Elementary School,Lee,Lehigh Acres,1072,720,Yes under Community Eligibility Option (CEO)
Amelia Earhart Elementary School,Miami-Dade,Hialeah,454,292,Yes under Community Eligibility Option (CEO)
American Senior High School,Miami-Dade,Hialeah,1582,808,Yes under Community Eligibility Option (CEO)
Ami Kids Tampa,Hillsborough,Tampa,16,4,No
Amikids Clay County,Clay,Green Cove Springs,32,25,Yes under Community Eligibility Option (CEO)
Amikids Manatee,Manatee,Bradenton,38,34,Yes participating without using any Provision or the CEO
Amikids Maritime Academy,Bay,Panama City,26,6,No
Amos P. Godby High School,Leon,Tallahassee,1388,797,Yes under Community Eligibility Option (CEO)
Anchor Academy,Duval,Atlantic Beach,289,31,Yes under Community Eligibility Option (CEO)
Anclote Elementary School,Pasco,New Port Richey,543,390,Yes under Community Eligibility Option (CEO)
Anclote High School,Pasco,Holiday,1150,609,Yes under Community Eligibility Option (CEO)
Anderson Elementary School,Hillsborough,Tampa,221,120,Yes under Community Eligibility Option (CEO)
Andover Elementary,Orange,Orlando,629,244,Yes under Community Eligibility Option (CEO)
Andover Middle School,Miami-Dade,Miami,379,217,Yes under Community Eligibility Option (CEO)
Andrea Castillo Preparatory Academy,Miami-Dade,Doral,412,84,Yes under Community Eligibility Option (CEO)
Andrew A. Robinson Elementary School,Duval,Jacksonville,459,353,Yes under Community Eligibility Option (CEO)
Andrew Jackson High School,Duval,Jacksonville,839,404,Yes under Community Eligibility Option (CEO)
Andrew Jackson Middle School,Brevard,Titusville,505,250,Yes under Community Eligibility Option (CEO)
Andrews High School,Broward,Pompano Beach,376,23,Yes under Community Eligibility Option (CEO)
Angeline Academy of Innovation,Pasco,Land O Lakes,1088,148,Yes under Community Eligibility Option (CEO)
Ann Storck Center Inc.,Broward,Ft Lauderdale,19,3,No
Anna Maria Elementary School,Manatee,Holmes Beach,190,65,Yes participating without using any Provision or the CEO
Annabel C. Perry PK-8,Broward,Miramar,562,324,Yes under Community Eligibility Option (CEO)
Annette P. Edwins Elementary School,Okaloosa,Fort Walton Beach,490,377,Yes participating without using any Provision or the CEO
Annie Lucy Williams Elementary School,Manatee,Parrish,981,342,Yes participating without using any Provision or the CEO
Annie R. Morgan Elementary School,Duval,Jacksonville,192,144,Yes under Community Eligibility Option (CEO)
Anona Elementary School,Pinellas,Largo,430,169,Yes under Community Eligibility Option (CEO)
Anthony Elementary School,Marion,Anthony,351,246,Yes under Community Eligibility Option (CEO)
Antioch Elementary School,Okaloosa,Crestview,931,469,Yes participating without using any Provision or the CEO
Apalachee Elementary School,Leon,Tallahassee,482,314,Yes under Community Eligibility Option (CEO)
Apalachicola Bay Charter School,Franklin,Apalachicola,356,180,Yes under Community Eligibility Option (CEO)
Apalachicola Forest Youth Academy,Liberty,Bristol,23,,No
Apollo Beach K-8 School,Hillsborough,Apollo Beach,794,253,Yes under Community Eligibility Option (CEO)
Apollo Elementary School,Brevard,Titusville,596,378,Yes under Community Eligibility Option (CEO)
Apollo Middle School,Broward,Hollywood,1143,515,Yes under Community Eligibility Option (CEO)
Apopka Elementary,Orange,Apopka,847,419,Yes under Community Eligibility Option (CEO)
Apopka High,Orange,Apopka,3446,1305,Yes under Community Eligibility Option (CEO)
Apopka Middle,Orange,Apopka,858,463,Yes under Community Eligibility Option (CEO)
Arbor Ridge K-8,Orange,Orlando,756,293,Yes under Community Eligibility Option (CEO)
Arc Broward Inc.,Broward,Sunrise,69,22,Yes under Community Eligibility Option (CEO)
Archcreek Elementary School,Miami-Dade,North Miami,450,293,Yes under Community Eligibility Option (CEO)
