school_name,district_name,city_name,total_students,frl_eligible_students,national_school_lunch_program
A.l. Burruss Elementary School,Marietta City,Marietta,409,195,Yes participating without using any Provision or the CEO
Aaron Cohn Middle School,Muscogee County,Midland,525,280,Yes under Community Eligibility Option (CEO)
Aaron Cohn Regional Youth Detention Center,Department of Juvenile Justice,Midland,19,16,No
Abbotts Hill Elementary School,Fulton County,Duluth,508,89,Yes participating without using any Provision or the CEO
Academy for Classical Education,State Specialty Schools II- Academy For Classical Education,Macon,1808,309,Yes participating without using any Provision or the CEO
Academy of Richmond County High School,Richmond County,Augusta,1178,1002,Yes under Community Eligibility Option (CEO)
Acworth Elementary School,Cobb County,Acworth,499,345,Yes participating without using any Provision or the CEO
Adairsville Elementary School,Bartow County,Adairsville,868,543,Yes participating without using any Provision or the CEO
Adairsville High School,Bartow County,Adairsville,1206,588,Yes participating without using any Provision or the CEO
Adairsville Middle School,Bartow County,Adairsville,862,482,Yes participating without using any Provision or the CEO
Adamson Middle School,Clayton County,Rex,509,509,Yes under Community Eligibility Option (CEO)
Addison Elementary School,Cobb County,Marietta,571,192,Yes participating without using any Provision or the CEO
Albany Middle School,Dougherty County,Albany,792,792,Yes under Community Eligibility Option (CEO)
Alcova Elementary School,Gwinnett County,Dacula,1467,1029,Yes participating without using any Provision or the CEO
Alcovy High School,Newton County,Covington,1968,1827,Yes under Community Eligibility Option (CEO)
Alexander High School,Douglas County,Douglasville,1830,957,Yes participating without using any Provision or the CEO
Alexander II Magnet School,Bibb County,Macon,465,263,Yes under Community Eligibility Option (CEO)
Alford Elementary,Gwinnett County,Lawrenceville,828,688,Yes participating without using any Provision or the CEO
Alice Coachman Elementary School,Dougherty County,Albany,448,448,Yes under Community Eligibility Option (CEO)
Allatoona Elementary School,Bartow County,Acworth,413,349,Yes participating without using any Provision or the CEO
Allatoona High School,Cobb County,Acworth,1560,458,Yes participating without using any Provision or the CEO
Allen Elementary School,Muscogee County,Columbus,436,436,Yes under Community Eligibility Option (CEO)
Allgood Elementary School,Paulding County,Dallas,811,586,Yes participating without using any Provision or the CEO
Allgood Elementary School,DeKalb County,Stone Mountain,614,614,Yes under Community Eligibility Option (CEO)
Alliance Academy for Innovation,Forsyth County,Cumming,1145,103,Yes participating without using any Provision or the CEO
Alpharetta Elementary School,Fulton County,Alpharetta,498,89,Yes participating without using any Provision or the CEO
Alpharetta High School,Fulton County,Alpharetta,2024,306,Yes participating without using any Provision or the CEO
Altama Elementary School,Glynn County,Brunswick,672,672,Yes under Community Eligibility Option (CEO)
Altamaha Elementary School,Appling County,Baxley,381,381,Yes under Community Eligibility Option (CEO)
Alto Park Elementary School,Floyd County,Rome,429,360,Yes participating without using any Provision or the CEO
Amana Academy School,Fulton County,Alpharetta,667,317,Yes participating without using any Provision or the CEO
Amana Academy West Atlanta,State Specialty Schools II- Amana Academy West Atlanta,Smyrna,215,74,Yes participating without using any Provision or the CEO
Ambrose Elementary School,Coffee County,Ambrose,391,391,Yes under Community Eligibility Option (CEO)
Anderson Elementary School,Clayton County,Conley,420,420,Yes under Community Eligibility Option (CEO)
Anderson-Livsey Elementary School,Gwinnett County,Snellville,678,565,Yes participating without using any Provision or the CEO
Andrea B Williams Elementary School,Savannah-Chatham County,Savannah,414,385,Yes participating without using any Provision or the CEO
Anita White Carson Middle School,Greene County,Greensboro,388,388,Yes under Community Eligibility Option (CEO)
Anna K. Davie Elementary,Rome City,Rome,413,413,Yes under Community Eligibility Option (CEO)
Anne Street Elementary School,Griffin-Spalding County,Griffin,352,313,Yes under Community Eligibility Option (CEO)
Annette Winn Elementary School,Douglas County,Lithia Springs,341,301,Yes participating without using any Provision or the CEO
Annie Belle Clark Elementary School,Tift County,Tifton,785,785,Yes under Community Eligibility Option (CEO)
Annistown Elementary School,Gwinnett County,Snellville,686,537,Yes participating without using any Provision or the CEO
Antioch Elementary School,Whitfield County,Dalton,446,446,Yes under Community Eligibility Option (CEO)
Apalachee High School,Barrow County,Winder,1949,1186,Yes participating without using any Provision or the CEO
Appling County Elementary School,Appling County,Baxley,1113,1113,Yes under Community Eligibility Option (CEO)
Appling County High School,Appling County,Baxley,1013,1002,Yes under Community Eligibility Option (CEO)
Appling County Middle School,Appling County,Baxley,759,759,Yes under Community Eligibility Option (CEO)
Appling Middle School,Bibb County,Macon,677,498,Yes under Community Eligibility Option (CEO)
Arabia Mountain High School - Academy of Engineering- Medic,DeKalb County,Lithonia,1224,798,Yes under Community Eligibility Option (CEO)
Arbor Springs Elementary,Coweta County,Newnan,395,157,Yes participating without using any Provision or the CEO
Arbor Station Elementary School,Douglas County,Douglasville,544,407,Yes participating without using any Provision or the CEO
Arcado Elementary School,Gwinnett County,Lilburn,905,554,Yes participating without using any Provision or the CEO
Archer High School,Gwinnett County,Lawrenceville,3058,1604,Yes participating without using any Provision or the CEO
Argyle Elementary School,Cobb County,Smyrna,333,330,Yes under Community Eligibility Option (CEO)
Armuchee Elementary School,Floyd County,Armuchee,401,220,Yes participating without using any Provision or the CEO
Armuchee High School,Floyd County,Rome,953,456,Yes participating without using any Provision or the CEO
Armuchee Primary School,Floyd County,Rome,480,267,Yes participating without using any Provision or the CEO
Arnall Middle School,Coweta County,Newnan,740,448,Yes participating without using any Provision or the CEO
Arnco-Sargent Elementary School,Coweta County,Newnan,357,254,Yes participating without using any Provision or the CEO
Arnold Elementary School,Clayton County,Jonesboro,454,454,Yes under Community Eligibility Option (CEO)
Arnold Middle School,Muscogee County,Columbus,582,582,Yes under Community Eligibility Option (CEO)
Arnold Mill Elementary School,Cherokee County,Woodstock,767,202,Yes participating without using any Provision or the CEO
Arthur Williams Middle School,Wayne County,Jesup,626,613,Yes under Community Eligibility Option (CEO)
Asa Hilliard Elementary School,Fulton County,East Point,474,474,Yes under Community Eligibility Option (CEO)
Ashford Park Elementary School,DeKalb County,Atlanta,757,112,Yes participating without using any Provision or the CEO
Ashworth Middle School,Gordon County,Calhoun,578,572,Yes under Community Eligibility Option (CEO)
Atha Road Elementary School,Walton County,Monroe,771,459,Yes participating without using any Provision or the CEO
Atkinson County High School,Atkinson County,Pearson,447,359,Yes under Provision 2
Atkinson County Middle School,Atkinson County,Pearson,336,288,Yes under Provision 2
Atkinson Elementary School,Griffin-Spalding County,Griffin,366,330,Yes under Community Eligibility Option (CEO)
Atkinson Elementary School,Coweta County,Newnan,398,258,Yes participating without using any Provision or the CEO
Atkinson Elementary School,Brantley County,Waynesville,276,276,Yes under Community Eligibility Option (CEO)
Atlanta Area School for the Deaf,State Schools,Clarkston,110,41,Yes under Community Eligibility Option (CEO)
Atlanta Classical Academy,Atlanta Public Schools,Atlanta,697,119,Yes participating without using any Provision or the CEO
Atlanta Heights Charter School,State Specialty Schools II- Atlanta Heights Charter School,Atlanta,663,663,Yes under Community Eligibility Option (CEO)
Atlanta Neighborhood Charter - Elementary,Atlanta Public Schools,Atlanta,394,57,Yes participating without using any Provision or the CEO
Atlanta Neighborhood Charter - Middle,Atlanta Public Schools,Atlanta,233,35,Yes participating without using any Provision or the CEO
Atlanta Smart Academy,State Specialty Schools II- Atlanta SMART Academy,Atlanta,221,221,Yes under Community Eligibility Option (CEO)
Atlanta Unbound Academy,State Specialty Schools II- Atlanta Unbound Academy,College Park,199,199,Yes under Community Eligibility Option (CEO)
Atlanta Youth Development Campus,Department of Juvenile Justice,College Park,24,21,No
Auburn Elementary School,Barrow County,Auburn,678,457,Yes participating without using any Provision or the CEO
Augusta Regional Youth Detention Center,Department of Juvenile Justice,Augusta,11,8,No
Augusta Youth Development Campus,Department of Juvenile Justice,Augusta,28,25,No
Austell Elementary School,Cobb County,Austell,367,367,Yes under Community Eligibility Option (CEO)
Austin Elementary School,DeKalb County,Dunwoody,803,38,Yes participating without using any Provision or the CEO
Austin Road Elementary School,Henry County,Stockbridge,414,322,Yes participating without using any Provision or the CEO
Austin Road Elementary School,Barrow County,Winder,700,429,Yes participating without using any Provision or the CEO
Austin Road Middle School,Henry County,Stockbridge,550,399,Yes participating without using any Provision or the CEO
Autrey Mill Middle School,Fulton County,Alpharetta,1256,187,Yes participating without using any Provision or the CEO
Avery Elementary School,Cherokee County,Canton,1104,249,Yes participating without using any Provision or the CEO
Avondale Elementary School,DeKalb County,Avondale Estates,521,477,Yes under Community Eligibility Option (CEO)
Awtrey Middle School,Cobb County,Kennesaw,593,285,Yes participating without using any Provision or the CEO
Az Kelsey Academy,Griffin-Spalding County,Griffin,47,46,Yes under Community Eligibility Option (CEO)
B.e.s.t Academy,Atlanta Public Schools,Atlanta,268,259,Yes under Community Eligibility Option (CEO)
Babb Middle School,Clayton County,Forest Park,881,881,Yes under Community Eligibility Option (CEO)
Bacon County Elementary School,Bacon County,Alma,448,448,Yes under Community Eligibility Option (CEO)
Bacon County High School,Bacon County,Alma,633,619,Yes under Community Eligibility Option (CEO)
Bacon County Middle School,Bacon County,Alma,462,425,Yes under Community Eligibility Option (CEO)
Bacon County Primary School,Bacon County,Alma,551,551,Yes under Community Eligibility Option (CEO)
Bacon Elementary School,Wayne County,Jesup,690,690,Yes under Community Eligibility Option (CEO)
Baconton Community Charter School,State Specialty Schools II- Baconton Community Charter Sch,Baconton,941,831,Yes under Community Eligibility Option (CEO)
Baggett Elementary School,Gwinnett County,Lawrenceville,1019,907,Yes participating without using any Provision or the CEO
Bagley Middle School,Murray County,Chatsworth,457,438,Yes under Community Eligibility Option (CEO)
