school_name,district_name,city_name,total_students,frl_eligible_students,national_school_lunch_program,admin_approved
Admiral Arthur W Radford High School,Hawaii Department of Education,Honolulu,1227,254,Yes participating without using any Provision or the CEO,false
Admiral Chester W Nimitz Elementary School,Hawaii Department of Education,Honolulu,587,124,Yes participating without using any Provision or the CEO,false
Ahuimanu Elementary School,Hawaii Department of Education,Kaneohe,285,105,Yes participating without using any Provision or the CEO,false
Aiea Elementary School,Hawaii Department of Education,Aiea,265,194,Yes under Community Eligibility Option (CEO),false
Aiea High School,Hawaii Department of Education,Aiea,865,422,Yes participating without using any Provision or the CEO,true
Aiea Intermediate School,Hawaii Department of Education,Aiea,470,245,Yes participating without using any Provision or the CEO,true
Aikahi Elementary School,Hawaii Department of Education,Kailua,485,65,Yes participating without using any Provision or the CEO,false
Aina Haina Elementary School,Hawaii Department of Education,Honolulu,351,50,Yes participating without using any Provision or the CEO,false
Ala Wai Elementary School,Hawaii Department of Education,Honolulu,344,223,Yes under Community Eligibility Option (CEO),false
Alaka'i O Kaua'i Charter School,Hawaii Department of Education,Koloa,242,57,No,false
Aliamanu Elementary School,Hawaii Department of Education,Honolulu,650,174,Yes participating without using any Provision or the CEO,false
Aliamanu Middle School,Hawaii Department of Education,Honolulu,755,217,Yes participating without using any Provision or the CEO,false
Aliiolani Elementary School,Hawaii Department of Education,Honolulu,231,106,Yes participating without using any Provision or the CEO,false
Alvah a Scott Elementary School,Hawaii Department of Education,Aiea,433,210,Yes participating without using any Provision or the CEO,false
Anuenue School,Hawaii Department of Education,Honolulu,431,244,Yes under Community Eligibility Option (CEO),true
August Ahrens Elementary School,Hawaii Department of Education,Waipahu,1152,685,Yes participating without using any Provision or the CEO,false
Barbers Point Elementary School,Hawaii Department of Education,Kapolei,522,359,Yes under Community Eligibility Option (CEO),false
Blanche Pope Elementary School,Hawaii Department of Education,Waimanalo,212,138,Yes under Community Eligibility Option (CEO),false
Castle High School,Hawaii Department of Education,Kaneohe,997,484,Yes participating without using any Provision or the CEO,false
Chiefess Kamakahelei Middle School,Hawaii Department of Education,Lihue,826,421,Yes participating without using any Provision or the CEO,true
Chiefess Kapiolani Elementary School,Hawaii Department of Education,Hilo,354,230,Yes under Community Eligibility Option (CEO),false
Connections - New Century PCS,Hawaii Department of Education,Hilo,352,264,Yes under Community Eligibility Option (CEO),true
Daniel K Inouye Elementary School,Hawaii Department of Education,Wahiawa,591,169,Yes participating without using any Provision or the CEO,false
Dreamhouse Ewa Beach,Hawaii Department of Education,Kapolei,467,159,No,false
Eleele Elementary School,Hawaii Department of Education,Eleele,367,187,Yes participating without using any Provision or the CEO,false
Elsie H Wilcox Elementary School,Hawaii Department of Education,Lihue,743,350,Yes participating without using any Provision or the CEO,false
Enchanted Lake Elementary School,Hawaii Department of Education,Kailua,258,85,Yes participating without using any Provision or the CEO,false
Ernest Bowen Desilva Elementary School,Hawaii Department of Education,Hilo,422,110,Yes participating without using any Provision or the CEO,false
Ewa Beach Elementary School,Hawaii Department of Education,Ewa Beach,701,220,Yes participating without using any Provision or the CEO,false
Ewa Elementary School,Hawaii Department of Education,Ewa Beach,1226,597,Yes participating without using any Provision or the CEO,false
Ewa Makai Middle School,Hawaii Department of Education,Ewa Beach,1221,370,Yes participating without using any Provision or the CEO,false
Governor Samuel Wilder King Intermediate School,Hawaii Department of Education,Kaneohe,513,269,Yes participating without using any Provision or the CEO,true
Governor Sanford B Dole Middle School,Hawaii Department of Education,Honolulu,564,423,Yes under Community Eligibility Option (CEO),true
Governor Wallace Rider Farrington High School,Hawaii Department of Education,Honolulu,2094,1100,Yes participating without using any Provision or the CEO,true
Gustav H Webling Elementary School,Hawaii Department of Education,Aiea,436,143,Yes participating without using any Provision or the CEO,false
Haaheo Elementary School,Hawaii Department of Education,Hilo,122,62,Yes participating without using any Provision or the CEO,false
Hahaione Elementary School,Hawaii Department of Education,Honolulu,475,56,Yes participating without using any Provision or the CEO,false
Haiku Elementary School,Hawaii Department of Education,Haiku,336,178,Yes participating without using any Provision or the CEO,false
Hakipuu Academy,Hawaii Department of Education,Kaneohe,55,26,No,true
Halau Ku Mana - a New Century PCS,Hawaii Department of Education,Honolulu,132,40,No,true
Haleiwa Elementary School,Hawaii Department of Education,Haleiwa,196,110,Yes participating without using any Provision or the CEO,false
Hana High & Elementary School,Hawaii Department of Education,Hana,368,262,Yes under Community Eligibility Option (CEO),true
Hanalei Elementary School,Hawaii Department of Education,Hanalei,183,57,Yes participating without using any Provision or the CEO,false
Hauula Elementary School,Hawaii Department of Education,Hauula,387,277,Yes under Community Eligibility Option (CEO),false
Hawaii Academy of Arts & Science PCS,Hawaii Department of Education,Pahoa,738,566,Yes under Community Eligibility Option (CEO),true
Hawaii School for the Deaf and Blind,Hawaii Department of Education,Honolulu,49,29,Yes under Community Eligibility Option (CEO),true
Hawaii Technology Academy - PCS,Hawaii Department of Education,Waipahu,1924,309,No,false
Heeia Elementary School,Hawaii Department of Education,Kaneohe,358,187,Yes participating without using any Provision or the CEO,false
Helemano Elementary School,Hawaii Department of Education,Wahiawa,417,247,Yes participating without using any Provision or the CEO,false
Henry J Kaiser High School,Hawaii Department of Education,Honolulu,1073,131,Yes participating without using any Provision or the CEO,false
Henry Perrine Baldwin High School,Hawaii Department of Education,Wailuku,1266,573,Yes participating without using any Provision or the CEO,false
Highlands Intermediate School,Hawaii Department of Education,Pearl City,824,265,Yes participating without using any Provision or the CEO,false
Hilo High School,Hawaii Department of Education,Hilo,1170,586,Yes under Community Eligibility Option (CEO),true
Hilo Intermediate School,Hawaii Department of Education,Hilo,560,336,Yes under Community Eligibility Option (CEO),true
Hilo Union Elementary School,Hawaii Department of Education,Hilo,449,307,Yes under Community Eligibility Option (CEO),false
Hokulani Elementary School,Hawaii Department of Education,Honolulu,280,46,Yes participating without using any Provision or the CEO,false
Holomua Elementary School,Hawaii Department of Education,Ewa Beach,1107,394,Yes participating without using any Provision or the CEO,false
Holualoa Elementary School,Hawaii Department of Education,Holualoa,438,209,Yes participating without using any Provision or the CEO,false
Honaunau Elementary School,Hawaii Department of Education,Captain Cook,148,138,Yes under Community Eligibility Option (CEO),false
