school_name,district_name,city_name,total_students,frl_eligible_students,national_school_lunch_program,admin_approved
Abbie Grove Elementary,Ankeny Comm School District,Ankeny,445,51,Yes participating without using any Provision or the CEO,false
Abraham Lincoln High School,Council Bluffs Comm School District,Council Bluffs,1333,614,Yes under Community Eligibility Option (CEO),false
Adair-Casey Elementary School,Adair-Casey Comm School District,Adair,160,77,Yes participating without using any Provision or the CEO,false
Adair-Casey Jr. High School,Adair-Casey Comm School District,Adair,100,40,Yes participating without using any Provision or the CEO,true
Adams Elementary School,Carroll Comm School District,Carroll,232,103,Yes participating without using any Provision or the CEO,false
Adams Elementary School,Davenport Comm School District,Davenport,498,285,Yes under Community Eligibility Option (CEO),false
Adel Elementary School,Adel DeSoto Minburn Comm School District,Adel,403,65,Yes participating without using any Provision or the CEO,false
Adm Middle School,Adel DeSoto Minburn Comm School District,Adel,352,71,Yes participating without using any Provision or the CEO,false
Adm Senior High School,Adel DeSoto Minburn Comm School District,Adel,666,128,Yes participating without using any Provision or the CEO,false
Agwsr Elementary at Wellsburg,AGWSR Comm School District,Wellsburg,59,20,Yes participating without using any Provision or the CEO,false
Agwsr Elementary School,AGWSR Comm School District,Ackley,227,115,Yes participating without using any Provision or the CEO,false
Agwsr High School,AGWSR Comm School District,Ackley,190,84,Yes participating without using any Provision or the CEO,false
Agwsr Middle School,AGWSR Comm School District,Wellsburg,131,63,Yes participating without using any Provision or the CEO,true
Ahstw High School,AHSTW Comm School District,Avoca,205,67,Yes participating without using any Provision or the CEO,false
Ahstw Intermediate School,AHSTW Comm School District,Avoca,270,98,Yes participating without using any Provision or the CEO,true
Ahstw Primary School,AHSTW Comm School District,Avoca,280,103,Yes participating without using any Provision or the CEO,false
Akron Westfield Elementary School,Akron Westfield Comm School District,Akron,258,91,Yes participating without using any Provision or the CEO,false
Akron Westfield Middle School,Akron Westfield Comm School District,Akron,130,36,Yes participating without using any Provision or the CEO,false
Akron Westfield Senior High School,Akron Westfield Comm School District,Akron,188,35,Yes participating without using any Provision or the CEO,false
