school_name,district_name,city_name,total_students,frl_eligible_students,national_school_lunch_program,admin_approved
3B Juvenile Detention Center,Idaho Falls District,Idaho Falls,9,,,false
A B McDonald Elementary School,Moscow District,Moscow,341,96,,false
A H Bush Elementary School,Idaho Falls District,Idaho Falls,315,255,,false
A J Winters Elementary School,Bear Lake County District,Montpelier,305,174,,false
A W Johnson Elementary School,Firth District,Firth,256,126,,false
Aberdeen Elementary School,Aberdeen District,Aberdeen,274,202,,false
Aberdeen High School,Aberdeen District,Aberdeen,213,146,,true
Aberdeen Middle School,Aberdeen District,Aberdeen,138,105,,true
Acequia Elementary School,Minidoka County Joint District,Rupert,253,131,,false
Ada County Juvenile Center,Boise Independent District,Boise,11,,,false
Adams Elementary School,Boise Independent District,Boise,200,25,,false
Adams Elementary School,Madison District,Rexburg,270,130,,false
Alameda Middle School,Pocatello District,Pocatello,572,264,,true
Albion Elementary School,Cassia County Joint District,Albion,31,12,,false
Alpine Academy,The Academy Inc.,Chubbuck,272,,,false
Alturas Elementary School,Blaine County District,Hailey,445,237,,false
Alturas International Academy,Alturas International Academy Inc.,Idaho Falls,572,192,,false
Alturas Preparatory Academy,Alturas Preparatory Academy Inc,Idaho Falls,463,124,,false
American Falls Academy,American Falls Joint District,American Falls,38,30,,true
American Falls High School,American Falls Joint District,American Falls,436,247,,true
American Heritage Charter School,American Heritage Charter School Inc.,Idaho Falls,560,185,,true
Amity Elementary School,Boise Independent District,Boise,371,137,,false
Ammon Elementary School,Bonneville Joint District,Ammon,303,128,,false
Anser Charter School,Anser of Idaho Inc.,Garden City,573,186,,false
Arbon Elementary School,Arbon Elementary District,Arbon,18,,,false
Arco Elementary School,Butte County Joint District,Arco,186,93,,false
Ashton Elementary School,Fremont County Joint District,Ashton,228,126,,false
Athol Elementary School,Lakeland District,Athol,287,78,,false
Atlas Elementary School,Coeur D'Alene District,Hayden Lake,414,120,,false
Barbara Morgan STEM Academy,Joint School District No. 2,Meridian,438,111,,false
Barbara R Morgan Elementary,McCall-Donnelly Joint School District,McCall,411,113,,false
Basin Alternative High School,Teton County District,Driggs,27,,,true
Basin Elementary School,Basin School District,Idaho City,173,78,,false
Bear Lake High School,Bear Lake County District,Montpelier,361,131,,false
Bear Lake Middle School,Bear Lake County District,Montpelier,296,132,,true
Bear Lake on-Line Learning,Bear Lake County District,Paris,224,,,false
Bellevue Elementary School,Blaine County District,Bellevue,223,106,,false
Bennett Mountain High School,Mountain Home District,Mountain Home,88,52,,true
Betty Kiefer Elementary School,Lakeland District,Rathdrum,367,108,,false
Beutler Middle School,West Side Joint District,Dayton,177,84,,true
Bickel Elementary School,Twin Falls District,Twin Falls,169,113,,false
Bingham Academy,Idaho STEM Academy Inc.,Blackfoot,68,,,true
Birch Elementary School,Vallivue School District,Nampa,663,317,,false
Black Canyon Elementary School,Grace Joint District,Grace,292,142,,false
