school_name,district_name,city_name,total_students,frl_eligible_students,national_school_lunch_program,admin_approved
21st Century Primary Center,Park Forest SD 163,Park Forest,152,121,Yes under Community Eligibility Option (CEO),false
A B Shepard High Sch (Campus),Chsd 218,Palos Heights,1916,1298,Yes under Community Eligibility Option (CEO),true
A F Ames Elem School,Riverside SD 96,Riverside,482,151,Yes participating without using any Provision or the CEO,false
A J Katzenmaier Academy,North Chicago SD 187,North Chicago,387,385,Yes under Community Eligibility Option (CEO),false
A O Marshall Elem School,Joliet PSD 86,Joliet,246,234,Yes under Community Eligibility Option (CEO),false
A Vito Martinez Middle School,Valley View CUSD 365U,Romeoville,583,324,Yes under Community Eligibility Option (CEO),false
A-C Central Elementary School,A-C Central CUSD 262,Chandlerville,129,56,Yes participating without using any Provision or the CEO,false
A-C Central High School,A-C Central CUSD 262,Ashland,96,37,Yes participating without using any Provision or the CEO,true
A-C Central Middle School,A-C Central CUSD 262,Ashland,89,37,Yes participating without using any Provision or the CEO,false
Abbott Middle School,SD U-46,Elgin,551,382,Yes under Community Eligibility Option (CEO),false
Abe Lincoln Elem School,Cicero SD 99,Cicero,717,661,Yes participating without using any Provision or the CEO,false
Abingdon-Avon High Sch,Abingdon-Avon CUSD 276,Abingdon,278,143,Yes under Community Eligibility Option (CEO),false
Abingdon-Avon Middle Sch,Abingdon-Avon CUSD 276,Avon,204,105,Yes under Community Eligibility Option (CEO),false
Abraham Lincoln Elem School,Belleville SD 118,Belleville,542,451,Yes under Community Eligibility Option (CEO),false
Abraham Lincoln Elem School,Glen Ellyn SD 41,Glen Ellyn,559,,No,false
Abraham Lincoln Elem School,Oak Park ESD 97,Oak Park,580,103,Yes participating without using any Provision or the CEO,false
Abraham Lincoln Middle School,Rockford SD 205,Rockford,736,590,Yes under Community Eligibility Option (CEO),false
Academic Behavior&community Acad,Adam/Brwn/Cass/Morgn/Pik/Sctt ROE,Quincy,0,,Yes under Community Eligibility Option (CEO),true
Academy for Global Citizenship,Chicago Public Schools Dist 299,Chicago,486,280,Yes under Community Eligibility Option (CEO),false
Academy for Learning,Exc Children Have Opportunities,Dolton,,,Yes under Community Eligibility Option (CEO),true
Ace Amandla Charter School,ACE Amandla Charter School,Chicago,137,130,Yes under Community Eligibility Option (CEO),true
Acero Chtr - Bartolome De Las,Chicago Public Schools Dist 299,Chicago,225,199,Yes under Community Eligibility Option (CEO),false
Acero Chtr - Carlos Fuentes Elem,Chicago Public Schools Dist 299,Chicago,370,322,Yes under Community Eligibility Option (CEO),false
Acero Chtr - Esmera Santiago Cmps,Chicago Public Schools Dist 299,Chicago,224,199,Yes under Community Eligibility Option (CEO),false
Acero Chtr - Octavio Paz Elem Sch,Chicago Public Schools Dist 299,Chicago,98,93,Yes participating without using any Provision or the CEO,false
Acero Chtr - Officer Marquez Elem,Chicago Public Schools Dist 299,Chicago,508,473,Yes under Community Eligibility Option (CEO),false
Acero Chtr - Rufino Tamayo Elem,Chicago Public Schools Dist 299,Chicago,266,241,Yes under Community Eligibility Option (CEO),false
Acero Chtr - Sandra Cisneros Elem,Chicago Public Schools Dist 299,Chicago,326,294,Yes under Community Eligibility Option (CEO),false
Acero Chtr - Spc Zizumbo Elem,Chicago Public Schools Dist 299,Chicago,532,459,Yes under Community Eligibility Option (CEO),false
Acero Chtr Netrk - Major Garcia,Chicago Public Schools Dist 299,Chicago,666,597,Yes under Community Eligibility Option (CEO),true
Acero Chtr Network - Jovita Idar,Chicago Public Schools Dist 299,Chicago,528,467,Yes under Community Eligibility Option (CEO),false
Acero Chtr Network - Pfc Torress,Chicago Public Schools Dist 299,Chicago,528,467,Yes under Community Eligibility Option (CEO),false
Acero Chtr Roberto Clemente Elem,Chicago Public Schools Dist 299,Chicago,461,376,Yes under Community Eligibility Option (CEO),false
Acero Chtr Sch Netwrk- Victoria,Chicago Public Schools Dist 299,Chicago,561,552,Yes under Community Eligibility Option (CEO),true
Acero Chtr Sor Juana Ines De La,Chicago Public Schools Dist 299,Chicago,432,388,Yes participating without using any Provision or the CEO,true
Acero Chtr-Brighton Park Elem Sch,Chicago Public Schools Dist 299,Chicago,465,433,Yes under Community Eligibility Option (CEO),false
Actions Program,Champaign CUSD 4,Champaign,0,,No,true
Adams Co Juvenile Detention Cntr,Quincy SD 172,Quincy,0,,No,true
Adams County Rssp,Adam/Brwn/Cass/Morgn/Pik/Sctt ROE,Quincy,0,,Yes under Community Eligibility Option (CEO),true
Adams Elem School,Lincoln ESD 27,Lincoln,57,33,Yes under Community Eligibility Option (CEO),false
Adams School,Marion CUSD 2,Creal Springs,283,120,Yes participating without using any Provision or the CEO,false
Addams Elem School,Chicago Public Schools Dist 299,Chicago,544,426,Yes under Community Eligibility Option (CEO),false
Addison Early Learning Center,Addison SD 4,Addison,190,128,Yes under Community Eligibility Option (CEO),false
Addison Trail High School,DuPage HSD 88,Addison,1847,1161,Yes participating without using any Provision or the CEO,true
Adlai E Stevenson High School,Adlai E Stevenson HSD 125,Lincolnshire,4758,,No,false
Adlai Stevenson Elem School,Schaumburg CCSD 54,Elk Grove Village,513,,No,false
Adler Park School,Libertyville SD 70,Libertyville,238,,No,false
Adm Richard E Byrd Elem School,Comm Cons SD 59,Elk Grove Village,301,241,Yes participating without using any Provision or the CEO,false
Adolph Link Elem School,Schaumburg CCSD 54,Elk Grove Village,652,,No,false
Air Force Acad High School,Chicago Public Schools Dist 299,Chicago,131,115,Yes under Community Eligibility Option (CEO),true
Akin Comm Cons Elem School,Akin CCSD 91,Akin,124,68,Yes under Community Eligibility Option (CEO),false
Alan B Shepard Elem School,Bourbonnais SD 53,Bourbonnais,483,297,Yes participating without using any Provision or the CEO,false
Alan B Shepard Middle School,Deerfield SD 109,Deerfield,476,,No,false
Albany Park Multicultural Elem,Chicago Public Schools Dist 299,Chicago,243,224,Yes under Community Eligibility Option (CEO),false
Albers Elem School,Albers SD 63,Albers,154,30,Yes participating without using any Provision or the CEO,false
Albert Cassens Elementary,Edwardsville CUSD 7,Glen Carbon,477,93,Yes participating without using any Provision or the CEO,false
Albert Einstein Elem School,Schaumburg CCSD 54,Hanover Park,512,,No,false
Albion Grade School,Edwards County CUSD 1,Albion,427,201,Yes participating without using any Provision or the CEO,false
Alcott College Prep,Chicago Public Schools Dist 299,Chicago,373,277,Yes under Community Eligibility Option (CEO),true
Alcott Elem School,Chicago Public Schools Dist 299,Chicago,567,73,Yes under Community Eligibility Option (CEO),false
Alden Hebron Elem School,Alden Hebron SD 19,Hebron,210,78,Yes participating without using any Provision or the CEO,false
Alden-Hebron High School,Alden Hebron SD 19,Hebron,112,50,Yes participating without using any Provision or the CEO,false
Alden-Hebron Middle School,Alden Hebron SD 19,Hebron,99,36,Yes participating without using any Provision or the CEO,false
Aldridge Elem School,Chicago Public Schools Dist 299,Chicago,257,239,Yes under Community Eligibility Option (CEO),false
Alex M Martino Jr High School,New Lenox SD 122,New Lenox,591,64,Yes participating without using any Provision or the CEO,false
Algonquin Lakes Elem Sch,CUSD 300,Algonquin,408,237,Yes participating without using any Provision or the CEO,false
Algonquin Middle School,CUSD 300,Algonquin,370,209,Yes participating without using any Provision or the CEO,false
Algonquin Middle School,CCSD 62,Des Plaines,597,342,Yes participating without using any Provision or the CEO,false
