school_name,district_name,city_name,total_students,frl_eligible_students,national_school_lunch_program,admin_approved
21st Century Charter Sch of Gary,21st Century Charter Sch of Gary,Gary,1180,913,Yes under Community Eligibility Option (CEO),true
A K Smith Area Career Center,Michigan City Area Schools,Michigan City,1,,Yes under Community Eligibility Option (CEO),false
Aboite Elementary School,MSD Southwest Allen County Schls,Fort Wayne,497,99,Yes participating without using any Provision or the CEO,false
Abraham Lincoln Elementary School,School City of East Chicago,East Chicago,282,214,Yes under Community Eligibility Option (CEO),false
Abraham Lincoln Elementary School,School City of Hammond,Hammond,565,346,Yes under Community Eligibility Option (CEO),false
Abraham Lincoln Elementary School,Perry Township Schools,Indianapolis,633,511,Yes under Community Eligibility Option (CEO),false
Academy for Innovative Studies,Evansville Vanderburgh School Corp,Evansville,318,237,Yes under Community Eligibility Option (CEO),true
Ace Preparatory Academy,ACE Preparatory Academy,Indianapolis,131,111,Yes under Community Eligibility Option (CEO),false
Achieve Virtual Education Academy,MSD Wayne Township,Indianapolis,668,286,No,true
Acton Elementary School,Franklin Township Com Sch Corp,Indianapolis,275,147,Yes participating without using any Provision or the CEO,false
Adams Central Elementary School,Adams Central Community Schools,Monroe,621,170,Yes participating without using any Provision or the CEO,false
Adams Central High School,Adams Central Community Schools,Monroe,412,101,Yes participating without using any Provision or the CEO,false
Adams Central Middle School,Adams Central Community Schools,Monroe,324,93,Yes participating without using any Provision or the CEO,true
Adams Elementary School,Fort Wayne Community Schools,Fort Wayne,308,243,Yes under Community Eligibility Option (CEO),false
Adams High School,South Bend Community School Corp,South Bend,1966,953,Yes under Community Eligibility Option (CEO),false
Adelaide De Vaney Elementary Sch,Vigo County School Corp,Terre Haute,440,254,Yes participating without using any Provision or the CEO,false
Akron Elementary School,Tippecanoe Valley School Corp,Akron,354,203,Yes participating without using any Provision or the CEO,false
Albany Elementary School,Delaware Community School Corp,Albany,267,180,Yes participating without using any Provision or the CEO,false
Alexander Hamilton Elementary Sch,Lake Station Community Schools,Lake Station,200,153,Yes under Community Eligibility Option (CEO),false
Alexandria Monroe Elementary School,Alexandria Community School Corp,Alexandria,754,313,Yes participating without using any Provision or the CEO,false
Alexandria-Monroe High School,Alexandria Community School Corp,Alexandria,620,329,Yes participating without using any Provision or the CEO,true
Allegiant Preparatory Academy,Allegiant Preparatory Academy,Indianapolis,166,114,Yes under Community Eligibility Option (CEO),false
Allen Elementary School,Marion Community Schools,Marion,380,313,Yes under Community Eligibility Option (CEO),false
Allen J Warren Elementary School,School Town of Highland,Highland,308,150,Yes participating without using any Provision or the CEO,false
Allisonville Elementary School,MSD Washington Township,Indianapolis,724,242,Yes under Community Eligibility Option (CEO),false
Amelia Earhart Elementary School,Lafayette School Corporation,Lafayette,455,249,Yes under Community Eligibility Option (CEO),false
Amy Beverland Elementary,MSD Lawrence Township,Indianapolis,800,288,Yes under Community Eligibility Option (CEO),false
Anderson Elementary School,Anderson Community School Corp,Anderson,496,291,Yes under Community Eligibility Option (CEO),false
Anderson Elementary School,Madison Consolidated Schools,Madison,489,341,Yes participating without using any Provision or the CEO,false
Anderson High School,Anderson Community School Corp,Anderson,1768,1096,Yes under Community Eligibility Option (CEO),true
Anderson Intermediate School,Anderson Community School Corp,Anderson,490,329,Yes under Community Eligibility Option (CEO),false
Anderson Preparatory Academy,Anderson Preparatory Academy,Anderson,777,508,Yes under Community Eligibility Option (CEO),true
Andrew J Brown Academy,Andrew J Brown Academy,Indianapolis,435,310,Yes under Community Eligibility Option (CEO),true
Andrews Elementary School,Huntington Co Com Sch Corp,Andrews,290,120,Yes participating without using any Provision or the CEO,false
Angola High School,MSD Steuben County,Angola,714,295,Yes participating without using any Provision or the CEO,false
Angola Middle School,MSD Steuben County,Angola,543,305,Yes participating without using any Provision or the CEO,true
Anna Brochhausen School 88 - a STEM School,Indianapolis Public Schools,Indianapolis,326,223,Yes under Community Eligibility Option (CEO),false
Annie Burns-Hicks Elementary School,School City of Hammond,Hammond,622,354,Yes under Community Eligibility Option (CEO),false
Arcola School,Northwest Allen County Schools,Arcola,227,73,Yes participating without using any Provision or the CEO,false
Argos Comm Jr-Sr High School,Argos Community Schools,Argos,320,163,Yes participating without using any Provision or the CEO,false
Argos Community Elementary,Argos Community Schools,Argos,319,179,Yes participating without using any Provision or the CEO,false
Arlington Elementary School,Rush County Schools,Arlington,106,50,Yes participating without using any Provision or the CEO,false
Arlington Elementary School,Fort Wayne Community Schools,Fort Wayne,418,230,Yes under Community Eligibility Option (CEO),false
Arlington Elementary School,Franklin Township Com Sch Corp,Indianapolis,454,338,Yes participating without using any Provision or the CEO,false
Arlington Heights Elementary Sch,Monroe County Community Sch Corp,Bloomington,301,212,Yes under Community Eligibility Option (CEO),false
Arlington Middle School - a STEM School,Indianapolis Public Schools,Indianapolis,365,247,Yes under Community Eligibility Option (CEO),false
Arsenal Technical High School,Indianapolis Public Schools,Indianapolis,2360,1452,Yes under Community Eligibility Option (CEO),true
Arthur C Newby Elementary School 2,School Town of Speedway,Speedway,223,152,Yes participating without using any Provision or the CEO,false
Aspen Meadow Elementary School,Northwest Allen County Schools,Fort Wayne,600,141,Yes participating without using any Provision or the CEO,false
Aspire Charter Academy,Aspire Charter Academy,Gary,684,657,Yes under Community Eligibility Option (CEO),true
Athens Virtual Academy of Indiana,Crawfordsville Community Schools,Crawfordsville,170,50,No,false
Attica Elementary School,Attica Consolidated School Corp,Attica,247,140,Yes participating without using any Provision or the CEO,false
Attica High School,Attica Consolidated School Corp,Attica,290,160,Yes participating without using any Provision or the CEO,true
Aurora Elementary School,South Dearborn Community Sch Corp,Aurora,524,296,Yes participating without using any Provision or the CEO,false
Austin Elementary School,Scott County School District 1,Austin,645,318,Yes under Community Eligibility Option (CEO),false
Austin High School,Scott County School District 1,Austin,429,198,Yes under Community Eligibility Option (CEO),true
Austin Middle School,Scott County School District 1,Austin,254,116,Yes under Community Eligibility Option (CEO),true
Avilla Elementary School,East Noble School Corporation,Avilla,422,125,Yes under Community Eligibility Option (CEO),false
Avon High School,Avon Community School Corp,Avon,3523,1514,Yes participating without using any Provision or the CEO,false
Avon Intermediate School East,Avon Community School Corp,Avon,837,404,Yes participating without using any Provision or the CEO,false
