school_name,district_name,city_name,total_students,frl_eligible_students,national_school_lunch_program,admin_approved
500 Reach,Kansas City,Kansas City,76,3,Yes participating without using any Provision or the CEO,true
Abe Hubert Elementary School,Garden City,Garden City,285,268,Yes participating without using any Provision or the CEO,false
Abilene Elem,Valley Center Pub Sch,Valley Center,254,127,Yes participating without using any Provision or the CEO,false
Abilene High School,Abilene,Abilene,443,192,Yes participating without using any Provision or the CEO,true
Abilene Middle School,Abilene,Abilene,319,180,Yes participating without using any Provision or the CEO,true
Abilene Virtual School,Abilene,Abilene,24,4,No,false
Ad Astra Alternative Academy,Buhler,Hutchinson,11,6,Yes participating without using any Provision or the CEO,false
Ad Astra Virtual Academy,Buhler,Hutchinson,171,3,No,false
Adams Elem,Arkansas City,Arkansas City,306,232,Yes under Community Eligibility Option (CEO),false
Adams Elem,Wichita,Wichita,446,427,Yes participating without using any Provision or the CEO,false
Alfred Fairfax Academy,Kansas City,Kansas City,52,43,Yes under Community Eligibility Option (CEO),true
Allen Elem,Wichita,Wichita,514,471,Yes participating without using any Provision or the CEO,false
Allison Traditional Magnet Middle,Wichita,Wichita,536,382,Yes participating without using any Provision or the CEO,true
Almena Elem,Northern Valley,Almena,78,47,Yes participating without using any Provision or the CEO,false
Alta Brown Elem,Garden City,Garden City,336,292,Yes participating without using any Provision or the CEO,false
Altamont Elem,Labette County,Altamont,208,123,Yes participating without using any Provision or the CEO,true
Altoona-Midway Elementary,Altoona-Midway,Altoona,72,50,Yes under Community Eligibility Option (CEO),false
Altoona-Midway Middle/High School,Altoona-Midway,Buffalo,79,51,Yes under Community Eligibility Option (CEO),true
Amanda Arnold Elem,Manhattan-Ogden,Manhattan,399,117,Yes participating without using any Provision or the CEO,false
Amelia Earhart Elementary School,Goddard,Goddard,514,162,Yes participating without using any Provision or the CEO,false
Andale Elem-Middle,Renwick,Andale,447,66,Yes participating without using any Provision or the CEO,false
Andale High,Renwick,Andale,381,63,Yes participating without using any Provision or the CEO,false
