school_name,district_name,city_name,total_students,frl_eligible_students,national_school_lunch_program,admin_approved
A B Chandler Elementary School,Henderson County,Corydon,256,138,Yes under Community Eligibility Option (CEO),false
A M Yealey Elementary School,Boone County,Florence,534,237,Yes under Community Eligibility Option (CEO),false
Abraham Lincoln Elementary School,LaRue County,Hodgenville,482,294,Yes under Community Eligibility Option (CEO),false
Accel Academy,Boone County,Burlington,154,88,Yes participating without using any Provision or the CEO,false
Ackerly,Jefferson County,Louisville,4,,Yes under Community Eligibility Option (CEO),false
Adair County Elementary School,Adair County,Columbia,550,391,Yes under Community Eligibility Option (CEO),false
Adair County High School,Adair County,Columbia,805,539,Yes under Community Eligibility Option (CEO),true
Adair County Middle School,Adair County,Columbia,559,370,Yes under Community Eligibility Option (CEO),true
Adair County Primary Center,Adair County,Columbia,604,426,Yes under Community Eligibility Option (CEO),false
Adair Learning Academy,Adair County,Columbia,67,3,Yes under Community Eligibility Option (CEO),true
Adairville Elementary School,Logan County,Adairville,344,172,Yes under Community Eligibility Option (CEO),true
Ahrens Educational Resource Center,Jefferson County,Louisville,38,15,Yes participating without using any Provision or the CEO,false
Albany Elementary School,Clinton County,Albany,486,391,Yes under Community Eligibility Option (CEO),false
Alex R. Kennedy Elementary,Jefferson County,Louisville,369,219,Yes under Community Eligibility Option (CEO),false
Alexandria Educational Center,Campbell County,Alexandria,46,32,Yes participating without using any Provision or the CEO,true
Allen County Intermediate Center,Allen County,Scottsville,665,438,Yes under Community Eligibility Option (CEO),false
Allen County Primary Center,Allen County,Scottsville,1000,635,Yes under Community Eligibility Option (CEO),false
Allen County-Scottsville High School,Allen County,Scottsville,906,500,Yes under Community Eligibility Option (CEO),true
Allen Elementary School,Floyd County,Allen,462,384,Yes under Community Eligibility Option (CEO),true
Alvaton Elementary,Warren County,Alvaton,785,419,Yes under Community Eligibility Option (CEO),false
Anchor Academy,Danville Independent,Danville,34,22,Yes under Community Eligibility Option (CEO),false
Anchorage Independent Public School,Anchorage Independent,Anchorage,392,33,Yes participating without using any Provision or the CEO,false
Anderson County High School,Anderson County,Lawrenceburg,1157,511,Yes under Community Eligibility Option (CEO),true
Anderson County Middle School,Anderson County,Lawrenceburg,768,371,Yes under Community Eligibility Option (CEO),true
Anne Mason Elementary School,Scott County,Georgetown,390,189,Yes under Community Eligibility Option (CEO),false
