school_name,district_name,city_name,total_students,frl_eligible_students,national_school_lunch_program,admin_approved
A. A. Nelson Elementary School,Calcasieu Parish,Lake Charles,736,417,Yes participating without using any Provision or the CEO,false
A. E. Phillips Laboratory School,Lincoln Parish,Ruston,412,44,Yes participating without using any Provision or the CEO,false
A.c. Alexander School,Jefferson Parish,Kenner,567,407,Yes under Community Eligibility Option (CEO),true
A.c. Steere Elementary School,Caddo Parish,Shreveport,443,206,Yes participating without using any Provision or the CEO,false
Abbeville High School,Vermilion Parish,Abbeville,569,425,Yes under Community Eligibility Option (CEO),true
Abita Springs Elementary School,St. Tammany Parish,Abita Springs,587,295,Yes under Community Eligibility Option (CEO),false
Abita Springs Middle School,St. Tammany Parish,Abita Springs,435,208,Yes under Community Eligibility Option (CEO),false
Abney Elementary Early Childhood Center,St. Tammany Parish,Slidell,233,170,Yes under Community Eligibility Option (CEO),false
Abramson Sci Academy,Sci Academy,New Orleans,655,617,Yes under Community Eligibility Option (CEO),false
Academic Recovery Ombudsman,Caddo Parish,Shreveport,168,130,Yes participating without using any Provision or the CEO,true
Academy of Collaborative Education (Ace),Academy of Collaboration Education,Monroe,92,38,Yes participating without using any Provision or the CEO,false
Acadian Elementary,Rapides Parish,Alexandria,270,267,Yes under Community Eligibility Option (CEO),false
Acadian Elementary School,Terrebonne Parish,Houma,654,561,Yes under Community Eligibility Option (CEO),false
Acadian Middle School,Lafayette Parish,Lafayette,340,258,Yes under Community Eligibility Option (CEO),true
Acadiana High School,Lafayette Parish,Lafayette,1652,935,Yes under Community Eligibility Option (CEO),true
Acadiana Renaissance Charter Academy,Acadiana Renaissance Charter Academy,Youngsville,3669,1705,Yes participating without using any Provision or the CEO,false
Advantage Charter Academy,Advantage Charter Academy,Baker,743,719,Yes under Community Eligibility Option (CEO),true
Airline High School,Bossier Parish,Bossier City,1855,1033,Yes under Community Eligibility Option (CEO),false
Airline Park Academy for Advanced Studies,Jefferson Parish,Metairie,434,93,Yes under Community Eligibility Option (CEO),false
Albany High School,Livingston Parish,Albany,534,420,Yes under Community Eligibility Option (CEO),true
Albany Lower Elementary School,Livingston Parish,Albany,518,426,Yes under Community Eligibility Option (CEO),false
Albany Middle School,Livingston Parish,Albany,603,483,Yes under Community Eligibility Option (CEO),true
Albany Upper Elementary School,Livingston Parish,Albany,320,267,Yes under Community Eligibility Option (CEO),false
Albert Cammon Middle School,St. Charles Parish,St. Rose,282,188,Yes under Community Eligibility Option (CEO),true
Alexandria Middle Magnet School,Rapides Parish,Alexandria,469,446,Yes under Community Eligibility Option (CEO),true
Alexandria Senior High School,Rapides Parish,Alexandria,1475,942,Yes under Community Eligibility Option (CEO),false
Alfred M. Barbe High School,Calcasieu Parish,Lake Charles,1908,782,Yes participating without using any Provision or the CEO,false
Alice Birney Elementary School,Jefferson Parish,Metairie,579,370,Yes under Community Eligibility Option (CEO),false
Alice M Harte Elementary Charter School,Alice M Harte Elementary Charter School,New Orleans,725,524,Yes under Community Eligibility Option (CEO),true
Alice N. Boucher Elementary School,Lafayette Parish,Lafayette,442,417,Yes under Community Eligibility Option (CEO),false
Allemands Elementary School,St. Charles Parish,Des Allemands,241,120,Yes under Community Eligibility Option (CEO),false
Allen Correctional Center,Special School District,Kinder,6,,Yes participating without using any Provision or the CEO,false
Allen Ellender School,Jefferson Parish,Marrero,727,542,Yes under Community Eligibility Option (CEO),true
Alma Redwine Elementary,Rapides Parish,Alexandria,225,222,Yes under Community Eligibility Option (CEO),false
Alton Elementary School,St. Tammany Parish,Slidell,208,178,Yes under Community Eligibility Option (CEO),false
Amikids Acadiana,Acadia Parish,Branch,34,31,Yes participating without using any Provision or the CEO,true
Amikids Caddo,Caddo Parish,Shreveport,60,56,Yes participating without using any Provision or the CEO,true
Amite Elementary Magnet School,Tangipahoa Parish,Amite,431,409,Yes under Community Eligibility Option (CEO),false
Amite High Magnet,Tangipahoa Parish,Amite,347,307,Yes under Community Eligibility Option (CEO),true
Amite Westside Middle Magnet,Tangipahoa Parish,Amite,279,253,Yes under Community Eligibility Option (CEO),true
Anacoco Elementary School,Vernon Parish,Anacoco,457,283,Yes under Community Eligibility Option (CEO),false
Anacoco High School,Vernon Parish,Anacoco,311,188,Yes under Community Eligibility Option (CEO),true
Anderson Middle School,Iberia Parish,New Iberia,320,286,Yes under Community Eligibility Option (CEO),true
Andrew Jackson Middle School,St. Bernard Parish,Chalmette,546,370,Yes under Community Eligibility Option (CEO),true
Apollo Elementary School,Bossier Parish,Bossier City,756,462,Yes under Community Eligibility Option (CEO),false
Arabi Elementary School,St. Bernard Parish,Arabi,567,325,Yes under Community Eligibility Option (CEO),false
Arcadia High School,Bienville Parish,Arcadia,248,218,Yes under Community Eligibility Option (CEO),true
Arlene Meraux Elementary School,St. Bernard Parish,Chalmette,583,410,Yes under Community Eligibility Option (CEO),false
Arlington Preparatory Academy,East Baton Rouge Parish,Baton Rouge,94,56,Yes under Community Eligibility Option (CEO),true
Armstrong Middle School,Acadia Parish,Rayne,304,252,Yes under Community Eligibility Option (CEO),true
Arnaudville Middle School,St. Landry Parish,Arnaudville,193,148,Yes under Community Eligibility Option (CEO),true
Arthur Ashe Charter School,Arthur Ashe Charter School,New Orleans,778,687,Yes under Community Eligibility Option (CEO),true
Arthur F. Smith Middle Magnet School,Rapides Parish,Alexandria,362,353,Yes under Community Eligibility Option (CEO),true
Assumption High School,Assumption Parish,Napoleonville,742,392,Yes under Community Eligibility Option (CEO),true
Athlos Academy of Jefferson Parish,Athlos Academy of Jefferson Parish,Terrytown,1012,818,Yes under Community Eligibility Option (CEO),true
Atkins Technology Elementary School,Caddo Parish,Shreveport,189,174,Yes participating without using any Provision or the CEO,false
Audubon Charter Gentilly,Audubon Charter Gentilly,New Orleans,448,294,Yes under Community Eligibility Option (CEO),false
Audubon Charter School,Audubon Charter School,New Orleans,937,305,Yes participating without using any Provision or the CEO,true
Audubon Elementary School,East Baton Rouge Parish,Baton Rouge,495,356,Yes under Community Eligibility Option (CEO),false
Avoyelles High School,Avoyelles Parish,Moreauville,465,358,Yes under Community Eligibility Option (CEO),true
Avoyelles Public Charter School,Avoyelles Public Charter School,Mansura,735,400,Yes participating without using any Provision or the CEO,true
B. Edward Boudreaux Middle School,St. Mary Parish,Baldwin,150,135,Yes under Community Eligibility Option (CEO),true
B. R. Foreign Language Acad. Immersion Magnet,East Baton Rouge Parish,Baton Rouge,557,206,Yes under Community Eligibility Option (CEO),false
Bains Elementary School,West Feliciana Parish,St. Francisville,801,351,Yes under Community Eligibility Option (CEO),false
Bains Lower Elementary School,West Feliciana Parish,St. Francisville,247,115,Yes under Community Eligibility Option (CEO),false
Baker Heights Elementary School,City of Baker School District,Baker,381,339,Yes under Community Eligibility Option (CEO),false
Baker High School,City of Baker School District,Baker,370,306,Yes under Community Eligibility Option (CEO),true
Baker Middle School,City of Baker School District,Baker,155,133,Yes under Community Eligibility Option (CEO),true
