school_name,district_name,city_name,total_students,frl_eligible_students,national_school_lunch_program,admin_approved
1 Lt Charles W. Whitcomb School,Marlborough,Marlborough,965,,Yes participating without using any Provision or the CEO,true
A Drewicz Elementary,Lynn,Lynn,488,,Yes under Community Eligibility Option (CEO),false
A E Angier,Newton,Waban,383,,Yes participating without using any Provision or the CEO,false
A. C. Whelan Elementary School,Revere,Revere,658,,Yes under Community Eligibility Option (CEO),false
A. Irvin Studley Elementary School,Attleboro,Attleboro,372,,Yes under Community Eligibility Option (CEO),false
Abbot Elementary,Westford,Westford,371,,Yes participating without using any Provision or the CEO,false
Abbott Memorial,Florida,Florida,83,,Yes under Community Eligibility Option (CEO),false
Abby Kelley Foster Charter Public School,Abby Kelley Foster Charter Public,Worcester,1426,,Yes under Community Eligibility Option (CEO),true
Abington Early Education Program,Abington,Abington,82,,Yes participating without using any Provision or the CEO,false
Abington High,Abington,Abington,530,,Yes under Community Eligibility Option (CEO),false
Abington Middle School,Abington,Abington,668,,Yes under Community Eligibility Option (CEO),false
Abner Gibbs,Westfield,Westfield,196,,Yes participating without using any Provision or the CEO,false
Aborn,Lynn,Lynn,224,,Yes under Community Eligibility Option (CEO),false
Abraham Lincoln,Lowell,Lowell,492,,Yes under Community Eligibility Option (CEO),false
Abraham Lincoln,New Bedford,New Bedford,687,,Yes under Community Eligibility Option (CEO),false
Abraham Lincoln,Revere,Revere,600,,Yes under Community Eligibility Option (CEO),false
Academy Avenue,Weymouth,Weymouth,357,,Yes under Community Eligibility Option (CEO),false
Academy of the Pacific Rim Charter Public School,Academy Of the Pacific Rim Charter Public,Hyde Park,509,,Yes under Community Eligibility Option (CEO),true
Acton-Boxborough Regional High,Acton-Boxborough,Acton,1622,,Yes participating without using any Provision or the CEO,false
Acushnet Elementary School,Acushnet,Acushnet,517,,Yes under Community Eligibility Option (CEO),false
Adams Elementary School,Boston,East Boston,237,,Yes under Community Eligibility Option (CEO),false
Adams School,Everett,Everett,162,,Yes under Community Eligibility Option (CEO),false
Advanced Community Experience Program,Lunenburg,Lunenburg,10,,Yes participating without using any Provision or the CEO,false
Advanced Math and Science Academy Charter School,Advanced Math and Science Academy Charter,Marlborough,970,,No,true
Agawam Early Childhood Center,Agawam,Agawam,135,,Yes participating without using any Provision or the CEO,false
Agawam High,Agawam,Agawam,1025,,Yes under Community Eligibility Option (CEO),false
Agawam Junior High,Agawam,Feeding Hills,527,,Yes under Community Eligibility Option (CEO),false
Albert D Holland School of Technology,Boston,Dorchester,399,,Yes under Community Eligibility Option (CEO),false
Albert F Ford Middle School,Acushnet,Acushnet,403,,Yes under Community Eligibility Option (CEO),false
Albert F. Argenziano School at Lincoln Park,Somerville,Somerville,553,,Yes under Community Eligibility Option (CEO),true
Albert S. Woodward Memorial School,Southborough,Southborough,286,,Yes participating without using any Provision or the CEO,false
Alcott,Concord,Concord,438,,Yes participating without using any Provision or the CEO,false
Alden School,Duxbury,Duxbury,622,,Yes participating without using any Provision or the CEO,false
Alexander B Bruce,Lawrence,Lawrence,462,,Yes under Community Eligibility Option (CEO),true
Alfred G. Zanetti Montessori Magnet School,Springfield,Springfield,432,,Yes under Community Eligibility Option (CEO),true
Alfred J Gomes,New Bedford,New Bedford,623,,Yes under Community Eligibility Option (CEO),false
Alfred M Chaffee,Oxford,Oxford,313,,Yes under Community Eligibility Option (CEO),false
Algonquin Regional High,Northboro-Southboro,Northborough,1197,,Yes participating without using any Provision or the CEO,false
Alice a Macomber,Westport,Westport,163,,Yes under Community Eligibility Option (CEO),false
Alice B Beal Elementary,Springfield,Springfield,292,,Yes under Community Eligibility Option (CEO),false
Alice M Barrows,Reading,Reading,365,,Yes participating without using any Provision or the CEO,false
Alighieri Dante Montessori School,Boston,East Boston,109,,Yes under Community Eligibility Option (CEO),false
