school_name,district_name,city_name,total_students,frl_eligible_students,national_school_lunch_program
A. Mario Loiederman Middle,Montgomery County Public Schools,Silver Spring,978,614,Yes participating without using any Provision or the CEO
Aacps Virtual Academy,Anne Arundel County Public Schools,Arnold,384,51,Yes participating without using any Provision or the CEO
Abbottston Elementary,Baltimore City Public Schools,Baltimore,330,270,Yes under Community Eligibility Option (CEO)
Aberdeen High,Harford County Public Schools,Aberdeen,1396,721,Yes participating without using any Provision or the CEO
Aberdeen Middle,Harford County Public Schools,Aberdeen,1071,658,Yes under Community Eligibility Option (CEO)
Abingdon Elementary,Harford County Public Schools,Abingdon,641,298,Yes participating without using any Provision or the CEO
Academy for College and Career Exploration,Baltimore City Public Schools,Baltimore,967,765,Yes under Community Eligibility Option (CEO)
Academy of Health Sciences at Pgcc,Prince George's County Public Schools,Largo,462,232,Yes participating without using any Provision or the CEO
Accident Elementary,Garrett County Public Schools,Accident,221,118,Yes participating without using any Provision or the CEO
Accokeek Academy,Prince George's County Public Schools,Accokeek,1445,662,Yes participating without using any Provision or the CEO
Achievement Academy at Harbor City High,Baltimore City Public Schools,Baltimore,314,281,Yes under Community Eligibility Option (CEO)
Adelphi Elementary,Prince George's County Public Schools,Adelphi,505,449,Yes under Community Eligibility Option (CEO)
Albert Einstein High,Montgomery County Public Schools,Kensington,1991,845,Yes participating without using any Provision or the CEO
Allegany High,Allegany County Public Schools,Cumberland,719,360,Yes under Community Eligibility Option (CEO)
Allenwood Elementary,Prince George's County Public Schools,Temple Hills,371,326,Yes under Community Eligibility Option (CEO)
Andrew Jackson Academy,Prince George's County Public Schools,Forestville,458,430,Yes under Community Eligibility Option (CEO)
Annapolis Elementary,Anne Arundel County Public Schools,Annapolis,190,157,Yes participating without using any Provision or the CEO
Annapolis High,Anne Arundel County Public Schools,Annapolis,2075,1298,Yes participating without using any Provision or the CEO
Annapolis Middle,Anne Arundel County Public Schools,Annapolis,790,672,Yes participating without using any Provision or the CEO
Anne Arundel Evening High,Anne Arundel County Public Schools,Severna Park,439,17,Yes participating without using any Provision or the CEO
Apple Grove Elementary,Prince George's County Public Schools,Fort Washington,277,259,Yes under Community Eligibility Option (CEO)
Arbutus Elementary,Baltimore County Public Schools,Baltimore,410,250,Yes under Community Eligibility Option (CEO)
Arbutus Middle,Baltimore County Public Schools,Baltimore,974,532,Yes under Community Eligibility Option (CEO)
Arcola Elementary,Montgomery County Public Schools,Silver Spring,747,429,Yes under Community Eligibility Option (CEO)
Ardmore Elementary,Prince George's County Public Schools,Springdale,470,434,Yes under Community Eligibility Option (CEO)
Argyle Middle,Montgomery County Public Schools,Silver Spring,868,533,Yes participating without using any Provision or the CEO
Arlington Elementary,Baltimore City Public Schools,Baltimore,529,429,Yes under Community Eligibility Option (CEO)
Armistead Gardens Elementary/Middle,Baltimore City Public Schools,Baltimore,773,572,Yes under Community Eligibility Option (CEO)
Arnold Elementary,Anne Arundel County Public Schools,Arnold,454,59,Yes participating without using any Provision or the CEO
