school_name,district_name,city_name,total_students,frl_eligible_students,national_school_lunch_program
Abraham Lincoln School,Bangor Public Schools,Bangor,184,108,Yes under Community Eligibility Option (CEO)
Academy Hill School,Rsu 09,Wilton,178,115,Yes under Provision 2
Acadia Academy School,Acadia Academy,Lewiston,250,80,No
Acton Elementary School,Acton Public Schools,Acton,256,77,Yes under Provision 2
Adams School,Castine Public Schools,Castine,45,8,Yes under Provision 2
Agnes Gray School,Rsu 17/Msad 17,West Paris,27,17,Yes under Provision 2
Airline Community School,Airline CSD,Aurora,30,21,Yes participating without using any Provision or the CEO
Albert S Hall School,Waterville Public Schools,Waterville,237,169,Yes participating without using any Provision or the CEO
Albion Elementary School,Rsu 49/Msad 49,Albion,126,62,Yes participating without using any Provision or the CEO
Alexander Elementary,Alexander Public Schools,Alexander,44,18,Yes under Provision 2
Alfred Elementary School,Rsu 57/Msad 57,Alfred,179,63,Yes under Provision 2
Alton Elementary School,Rsu 34,Alton,40,22,Yes under Provision 2
Amanda C Rowe School,Portland Public Schools,Portland,470,212,Yes under Community Eligibility Option (CEO)
Ames Elementary School,Rsu 71,Searsmont,122,69,Yes under Community Eligibility Option (CEO)
Andover Elementary School,Andover Public Schools,Andover,25,14,Yes under Provision 2
Appleton Village School,Appleton Public Schools,Appleton,132,64,Yes under Provision 2
Arthur R. Gould Sch--Lcydc,Arthur R. Gould Sch--LCYDC,South Portland,16,11,Yes participating without using any Provision or the CEO
Asa C Adams School,Rsu 26,Orono,336,122,Yes under Provision 2
Ash Point Community School,Rsu 13,Owls Head,158,61,Yes under Provision 2
Ashland District School,Rsu 32/Msad 32,Ashland,234,124,Yes under Provision 2
Athens Community School,Athens Public Schools,Athens,105,71,Yes under Provision 2
Auburn Middle School,Auburn Public Schools,Auburn,499,321,Yes under Community Eligibility Option (CEO)
Bangor High School,Bangor Public Schools,Bangor,1068,475,Yes under Community Eligibility Option (CEO)
Bath Middle School,Rsu 01 - Lkrsu,Bath,317,150,Yes under Provision 2
Baxter Academy for Tech & Sciences,Baxter Academy for Technology and Science,Portland,384,77,No
Bay Ridge Elementary,Cutler Public Schools,Cutler,36,31,Yes participating without using any Provision or the CEO
Beals Elementary School,Beals Public Schools,Beals,48,33,Yes under Provision 2
Beech Hill School,Otis Public Schools,Otis,70,24,Yes participating without using any Provision or the CEO
Belfast Area High School,Rsu 71,Belfast,476,241,Yes under Community Eligibility Option (CEO)
Belgrade Central School,Rsu 18,Belgrade,236,88,Yes participating without using any Provision or the CEO
Benton Elementary School,Rsu 49/Msad 49,Benton,575,312,Yes participating without using any Provision or the CEO
Biddeford High School,Biddeford Public Schools,Biddeford,894,550,Yes under Community Eligibility Option (CEO)
Biddeford Intermediate School,Biddeford Public Schools,Biddeford,357,237,Yes under Community Eligibility Option (CEO)
Biddeford Middle School,Biddeford Public Schools,Biddeford,542,331,Yes under Community Eligibility Option (CEO)
Biddeford Primary School,Biddeford Public Schools,Biddeford,483,323,Yes under Community Eligibility Option (CEO)
Bloomfield Elementary School,Rsu 54/Msad 54,Skowhegan,267,200,Yes under Community Eligibility Option (CEO)
Blue Hill Consolidated School,Blue Hill Public Schools,Blue Hill,256,101,Yes under Provision 2
Blue Point School,Scarborough Public Schools,Scarborough,214,41,Yes under Provision 2
Bonny Eagle High School,Rsu 06/Msad 06,Standish,1027,350,Yes under Provision 2
Bonny Eagle Middle School,Rsu 06/Msad 06,Buxton,712,261,Yes under Provision 2
Boothbay Region Elem School,Boothbay-Boothbay Hbr CSD,Boothbay Harbor,307,136,Yes under Provision 2
Boothbay Region High School,Boothbay-Boothbay Hbr CSD,Boothbay Harbor,172,79,Yes under Provision 2
Bowdoin Central School,Rsu 75/Msad 75,Bowdoin,194,72,Yes under Provision 2
Bowdoinham Community School,Rsu 75/Msad 75,Bowdoinham,192,64,Yes under Provision 2
Brewer Community School,Brewer Public Schools,Brewer,800,361,Yes under Provision 2
Brewer High School,Brewer Public Schools,Brewer,690,268,Yes under Provision 2
Bristol Consolidated School,Bristol Public Schools,Pemaquid,189,56,Yes under Provision 2
Brooklin School,Brooklin Public Schools,Brooklin,57,32,Yes participating without using any Provision or the CEO
Brooksville Elementary School,Brooksville Public Schools,Brooksville,42,23,Yes under Provision 2
Brownfield Denmark Elementary School,Rsu 72/Msad 72,Denmark,77,50,Yes participating without using any Provision or the CEO
Brownville Elementary School,Rsu 41/Msad 41,Brownville,93,79,Yes under Community Eligibility Option (CEO)
Bruce M Whittier Middle School,Rsu 16,Poland,272,105,Yes participating without using any Provision or the CEO
Brunswick High School,Brunswick Public Schools,Brunswick,722,209,Yes under Provision 2
Brunswick Jr High School,Brunswick Public Schools,Brunswick,544,180,Yes under Provision 2
