school_name,district_name,city_name,total_students,frl_eligible_students,national_school_lunch_program,admin_approved
12th Street Elementary,Portage Public Schools,Portage,589,122,Yes participating without using any Provision or the CEO,false
54th Street Academy,Kelloggsville Public Schools,Grand Rapids,94,83,Yes under Community Eligibility Option (CEO),true
56 Building at Georgetown,Hudsonville Public School District,Hudsonville,626,82,Yes participating without using any Provision or the CEO,false
Aa Rather School,Ionia Public Schools,Ionia,308,157,Yes under Community Eligibility Option (CEO),false
Abbot School,Ann Arbor Public Schools,Ann Arbor,315,133,Yes under Community Eligibility Option (CEO),false
Aberdeen Academy,Grand Rapids Public Schools,Grand Rapids,241,166,Yes under Community Eligibility Option (CEO),true
Academic and Career Education Academy,Academic and Career Education Academy,Midland,85,74,Yes under Community Eligibility Option (CEO),true
Academy 21,Center Line Public Schools,Warren,148,105,Yes under Community Eligibility Option (CEO),true
Academy for Business and Technology Elementary,Academy for Business and Technology,Dearborn,256,256,Yes under Community Eligibility Option (CEO),false
Academy for Business and Technology High School,Academy for Business and Technology,Melvindale,231,228,Yes under Community Eligibility Option (CEO),true
Academy of Science Math and Technology Early College High Sc,Mason County Central Schools,Ludington,45,18,Yes participating without using any Provision or the CEO,false
Academy of the Americas at Logan,Detroit Public Schools Community District,Detroit,495,421,Yes under Community Eligibility Option (CEO),false
Academy of the Americas High School,Detroit Public Schools Community District,Detroit,874,752,Yes under Community Eligibility Option (CEO),true
Academy of Warren,Academy of Warren,Warren,817,790,Yes under Community Eligibility Option (CEO),true
Academy West Alternative Education,Westwood Heights Schools,Flint,199,178,Yes under Community Eligibility Option (CEO),true
Acce,Ypsilanti Community Schools,Ypsilanti,175,139,Yes under Community Eligibility Option (CEO),true
Accelerated Learning Academy,Flint School District of the City of,Flint,126,112,Yes under Community Eligibility Option (CEO),true
Aces Academy,Alpena Public Schools,Alpena,57,43,Yes under Community Eligibility Option (CEO),true
Achieve Charter Academy,Achieve Charter Academy,Canton,771,227,Yes under Community Eligibility Option (CEO),false
Ackerson High School,Napoleon Community Schools,Napoleon,84,62,Yes under Community Eligibility Option (CEO),true
Actech High School,Ypsilanti Community Schools,Ypsilanti,459,284,Yes under Community Eligibility Option (CEO),true
Ad Johnston Jrsr High School,Bessemer Area School District,Bessemer,164,102,Yes under Community Eligibility Option (CEO),true
Ada Elementary School,Forest Hills Public Schools,Ada,293,32,Yes participating without using any Provision or the CEO,false
Ada Vista Elementary School,Forest Hills Public Schools,Ada,446,31,Yes participating without using any Provision or the CEO,false
Adams Elementary School,Sigel Township S/D #3F,Bad Axe,25,5,Yes participating without using any Provision or the CEO,false
Adams Elementary School,Midland Public Schools,Midland,479,134,Yes participating without using any Provision or the CEO,false
Adams Elementary School,Zeeland Public Schools,Zeeland,343,68,Yes participating without using any Provision or the CEO,false
Adams Middle School,Wayne-Westland Community School District,Westland,591,385,Yes under Community Eligibility Option (CEO),true
Adamsyoung Building,Lincoln-King Adams-Young Academy,Detroit,520,454,Yes under Community Eligibility Option (CEO),false
Addams Elementary and Ecc,Royal Oak Schools,Royal Oak,436,81,Yes participating without using any Provision or the CEO,false
Addison Elementary School,Addison Community Schools,Addison,328,160,Yes under Community Eligibility Option (CEO),false
Addison High School,Addison Community Schools,Addison,190,70,Yes under Community Eligibility Option (CEO),false
Addison Middle School,Addison Community Schools,Addison,164,85,Yes under Community Eligibility Option (CEO),true
Adlai Stevenson Elementary School,Southfield Public School District,Southfield,527,345,Yes under Community Eligibility Option (CEO),false
Adlai Stevenson High School,Utica Community Schools,Sterling Heights,1881,1023,Yes under Community Eligibility Option (CEO),false
Adlai Stevenson Middle School,Wayne-Westland Community School District,Westland,768,435,Yes under Community Eligibility Option (CEO),true
Adrian Community High School,Adrian Public Schools,Adrian,40,31,Yes under Community Eligibility Option (CEO),true
Adrian High School,Adrian Public Schools,Adrian,804,420,Yes under Community Eligibility Option (CEO),true
Adult Transition Services,Livingston ESA,Howell,76,29,Yes participating without using any Provision or the CEO,false
Advanced Technology Academy,Advanced Technology Academy,Dearborn,1207,1111,Yes under Community Eligibility Option (CEO),true
Advantage Alternative Program,Hazel Park School District of the City of,Hazel Park,150,126,Yes under Community Eligibility Option (CEO),true
Agbu Alexmarie Manoogian School,AGBU Alex-Marie Manoogian School,Southfield,426,234,Yes participating without using any Provision or the CEO,true
Airport Center for Education,Airport Community Schools,Carleton,49,36,Yes under Community Eligibility Option (CEO),true
Airport Senior High School,Airport Community Schools,Carleton,760,346,Yes under Community Eligibility Option (CEO),false
Akronfairgrove Elem School,Akron-Fairgrove Schools,Akron,179,114,Yes under Community Eligibility Option (CEO),false
Akronfairgrove Jrsr High School,Akron-Fairgrove Schools,Fairgrove,181,124,Yes under Community Eligibility Option (CEO),true
Akronfairgrove Schools Academic Learning Center,Akron-Fairgrove Schools,Fairgrove,4,,Yes participating without using any Provision or the CEO,false
Al Holmes Academy of Blended Learning,Detroit Public Schools Community District,Detroit,401,377,Yes under Community Eligibility Option (CEO),true
Alaiedon Elementary School,Mason Public Schools (Ingham),Mason,375,90,Yes under Community Eligibility Option (CEO),false
Alamo Elementary School,Otsego Public Schools,Kalamazoo,287,85,Yes under Community Eligibility Option (CEO),false
Alanson Public School,Alanson Public Schools,Alanson,223,173,Yes under Community Eligibility Option (CEO),true
Alba School,Alba Public Schools,Alba,96,75,Yes under Community Eligibility Option (CEO),true
Albert Schweitzer Elementary School,Wayne-Westland Community School District,Westland,407,252,Yes under Community Eligibility Option (CEO),false
Alcona Community High School,Alcona Community Schools,Harrisville,369,260,Yes under Community Eligibility Option (CEO),true
Alcona Elementary School,Alcona Community Schools,Harrisville,318,256,Yes under Community Eligibility Option (CEO),false
Alcott School,Pontiac City School District,Pontiac,334,215,Yes under Community Eligibility Option (CEO),false
Alexander Elementary School,Adrian Public Schools,Adrian,468,282,Yes under Community Eligibility Option (CEO),false
