school_name,district_name,city_name,total_students,frl_eligible_students,national_school_lunch_program,admin_approved
112 ALC Independent Study,Eastern Carver County Public School,Chaska,28,6,No,false
112 ALC Middle School,Eastern Carver County Public School,Chaska,411,140,No,true
196ONLINE High School,Rosemount-Apple Valley-Eagan,Rosemount,71,31,No,false
279ONLINE Learning Program 6-8,Osseo Public School District,Brooklyn Park,78,44,No,false
279ONLINE Learning Program 9-12,Osseo Public School District,Brooklyn Park,149,79,No,false
279ONLINE Learning Program K-5,Osseo Public School District,Brooklyn Park,64,36,No,false
5RIVERSONLINE Elementary,Goodhue County Education District,Red Wing,22,5,No,false
5RIVERSONLINE Secondary,Goodhue County Education District,Red Wing,188,56,No,false
6-12th Grade Building,Clinton-Graceville-Beardsley,Graceville,133,38,Yes participating without using any Provision or the CEO,false
622 Alternative Middle/High School,North St. Paul-Maplewood Oakdale,North Saint Paul,30,24,Yes under Community Eligibility Option (CEO),false
622 Online High School,North St. Paul-Maplewood Oakdale,North Saint Paul,74,44,No,false
882 Online,Monticello Public School District,Monticello,80,24,No,false
916 ALC Pm,Northeast Metro 916,Little Canada,47,29,No,false
916 Mahtomedi Academy,Northeast Metro 916,White Bear Lake,29,17,Yes participating without using any Provision or the CEO,true
917 Case,Intermediate School District 917,Rosemount,5,,Yes under Community Eligibility Option (CEO),true
917 Dash,Intermediate School District 917,Rosemount,20,10,No,false
917 Dcals Main,Intermediate School District 917,Rosemount,112,56,No,false
917 Dcals Main Extended Day Edop,Intermediate School District 917,Rosemount,10,7,No,false
917 Dcals North,Intermediate School District 917,West Saint Paul,54,38,Yes under Community Eligibility Option (CEO),false
917 Deaf/Hard of Hearing,Intermediate School District 917,South Saint Paul,29,11,No,false
917 Idea,Intermediate School District 917,Rosemount,37,21,Yes under Community Eligibility Option (CEO),true
917 New Chance,Intermediate School District 917,Hastings,3,,No,false
917 Riverside School,Intermediate School District 917,Hastings,17,14,Yes participating without using any Provision or the CEO,false
917 Sun,Intermediate School District 917,Rosemount,94,60,Yes under Community Eligibility Option (CEO),false
917 Tea,Intermediate School District 917,Apple Valley,41,28,Yes under Community Eligibility Option (CEO),false
917 Tesa,Intermediate School District 917,Rosemount,133,59,Yes under Community Eligibility Option (CEO),false
A. G. A. P. E. Teen Parent,Saint Paul Public Schools,Saint Paul,26,23,Yes under Community Eligibility Option (CEO),true
A.c.g.c. Elementary,A.C.G.C. Public School District,Atwater,369,198,Yes participating without using any Provision or the CEO,false
A.c.g.c. Secondary,A.C.G.C. Public School District,Grove City,390,168,Yes participating without using any Provision or the CEO,true
A.i. Jedlicka Middle School,Proctor Public School District,Proctor,450,159,Yes participating without using any Provision or the CEO,false
A/O Program,Northeast Metro 916,Stillwater,5,,Yes participating without using any Provision or the CEO,false
Abe Diploma Program,Rosemount-Apple Valley-Eagan,Apple Valley,40,18,No,true
Academia Cesar Chavez Elementary,Academias La Paz,Saint Paul,336,298,Yes participating without using any Provision or the CEO,false
Academia Cesar Chavez Middle School,Academias La Paz,Saint Paul,149,135,Yes participating without using any Provision or the CEO,false
Academic Arts High School,Academic Arts High School,West Saint Paul,78,22,No,true
Academic Excellence Online,Duluth Public School District,Duluth,54,18,No,true
Acgc Elementary Grades 5 and 6,A.C.G.C. Public School District,Grove City,134,58,No,false
Achieve Language Academy,Achieve Language Academy,Saint Paul,451,366,Yes under Community Eligibility Option (CEO),false
Ada-Borup-West Elementary,Ada-Borup-West Public Schools,Ada,370,188,Yes participating without using any Provision or the CEO,false
Ada-Borup-West Secondary,Ada-Borup-West Public Schools,Ada,335,132,Yes participating without using any Provision or the CEO,false
Adams Elementary,Anoka-Hennepin School District,Coon Rapids,454,280,Yes participating without using any Provision or the CEO,false
Adams Elementary,Fergus Falls Public School District,Fergus Falls,254,90,Yes participating without using any Provision or the CEO,false
Adams Magnet Elementary,Saint Paul Public Schools,Saint Paul,605,245,Yes under Community Eligibility Option (CEO),false
Adrian Elementary,Adrian Public School District,Adrian,295,108,Yes participating without using any Provision or the CEO,false
Adrian Middle,Adrian Public School District,Adrian,139,53,Yes participating without using any Provision or the CEO,false
Adrian Secondary,Adrian Public School District,Adrian,155,55,Yes participating without using any Provision or the CEO,true
Adult Academics,Robbinsdale Public School District,Crystal,1,,Yes participating without using any Provision or the CEO,true
Afsa Elementary,AFSA High School,Little Canada,149,123,Yes participating without using any Provision or the CEO,false
Afsa High School,AFSA High School,Vadnais Heights,246,137,Yes participating without using any Provision or the CEO,false
Afton-Lakeland Elementary,Stillwater Area Public Schools,Lakeland,437,69,Yes participating without using any Provision or the CEO,false
Agamim Classical Academy,Agamim Classical Academy,Edina,266,121,Yes participating without using any Provision or the CEO,false
Ages 3-5 Early Childhood Special Ed,South Washington County Schools,Cottage Grove,591,171,No,false
Aim Academy of Science & Technology,Aim Academy of Science & Technology,Minneapolis,178,174,Yes under Community Eligibility Option (CEO),false
Aitkin Alternative Learning Program,Aitkin Public School District,Aitkin,4,,No,true
Aitkin Secondary School,Aitkin Public School District,Aitkin,509,210,Yes participating without using any Provision or the CEO,true
Akin Road Elementary,Farmington Public School District,Farmington,479,145,Yes participating without using any Provision or the CEO,false
Albany Area Early Learning Center,Albany Public School District,Albany,59,19,Yes participating without using any Provision or the CEO,false
Albany Area High School,Albany Public School District,Albany,584,78,Yes participating without using any Provision or the CEO,false
Albany Area Middle School,Albany Public School District,Albany,457,88,Yes participating without using any Provision or the CEO,false
Albany Elementary,Albany Public School District,Albany,380,90,Yes participating without using any Provision or the CEO,false
Albert Lea Area Learning Center,Albert Lea Public School District,Albert Lea,113,80,No,true
Albert Lea Secondary Online Academy,Albert Lea Public School District,Albert Lea,37,28,No,false
Albert Lea Senior High,Albert Lea Public School District,Albert Lea,1196,606,Yes under Community Eligibility Option (CEO),true
Albertville Primary,St. Michael-Albertville Schools,Albertville,422,92,Yes participating without using any Provision or the CEO,false
ALC - Sartell,St. Cloud Public School District,Sartell,2,,No,false
ALC - Sauk Rapids,St. Cloud Public School District,Sauk Rapids,59,35,No,false
ALC Gateway to College,Saint Paul Public Schools,Saint Paul,107,73,No,true
ALC Independent Study,Osseo Public School District,Brooklyn Park,26,21,No,true
ALC Independent Study,Duluth Public School District,Duluth,235,138,No,false
ALC Independent Study,Prior Lake-Savage Area Schools,Prior Lake,34,12,No,false
ALC Senior High,Osseo Public School District,Brooklyn Park,107,67,Yes under Community Eligibility Option (CEO),true
ALC Sws Denfeld,Duluth Public School District,Duluth,57,45,No,false
ALC Sws East,Duluth Public School District,Duluth,74,27,No,false
ALC Sws Lincoln Park,Duluth Public School District,Duluth,65,45,No,false
ALC Sws Ordean East,Duluth Public School District,Duluth,47,29,No,false
Alden-Conger Elementary,Alden-Conger Public School District,Alden,229,79,Yes participating without using any Provision or the CEO,false
Alden-Conger Secondary,Alden-Conger Public School District,Alden,215,64,Yes participating without using any Provision or the CEO,false
Alexander Learning Academy,Cannon Valley Special Education Coo,Faribault,32,22,Yes under Community Eligibility Option (CEO),true
