school_name,district_name,city_name,total_students,frl_eligible_students,national_school_lunch_program
6th Grade Center,Waynesville R-VI,Waynesville,451,228,Yes participating without using any Provision or the CEO
A. D. Stowell Elem.,Hannibal 60,Hannibal,221,150,Yes participating without using any Provision or the CEO
Abraham Mallinson Elementary,Independence 30,Sugar Creek,282,239,Yes participating without using any Provision or the CEO
Ac Prep Elementary,Kansas City 33,Kansas City,366,366,Yes under Community Eligibility Option (CEO)
Acad of Entre Stdy@louverture,St. Louis City,St. Louis,289,289,Yes under Community Eligibility Option (CEO)
Academie Lafayette Armour Ihs,Academie Lafayette,Kansas City,118,50,Yes participating without using any Provision or the CEO
Academie Lafayette Armour Ims,Academie Lafayette,Kansas City,295,85,Yes participating without using any Provision or the CEO
Academie Lafayette Cherry Elem,Academie Lafayette,Kansas City,492,166,Yes participating without using any Provision or the CEO
Academie Lafayette Oak Elem,Academie Lafayette,Kansas City,520,140,Yes participating without using any Provision or the CEO
Academy for Integrated Arts,Academy for Integrated Arts,Kansas City,244,244,Yes under Community Eligibility Option (CEO)
Ackerman,Specl. Sch. Dst. St. Louis Co.,Florissant,137,137,Yes under Community Eligibility Option (CEO)
Adah Fulbright Early Childhood,Springfield R-XII,Springfield,189,103,Yes participating without using any Provision or the CEO
Adair Co. Elem.,Adair Co. R-II,Brashear,73,35,Yes participating without using any Provision or the CEO
Adair Co. Elem.,Adair Co. R-I,Novinger,105,55,Yes under Community Eligibility Option (CEO)
Adair Co. High,Adair Co. R-II,Brashear,71,22,Yes participating without using any Provision or the CEO
Adair Co. High,Adair Co. R-I,Novinger,101,48,Yes participating without using any Provision or the CEO
Adams Elem.,St. Louis City,St Louis,171,171,Yes under Community Eligibility Option (CEO)
Adrian Elem.,Adrian R-III,Adrian,314,100,Yes participating without using any Provision or the CEO
Adrian Sr. High,Adrian R-III,Adrian,375,77,Yes participating without using any Provision or the CEO
Advance Elem.,Advance R-IV,Advance,240,111,Yes participating without using any Provision or the CEO
Advance High,Advance R-IV,Advance,188,68,Yes participating without using any Provision or the CEO
Affton High,Affton 101,St Louis,761,314,Yes participating without using any Provision or the CEO
Albany High,Albany R-III,Albany,130,64,Yes participating without using any Provision or the CEO
Albany Middle,Albany R-III,Albany,96,38,Yes participating without using any Provision or the CEO
Alexander Doniphan Elem.,Liberty 53,Liberty,336,85,Yes participating without using any Provision or the CEO
Alexander Elem.,Slater,Slater,226,,Yes under Community Eligibility Option (CEO)
Alfred L. Renner Elem.,Park Hill,Kansas City,403,176,Yes participating without using any Provision or the CEO
Allen Village Elementary Acade,Allen Village,Kansas City,87,78,Yes under Community Eligibility Option (CEO)
Allen Village High School,Allen Village,Kansas City,130,107,Yes under Community Eligibility Option (CEO)
Allen Village Junior Academy,Allen Village,Kansas City,92,72,Yes under Community Eligibility Option (CEO)
Allen Village Preschool,Allen Village,Kansas City,9,6,Yes participating without using any Provision or the CEO
Allen Village Primary Academy,Allen Village,Kansas City,66,53,Yes under Community Eligibility Option (CEO)
Alma Schrader Elem.,Cape Girardeau 63,Cape Girardeau,332,332,Yes under Community Eligibility Option (CEO)
Alpha Hart Lewis,Columbia 93,Columbia,468,468,Yes under Community Eligibility Option (CEO)
Altenburg Elem.,Altenburg 48,Altenburg,113,35,Yes participating without using any Provision or the CEO
Alternative Resource Ctr.,Division of Youth Service,Kansas City,2,,Yes participating without using any Provision or the CEO
Alternative School,Lesterville R-IV,Lesterville,35,32,Yes participating without using any Provision or the CEO
Alton Elementary,Alton R-IV,Alton,290,208,Yes participating without using any Provision or the CEO
Alton High,Alton R-IV,Alton,281,160,Yes participating without using any Provision or the CEO
Amazonia Elem.,Savannah R-III,Amazonia,100,43,Yes participating without using any Provision or the CEO
Ames Visual/Perf. Arts,St. Louis City,St Louis,131,131,Yes under Community Eligibility Option (CEO)
Anderson Elem.,McDonald Co. R-I,Anderson,521,314,Yes participating without using any Provision or the CEO
Anderson Middle,McDonald Co. R-I,Anderson,275,176,Yes participating without using any Provision or the CEO
Ann Hawkins Gentry Mid. School,Columbia 93,Columbia,736,233,Yes participating without using any Provision or the CEO
Antioch Middle,North Kansas City 74,Gladstone,886,355,Yes participating without using any Provision or the CEO
Antonia Elem.,Fox C-6,Imperial,452,106,Yes participating without using any Provision or the CEO
Antonia Middle School,Fox C-6,Barnhart,535,162,Yes participating without using any Provision or the CEO
Appleton City Elem.,Appleton City R-II,Appleton City,161,94,Yes participating without using any Provision or the CEO
Appleton City High,Appleton City R-II,Appleton City,170,70,Yes participating without using any Provision or the CEO
Arcadia Valley Elem.,Arcadia Valley R-II,Ironton,387,387,Yes under Community Eligibility Option (CEO)
Arcadia Valley High,Arcadia Valley R-II,Ironton,306,71,Yes under Community Eligibility Option (CEO)
