school_name,district_name,city_name,total_students,frl_eligible_students,national_school_lunch_program,admin_approved
28th Street Elementary,Gulfport School District,Gulfport,359,357,Yes under Community Eligibility Option (CEO),false
A. W. Watson Elementary,Claiborne County Public Schools,Port Gibson,531,531,Yes under Community Eligibility Option (CEO),false
A.w. James Elementary,Sunflower County Consolidated School District,Drew,219,219,Yes under Community Eligibility Option (CEO),false
Aberdeen Elementary,Aberdeen School District,Aberdeen,346,343,No,false
Aberdeen High School,Aberdeen School District,Aberdeen,312,312,Yes under Community Eligibility Option (CEO),true
Ackerman Elementary,Choctaw County Schools,Ackerman,462,459,No,false
Agricola Elementary School,George County School District,Lucedale,543,307,No,false
Akin Elementary School,Greenville Public School District,Greenville,255,255,Yes under Community Eligibility Option (CEO),false
Alcorn Central Elementary School,Alcorn School District,Glen,510,366,No,false
Alcorn Central High School,Alcorn School District,Glen,386,234,No,true
Alcorn Central Middle School,Alcorn School District,Glen,371,258,No,true
Alexander Junior High,Brookhaven School District,Brookhaven,340,281,No,false
Amanda Elzy High School,Greenwood-Leflore Consolidated School District,Greenwood,367,367,Yes under Community Eligibility Option (CEO),false
Amanda Elzy Junior High School,Greenwood-Leflore Consolidated School District,Greenwood,199,199,Yes under Community Eligibility Option (CEO),false
Ambition Preparatory Charter School,Ambition Preparatory Charter School,Jackson,563,563,Yes under Community Eligibility Option (CEO),false
Amite County Elementary,Amite County School District,Liberty,486,486,Yes under Community Eligibility Option (CEO),false
Amite County High School,Amite County School District,Liberty,284,284,Yes under Community Eligibility Option (CEO),true
Amite County Middle School,Amite County School District,Liberty,144,144,Yes under Community Eligibility Option (CEO),false
Amory High School,Amory School District,Amory,444,276,No,false
Amory Middle School,Amory School District,Amory,348,244,No,true
Anderson Elementary School,Booneville School District,Booneville,551,396,No,false
Ann E. Smith Elementary,Madison County Schools,Ridgeland,715,550,No,false
Anniston Elementary,Gulfport School District,Gulfport,482,481,Yes under Community Eligibility Option (CEO),false
Arlington Elem,Pascagoula-Gautier School District,Pascagoula,333,284,No,false
Armstrong Junior High School,Starkville Oktibbeha Consolidated School District,Starkville,358,239,No,true
Ashland Elementary School,Benton County School District,Ashland,262,246,No,false
Ashland High School,Benton County School District,Ashland,212,187,No,false
B F Liddell Middle,Noxubee County School District,Macon,305,305,Yes under Community Eligibility Option (CEO),false
Back Bay Elementary School,Biloxi Public School District,Biloxi,528,346,No,false
Bailey Apac Middle School,Jackson Public Schools,Jackson,318,315,No,false
Baldwyn Elementary,Baldwyn School District,Baldwyn,279,215,No,false
Baldwyn High School,Baldwyn School District,Baldwyn,460,322,No,true
Bankston Elementary School,Greenwood-Leflore Consolidated School District,Greenwood,254,253,Yes under Community Eligibility Option (CEO),false
Barack Obama Elementary School,Jackson Public Schools,Jackson,242,242,Yes under Community Eligibility Option (CEO),false
Bates Elementary School,Jackson Public Schools,Jackson,482,479,Yes under Community Eligibility Option (CEO),false
Batesville Elementary School,South Panola School District,Batesville,741,651,Yes under Provision 2,false
Batesville Intermediate School,South Panola School District,Batesville,587,525,Yes under Provision 2,false
Batesville Junior High School,South Panola School District,Batesville,756,664,Yes under Provision 2,true
Batesville Middle School,South Panola School District,Batesville,474,419,Yes under Provision 2,false
Baxterville School,Lamar County School District,Lumberton,217,169,No,true
Bay High School,Bay Waveland School District,Bay St Louis,491,,No,true
Bay Springs Elementary School,West Jasper School District,Bay Springs,370,358,No,false
Bay Springs High School,West Jasper School District,Bay Springs,241,227,No,true
Bay Springs Middle School,West Jasper School District,Bay Springs,181,175,No,false
Bay Waveland Middle School,Bay Waveland School District,Bay St. Louis,365,,No,true
Bayou View Elementary,Gulfport School District,Gulfport,638,638,Yes under Community Eligibility Option (CEO),false
Bayou View Middle,Gulfport School District,Gulfport,827,825,Yes under Community Eligibility Option (CEO),false
Beach Elementary,Pascagoula-Gautier School District,Pascagoula,100,,No,false
Beat Four School,Wayne County School District,Waynesboro,416,413,Yes under Provision 2,false
Beechwood Elementary,Vicksburg Warren School District,Vicksburg,550,550,Yes under Community Eligibility Option (CEO),false
Bel-Aire Elementary,Harrison County School District,Gulfport,598,589,Yes under Community Eligibility Option (CEO),false
Bell Academy,Cleveland School District,Boyle,327,327,Yes under Community Eligibility Option (CEO),false
Belle-Shivers Middle School,Aberdeen School District,Aberdeen,266,266,Yes under Community Eligibility Option (CEO),true
Bellevue Elementary,Lamar County School District,Hattiesburg,1145,724,No,false
Belmont Schools,Tishomingo County School District,Belmont,855,559,No,false
Benndale Elementary School,George County School District,Lucedale,138,100,No,false
Bentonia Gibbs School,Yazoo County School District,Bentonia,380,377,No,false
Bettye Mae Jack Middle School,Scott County School District,Morton,486,483,Yes under Provision 2,true
Biggersville Elementary,Alcorn School District,Corinth,354,275,No,false
Biggersville High School,Alcorn School District,Corinth,263,181,No,true
Biloxi High School,Biloxi Public School District,Biloxi,1669,899,No,true
Biloxi Junior High School,Biloxi Public School District,Biloxi,863,547,No,false
Biloxi Upper Elementary School,Biloxi Public School District,Biloxi,844,547,No,false
Blackburn Middle School,Jackson Public Schools,Jackson,317,316,Yes under Community Eligibility Option (CEO),true
Blue Mountain High School,South Tippah School District,Blue Mountain,295,272,No,true
Bogue Chitto School,Lincoln County School District,Bogue Chitto,747,509,No,true
Bolton-Edwards Elem Middle School,Hinds County School District,Bolton,335,335,Yes under Community Eligibility Option (CEO),true
Booker T. Washington International Studies Magnet School,Clarksdale Municipal School District,Clarksdale,247,244,Yes under Community Eligibility Option (CEO),false
Booneville High School,Booneville School District,Booneville,370,222,No,true
Bovina Elementary,Vicksburg Warren School District,Vicksburg,340,340,Yes under Community Eligibility Option (CEO),false
Bowmar Avenue,Vicksburg Warren School District,Vicksburg,324,324,Yes under Community Eligibility Option (CEO),false
Boyd Elementary School,Greenville Public School District,Greenville,298,298,Yes under Community Eligibility Option (CEO),false
Boyd Elementary School,Jackson Public Schools,Jackson,424,424,Yes under Community Eligibility Option (CEO),false
Bramlett Elementary School,Oxford School District,Oxford,715,383,No,false
Brandon Elementary,Rankin County School District,Brandon,743,302,No,false
Brandon High School,Rankin County School District,Brandon,1609,574,No,false
Brandon Middle School,Rankin County School District,Brandon,1155,433,No,true
Brookhaven Elementary School,Brookhaven School District,Brookhaven,368,298,No,false
Brookhaven High School,Brookhaven School District,Brookhaven,758,543,No,true
Bruce Elementary,Calhoun County School District,Bruce,316,234,No,false
Bruce High School,Calhoun County School District,Bruce,435,295,No,true
Buckatunna School,Wayne County School District,Buckatunna,418,415,No,false
Burnsville Elementary School,Tishomingo County School District,Burnsville,410,305,No,false
Byhalia Elementary School,Marshall County School District,Byhalia,515,512,Yes under Provision 2,false
Byhalia High School,Marshall County School District,Byhalia,428,425,Yes under Provision 2,false
Byhalia Middle School,Marshall County School District,Byhalia,438,435,Yes under Provision 2,false
Byram Middle School,Hinds County School District,Terry,785,553,No,true
Caledonia Elementary,Lowndes County School District,Caledonia,1070,548,No,false
Caledonia High School,Lowndes County School District,Caledonia,640,271,No,false
Caledonia Middle School,Lowndes County School District,Caledonia,487,226,No,true
Calhoun City Elementary,Calhoun County School District,Calhoun City,235,215,No,false
Calhoun City High School,Calhoun County School District,Calhoun City,379,309,No,true
Callaway High School,Jackson Public Schools,Jackson,994,994,Yes under Community Eligibility Option (CEO),true
Camden Elementary,Madison County Schools,Camden,99,92,No,false
Canton Elementary School,Canton Public Schools,Canton,411,411,Yes under Community Eligibility Option (CEO),false
Canton High School,Canton Public Schools,Canton,884,899,Yes under Community Eligibility Option (CEO),false
Cardozo Middle School,Jackson Public Schools,Jackson,531,531,Yes under Community Eligibility Option (CEO),true
Carver Elementary,Jeff Davis County School District,Bassfield,252,249,No,false
Carver Elementary,Sunflower County Consolidated School District,Indianola,250,250,Yes under Community Eligibility Option (CEO),false
Carver Elementary School,Meridian Public Schools,Meridian,506,506,Yes under Community Eligibility Option (CEO),true
Carver Elementary School,Tupelo Public School District,Tupelo,312,235,No,false
Casey Elementary School,Jackson Public Schools,Jackson,308,308,Yes under Community Eligibility Option (CEO),false
Casper E Hall,North Bolivar Consolidated,Duncan,194,191,Yes under Community Eligibility Option (CEO),false
Center Hill Elementary School,DeSoto County School District,Olive Branch,788,331,No,false
Center Hill High School,DeSoto County School District,Olive Branch,1059,416,No,false
Center Hill Middle School,DeSoto County School District,Olive Branch,757,353,No,false
Central Elementary,Gulfport School District,Gulfport,482,479,No,false
Central Elementary,Pascagoula-Gautier School District,Pascagoula,245,195,No,false
Central Elementary School,George County School District,Lucedale,660,463,No,false
Central Elementary School,Oxford School District,Oxford,709,325,No,false
Chalybeate Elementary,North Tippah School District,Walnut,264,208,No,false
Charleston Elementary School,East Tallahatchie School District,Charleston,316,313,Yes under Provision 2,false
Charleston High School,East Tallahatchie School District,Charleston,273,270,Yes under Provision 2,true
Charleston Middle School,East Tallahatchie School District,Charleston,208,205,Yes under Provision 2,true
Cherokee Elementary,Pascagoula-Gautier School District,Pascagoula,206,153,No,false
Chickasaw Elementary School,DeSoto County School District,Olive Branch,500,319,No,false
Choctaw County High School,Choctaw County Schools,Ackerman,511,508,No,true
Church Hill Elementary School,West Point Consolidated School District,West Point,379,339,No,false
Clara School,Wayne County School District,Waynesboro,418,415,Yes under Provision 2,false
Clarkdale Elementary School,Lauderdale County School District,Meridian,527,239,No,false
Clarkdale High School,Lauderdale County School District,Meridian,422,177,No,false
Clarksdale Collegiate Public Charter School,Clarksdale Collegiate Public Charter School,Clarksdale,652,640,Yes under Community Eligibility Option (CEO),false
Clarksdale High School,Clarksdale Municipal School District,Clarksdale,473,469,Yes under Community Eligibility Option (CEO),false
Claudine Brown Elementary School,Greenwood-Leflore Consolidated School District,Greenwood,248,248,Yes under Community Eligibility Option (CEO),false
Clausell Elementary School,Jackson Public Schools,Jackson,231,231,Yes under Community Eligibility Option (CEO),false
