school_name,district_name,city_name,total_students,frl_eligible_students,national_school_lunch_program,admin_approved
227 Academy- HS,East Helena K-12,East Helena,59,36,No,false
227 Academy- Middle School,East Helena K-12,East Helena,21,17,No,false
Absarokee 6-8,Absarokee Elem,Absarokee,41,11,Yes participating without using any Provision or the CEO,false
Absarokee High School,Absarokee H S,Absarokee,74,29,Yes participating without using any Provision or the CEO,false
Absarokee School,Absarokee Elem,Absarokee,79,28,Yes participating without using any Provision or the CEO,false
Alberton Elementary,Alberton K-12 Schools,Alberton,89,89,Yes under Community Eligibility Option (CEO),false
Alberton High School,Alberton K-12 Schools,Alberton,41,41,Yes under Community Eligibility Option (CEO),true
Alberton Middle School,Alberton K-12 Schools,Alberton,34,34,Yes under Community Eligibility Option (CEO),true
Alder School,Alder Elem,Alder,11,3,Yes participating without using any Provision or the CEO,true
Alkali Creek School,Billings Elem,Billings,310,99,Yes participating without using any Provision or the CEO,false
Alzada School,Alzada Elem,Alzada,8,,No,false
Amsterdam School,Amsterdam Elem,Manhattan,149,11,No,false
Anaconda Jr High School,Anaconda Elem,Anaconda,148,148,Yes under Community Eligibility Option (CEO),true
Anaconda Sr High School,Anaconda H S,Anaconda,305,305,Yes under Community Eligibility Option (CEO),true
Anderson 7-8,Anderson Elem,Bozeman,49,3,Yes participating without using any Provision or the CEO,false
Anderson School,Anderson Elem,Bozeman,172,3,Yes participating without using any Provision or the CEO,false
Anna Jeffries Elementary,Cut Bank Elem,Cut Bank,118,79,Yes participating without using any Provision or the CEO,false
Arlee 7-8,Arlee Elem,Arlee,57,57,Yes under Community Eligibility Option (CEO),true
Arlee Elementary,Arlee Elem,Arlee,206,206,Yes under Community Eligibility Option (CEO),false
Arlee High School,Arlee H S,Arlee,135,135,Yes under Community Eligibility Option (CEO),true
Arrow Creek Elem School,Pryor Elem,Pryor,55,55,Yes under Community Eligibility Option (CEO),false
Arrowhead Elementary,Arrowhead Elem,Pray,46,27,Yes participating without using any Provision or the CEO,false
Arrowhead Middle School,Arrowhead Elem,Pray,17,9,Yes participating without using any Provision or the CEO,false
Arrowhead School,Billings Elem,Billings,434,80,Yes participating without using any Provision or the CEO,false
Ashland 7-8,Ashland Elem,Ashland,13,13,Yes under Community Eligibility Option (CEO),true
Ashland School,Ashland Elem,Ashland,71,71,Yes under Community Eligibility Option (CEO),false
Auchard Creek School,Auchard Creek Elem,Wolf Creek,13,10,Yes participating without using any Provision or the CEO,true
Augusta 7-8,Augusta Elem,Augusta,13,7,Yes participating without using any Provision or the CEO,false
Augusta Elementary School,Augusta Elem,Augusta,85,41,Yes participating without using any Provision or the CEO,true
Augusta High School,Augusta H S,Augusta,33,24,Yes participating without using any Provision or the CEO,true
Avon School,Avon Elem,Avon,26,,No,false
Ayers School,Ayers Elem,Grass Range,14,11,Yes participating without using any Provision or the CEO,true
B a Winans School,Livingston Elem,Livingston,267,114,Yes participating without using any Provision or the CEO,false
Babb School,Browning Elem,Babb,14,14,Yes under Community Eligibility Option (CEO),false
Bainville 7-8,Bainville K-12 Schools,Bainville,28,6,Yes participating without using any Provision or the CEO,false
Bainville High School,Bainville K-12 Schools,Bainville,47,9,Yes participating without using any Provision or the CEO,false
Bainville School,Bainville K-12 Schools,Bainville,108,20,Yes participating without using any Provision or the CEO,false
Baker 7-8,Baker K-12 Schools,Baker,72,22,Yes participating without using any Provision or the CEO,false
Baker High School,Baker K-12 Schools,Baker,133,35,Yes participating without using any Provision or the CEO,false
Barbara Gilligan 7-8,Brockton Elem,Brockton,17,17,Yes under Community Eligibility Option (CEO),true
Barbara Gilligan School,Brockton Elem,Brockton,76,76,Yes under Community Eligibility Option (CEO),false
Basin School,Basin Elem,Basin,8,,Yes participating without using any Provision or the CEO,false
Bear Paw School,Bear Paw Elem,Chinook,10,,No,false
Beartooth School,Billings Elem,Billings,373,221,Yes participating without using any Provision or the CEO,false
Beaverhead Co High School,Beaverhead County H S,Dillon,339,116,Yes participating without using any Provision or the CEO,false
Belfry 7-8,Belfry K-12 Schools,Belfry,6,,Yes under Community Eligibility Option (CEO),true
Belfry High School,Belfry K-12 Schools,Belfry,16,16,Yes under Community Eligibility Option (CEO),true
Belfry School,Belfry K-12 Schools,Belfry,29,29,Yes under Community Eligibility Option (CEO),false
Belgrade High School,Belgrade H S,Belgrade,958,302,Yes participating without using any Provision or the CEO,false
Belgrade Middle School,Belgrade Elem,Belgrade,978,383,Yes participating without using any Provision or the CEO,false
Belt 7-8,Belt Elem,Belt,55,13,Yes participating without using any Provision or the CEO,false
Belt High School,Belt H S,Belt,92,30,Yes participating without using any Provision or the CEO,true
Belt School,Belt Elem,Belt,178,61,Yes participating without using any Provision or the CEO,false
Ben Steele Middle School,Billings Elem,Billings,740,176,Yes participating without using any Provision or the CEO,false
Bench School,Billings Elem,Billings,332,234,Yes under Community Eligibility Option (CEO),false
Benton Lake School,Benton Lake Elem,Floweree,6,,No,false
Biddle School,Biddle Elem,Biddle,11,,No,false
Big Rose Colony School,Shelby Elem,Shelby,14,9,Yes participating without using any Provision or the CEO,false
Big Sandy 7-8,Big Sandy K-12,Big Sandy,28,20,Yes participating without using any Provision or the CEO,true
Big Sandy High School,Big Sandy K-12,Big Sandy,59,29,Yes participating without using any Provision or the CEO,true
Big Sky Elementary,Billings Elem,Billings,373,221,Yes participating without using any Provision or the CEO,false
Big Sky High School,Missoula H S,Missoula,1148,418,Yes participating without using any Provision or the CEO,true
Big Sky School,Browning Elem,Cut Bank,22,,No,false
Big Stone School,Centerville Elem,Sand Coulee,17,,No,false
Big Timber 7-8,Big Timber Elem,Big Timber,69,25,Yes participating without using any Provision or the CEO,false
Big Timber School,Big Timber Elem,Big Timber,222,89,Yes participating without using any Provision or the CEO,false
Bigfork 6-8,Bigfork Elem,Bigfork,236,53,Yes participating without using any Provision or the CEO,false
Bigfork Elementary,Bigfork Elem,Bigfork,343,107,Yes participating without using any Provision or the CEO,false
Bigfork High School,Bigfork H S,Bigfork,333,66,Yes participating without using any Provision or the CEO,false
Billings Early College School,Billings H S,Billings,60,13,No,false
Billings Multilingual Academy,Billings H S,Billings,20,6,No,false
Billings Multilingual Academy,Billings Elem,Billings,21,9,No,false
Billings Opportunity School,Billings H S,Billings,78,55,No,false
Billings Sr High School,Billings H S,Billings,1629,814,Yes participating without using any Provision or the CEO,true
Billings West High School,Billings H S,Billings,2115,637,Yes participating without using any Provision or the CEO,false
Birney School,Birney Elem,Birney,10,,No,false
Bissell 7-8,Olney-Bissell Elem,Whitefish,17,6,Yes participating without using any Provision or the CEO,true
Bissell School,Olney-Bissell Elem,Whitefish,78,29,Yes participating without using any Provision or the CEO,false
Bitterroot Polytech 7-8,Hamilton K-12 Schools,Hamilton,20,16,No,false
Bitterroot Polytech HS,Hamilton K-12 Schools,Hamilton,87,30,No,false
Bitterroot School,Billings Elem,Billings,264,151,Yes participating without using any Provision or the CEO,false
Bloomfield School,Bloomfield Elem,Bloomfield,8,,No,false
Blue Creek School,Blue Creek Elem,Billings,145,3,Yes participating without using any Provision or the CEO,false
Bo Peep School,Circle Elem,Circle,57,22,Yes participating without using any Provision or the CEO,false
Bonner 6-8,Bonner Elem,Bonner,100,44,Yes participating without using any Provision or the CEO,true
Bonner School,Bonner Elem,Bonner,227,95,Yes participating without using any Provision or the CEO,false
Boulder 7-8,Boulder Elem,Boulder,49,27,Yes participating without using any Provision or the CEO,true
Boulder Elementary School,Boulder Elem,Boulder,166,90,Yes participating without using any Provision or the CEO,false
Boulder School,Billings Elem,Billings,495,117,Yes participating without using any Provision or the CEO,false
Box Elder 7-8,Box Elder Elem,Box Elder,66,66,Yes under Community Eligibility Option (CEO),true
Box Elder High School,Box Elder H S,Box Elder,86,86,Yes under Community Eligibility Option (CEO),true
Box Elder School,Box Elder Elem,Box Elder,232,232,Yes under Community Eligibility Option (CEO),false
Bozeman High School,Bozeman H S,Bozeman,1279,174,Yes participating without using any Provision or the CEO,false
Bridger 7-8,Bridger K-12 Schools,Bridger,31,31,Yes under Community Eligibility Option (CEO),true
Bridger Charter School,Bozeman H S,Bozeman,69,27,Yes participating without using any Provision or the CEO,false
Bridger Elementary School,Bridger K-12 Schools,Bridger,114,114,Yes under Community Eligibility Option (CEO),false
Bridger High School,Bridger K-12 Schools,Bridger,58,58,Yes under Community Eligibility Option (CEO),true
Broadus 7-8,Broadus Elem,Broadus,24,3,Yes participating without using any Provision or the CEO,true
Broadus School,Broadus Elem,Broadus,129,3,Yes participating without using any Provision or the CEO,false
Broadview 7-8,Broadview Elem,Broadview,20,20,Yes under Community Eligibility Option (CEO),true
Broadview High School,Broadview H S,Broadview,50,50,Yes under Community Eligibility Option (CEO),true
Broadview School,Broadview Elem,Broadview,105,105,Yes under Community Eligibility Option (CEO),true
Broadwater High School,Townsend K-12 Schools,Townsend,196,64,Yes participating without using any Provision or the CEO,true
Broadwater School,Billings Elem,Billings,400,263,Yes under Community Eligibility Option (CEO),false
Broadwater School,Helena Elem,Helena,207,152,Yes under Community Eligibility Option (CEO),false
Brockton High School,Brockton H S,Brockton,49,49,Yes under Community Eligibility Option (CEO),true
Bronc Fast Track,Frenchtown K-12 Schools,Frenchtown,53,4,Yes participating without using any Provision or the CEO,false
Brorson School,Brorson Elem,Sidney,5,,No,false
Browning Elementary,Browning Elem,Browning,258,258,Yes under Community Eligibility Option (CEO),false
Browning High School,Browning H S,Browning,633,633,Yes under Community Eligibility Option (CEO),true
Browning Middle School,Browning Elem,Browning,368,368,Yes under Community Eligibility Option (CEO),true
Bryant School,Helena Elem,Helena,288,239,Yes under Community Eligibility Option (CEO),false
Burlington School,Billings Elem,Billings,257,140,Yes participating without using any Provision or the CEO,false
Butte High School,Butte H S,Butte,1266,1266,Yes under Community Eligibility Option (CEO),false
Bynum School,Bynum Elem,Bynum,8,,No,false
C M Russell High School,Great Falls H S,Great Falls,1412,563,Yes participating without using any Provision or the CEO,false
C R Anderson Middle Schl,Helena Elem,Helena,962,311,Yes participating without using any Provision or the CEO,false
Cam Rose School,Shelby Elem,Shelby,28,23,Yes participating without using any Provision or the CEO,true
Canyon Creek 6-8,Canyon Creek Elem,Billings,69,26,Yes participating without using any Provision or the CEO,false
