school_name,district_name,city_name,total_students,frl_eligible_students,national_school_lunch_program,admin_approved
A G Cox Middle,Pitt County Schools,Winterville,778,775,Yes participating without using any Provision or the CEO,true
A H Snipes Academy of Arts/Des,New Hanover County Schools,Wilmington,342,339,Yes participating without using any Provision or the CEO,false
A L Brown High,Kannapolis City Schools,Kannapolis,1753,1750,Yes participating without using any Provision or the CEO,true
A L Stanback Middle,Orange County Schools,Hillsborough,648,374,Yes participating without using any Provision or the CEO,true
A T Allen Elementary,Cabarrus County Schools,Concord,626,623,Yes participating without using any Provision or the CEO,false
A&t Four Middle College,Guilford County Schools,Greensboro,162,159,Yes participating without using any Provision or the CEO,false
A.c.e. Academy,A.C.E. Academy,Harrisburg,421,412,Yes participating without using any Provision or the CEO,true
Abbotts Creek Elementary,Wake County Schools,Raleigh,805,302,Yes participating without using any Provision or the CEO,false
Aberdeen Elementary,Moore County Schools,Aberdeen,675,663,Yes participating without using any Provision or the CEO,false
Abss Early College at Acc,Alamance-Burlington Schools,Graham,247,90,Yes participating without using any Provision or the CEO,false
Academy at Smith,Guilford County Schools,Greensboro,246,243,Yes participating without using any Provision or the CEO,true
Achievement Charter Academy,Achievement Charter Academy,Fuquay-Varina,211,,No,false
Acme Delco Elementary,Columbus County Schools,Riegelwood,349,346,Yes participating without using any Provision or the CEO,false
Adams Elementary,Wake County Schools,Cary,655,401,Yes participating without using any Provision or the CEO,false
Advance Academy,Vance County Schools,Henderson,112,109,Yes participating without using any Provision or the CEO,true
Aggie Academy,Aggie Academy,Greensboro,85,82,Yes participating without using any Provision or the CEO,false
Agriculture and Science Early College,Iredell-Statesville Schools,Olin,255,67,Yes participating without using any Provision or the CEO,false
Ahoskie Elementary,Hertford County Schools,Ahoskie,218,212,Yes participating without using any Provision or the CEO,false
Ala Monroe,ALA Monroe,Monroe,237,,No,false
Alamance Community School,Alamance Community School,Haw River,736,,No,false
Alamance Elementary,Guilford County Schools,Greensboro,499,496,Yes participating without using any Provision or the CEO,false
Alamance Virtual School,Alamance-Burlington Schools,Graham,203,126,Yes participating without using any Provision or the CEO,false
Albemarle High,Stanly County Schools,Albemarle,414,410,Yes participating without using any Provision or the CEO,true
Albemarle Middle,Stanly County Schools,Albemarle,355,352,Yes participating without using any Provision or the CEO,true
Albemarle Road Elementary,Charlotte-Mecklenburg Schools,Charlotte,711,708,Yes participating without using any Provision or the CEO,false
Albemarle Road Middle,Charlotte-Mecklenburg Schools,Charlotte,945,942,Yes participating without using any Provision or the CEO,true
Albert H Bangert Elementary,Craven County Board of Education,New Bern,446,441,Yes participating without using any Provision or the CEO,false
Alderman Road Elementary,Cumberland County Schools,Fayetteville,655,630,Yes participating without using any Provision or the CEO,false
Alexander Central High,Alexander County Schools,Taylorsville,1254,1251,Yes participating without using any Provision or the CEO,true
Alexander Early College,Alexander County Schools,Taylorsville,172,169,Yes participating without using any Provision or the CEO,true
Alexander Graham Middle,Charlotte-Mecklenburg Schools,Charlotte,1187,622,Yes participating without using any Provision or the CEO,false
