school_name,district_name,city_name,total_students,frl_eligible_students,national_school_lunch_program
Alexander Elementary School,Alexander 2,Alexander,195,63,Yes participating without using any Provision or the CEO
Alexander High School,Alexander 2,Alexander,114,37,Yes participating without using any Provision or the CEO
Anamoose Elementary School,Anamoose 14,Anamoose,73,21,Yes participating without using any Provision or the CEO
Apple Creek Elementary School,Apple Creek 39,Bismarck,78,,No
Ashley Elementary School,Ashley 9,Ashley,74,29,Yes participating without using any Provision or the CEO
Ashley High School,Ashley 9,Ashley,47,17,Yes participating without using any Provision or the CEO
Aurora Elementary School,West Fargo 6,West Fargo,377,95,Yes participating without using any Provision or the CEO
Badlands Elementary School,McKenzie Co 1,Watford City,538,211,Yes participating without using any Provision or the CEO
Barnes County North Elementary School,Barnes County North 7,Wimbledon,161,46,Yes participating without using any Provision or the CEO
Barnes County North High School,Barnes County North 7,Wimbledon,74,21,Yes participating without using any Provision or the CEO
Beach High School,Beach 3,Beach,111,31,Yes participating without using any Provision or the CEO
Beach High Virtual Academy,Beach 3,Beach,5,,No
Becep Center,Bismarck 1,Bismarck,337,,No
Bel Air Elementary School,Minot 1,Minot,265,64,Yes participating without using any Provision or the CEO
Belfield Elementary School,Belfield 13,Belfield,131,30,Yes participating without using any Provision or the CEO
Belfield High School,Belfield 13,Belfield,122,29,Yes participating without using any Provision or the CEO
Ben Franklin Elementary School,Grand Forks 1,Grand Forks,367,122,Yes participating without using any Provision or the CEO
Ben Franklin Middle School,Fargo 1,Fargo,873,293,Yes participating without using any Provision or the CEO
Bennett Elementary School,Fargo 1,Fargo,622,143,Yes participating without using any Provision or the CEO
Berthold Elementary School,Lewis and Clark 161,Berthold,96,14,Yes participating without using any Provision or the CEO
Berthold High School,Lewis and Clark 161,Berthold,98,15,Yes participating without using any Provision or the CEO
Beulah Elementary School,Beulah 27,Beulah,306,60,Yes participating without using any Provision or the CEO
Beulah High School,Beulah 27,Beulah,209,32,Yes participating without using any Provision or the CEO
Beulah Middle School,Beulah 27,Beulah,233,45,Yes participating without using any Provision or the CEO
Bismarck High School,Bismarck 1,Bismarck,1367,334,Yes participating without using any Provision or the CEO
Bm Hanson Elementary School,Harvey 38,Harvey,198,65,Yes participating without using any Provision or the CEO
Bob Callies Elementary School,Garrison 51,Garrison,225,51,Yes participating without using any Provision or the CEO
Bottineau Elementary School,Bottineau 1,Bottineau,351,115,Yes participating without using any Provision or the CEO
Bottineau Junior-Senior High School,Bottineau 1,Bottineau,320,81,Yes participating without using any Provision or the CEO
Bowbells Elementary School,Bowbells 14,Bowbells,50,7,Yes participating without using any Provision or the CEO
Bowbells High School,Bowbells 14,Bowbells,42,6,Yes participating without using any Provision or the CEO
Bowman Co Elementary School,Bowman Co 1,Bowman,230,42,Yes participating without using any Provision or the CEO
Bowman Co High School,Bowman Co 1,Bowman,231,43,Yes participating without using any Provision or the CEO
Bowman Co Preschool,Bowman Co 1,Bowman,34,,No
Brave Center Academy,Mandan 1,Mandan,50,,No
Brooks Harbor Elementary School,West Fargo 6,West Fargo,537,111,Yes participating without using any Provision or the CEO
Burke Central Elementary School,Burke Central 36,Lignite,52,14,Yes participating without using any Provision or the CEO
Burke Central High School,Burke Central 36,Lignite,43,11,Yes participating without using any Provision or the CEO
Burlington-Des Lacs Elementary School,United 7,Burlington,415,72,Yes participating without using any Provision or the CEO
Cannon Ball Elementary School,Solen 3,Cannon Ball,115,115,Yes under Community Eligibility Option (CEO)
Carl Ben Eielson Middle School,Fargo 1,Fargo,677,308,Yes participating without using any Provision or the CEO
Carrington Elementary School,Carrington 49,Carrington,347,59,Yes participating without using any Provision or the CEO
Carrington High School,Carrington 49,Carrington,254,34,Yes participating without using any Provision or the CEO
Cavalier Elementary School,Cavalier 6,Cavalier,195,40,Yes participating without using any Provision or the CEO
Cavalier High School,Cavalier 6,Cavalier,180,36,Yes participating without using any Provision or the CEO
Centennial Elementary School,Bismarck 1,Bismarck,390,99,Yes participating without using any Provision or the CEO
Centennial Elementary School,Fargo 1,Fargo,639,205,Yes participating without using any Provision or the CEO
Center-Stanton Elementary School,Center-Stanton 1,Center,146,31,Yes participating without using any Provision or the CEO
Center-Stanton High School,Center-Stanton 1,Center,119,26,Yes participating without using any Provision or the CEO
Central Cass Elementary School,Central Cass 17,Casselton,364,48,Yes participating without using any Provision or the CEO
Central Cass High School,Central Cass 17,Casselton,319,42,Yes participating without using any Provision or the CEO
Central Cass Middle School,Central Cass 17,Casselton,343,45,Yes participating without using any Provision or the CEO
Central Elementary School,Tioga 15,Tioga,324,39,Yes participating without using any Provision or the CEO
Central High School,Grand Forks 1,Grand Forks,1115,377,Yes participating without using any Provision or the CEO
Central Middle School,Devils Lake 1,Devils Lake,536,220,Yes participating without using any Provision or the CEO
Central Middle School,Minot 1,Minot,482,243,No
Central Valley Elementary School,Central Valley 3,Buxton,109,22,Yes participating without using any Provision or the CEO
Central Valley High School,Central Valley 3,Buxton,101,20,Yes participating without using any Provision or the CEO
Century Elementary School,Grafton 18,Grafton,532,258,Yes participating without using any Provision or the CEO
Century Elementary School,Grand Forks 1,Grand Forks,493,266,Yes participating without using any Provision or the CEO
Century High School,Bismarck 1,Bismarck,1406,208,Yes participating without using any Provision or the CEO
Cheney Middle School,West Fargo 6,West Fargo,1006,410,Yes participating without using any Provision or the CEO
Clara Barton Hawthorne Elementary School,Fargo 1,Fargo,312,70,Yes participating without using any Provision or the CEO
Community Alternative High School,Grand Forks 1,Grand Forks,73,38,Yes participating without using any Provision or the CEO
Custer Elementary School,Mandan 1,Mandan,126,95,Yes under Community Eligibility Option (CEO)
Dakota Elementary School,Minot 1,Minot AFB,233,82,Yes participating without using any Provision or the CEO
Dakota High School,Fargo 1,Fargo,127,124,Yes participating without using any Provision or the CEO
Dakota Prairie Elementary School,Dakota Prairie 1,McVille,158,38,Yes participating without using any Provision or the CEO
Dakota Prairie High School,Dakota Prairie 1,Petersburg,130,32,Yes participating without using any Provision or the CEO
Deer Creek Elementary School,West Fargo 6,Fargo,384,46,Yes participating without using any Provision or the CEO
Del Easton Alternative High School,Williston Basin 7,Williston,37,,No
Demores Elementary School,Billings Co 1,Medora,55,3,Yes participating without using any Provision or the CEO
Des Lacs-Burlington High School,United 7,Des Lacs,294,48,Yes participating without using any Provision or the CEO
Devils Lake High School,Devils Lake 1,Devils Lake,552,186,Yes participating without using any Provision or the CEO
Dickinson High School,Dickinson 1,Dickinson,1022,248,Yes participating without using any Provision or the CEO
Dickinson Middle School,Dickinson 1,Dickinson,944,290,Yes participating without using any Provision or the CEO
Discovery Elementary School,Grand Forks 1,Grand Forks,567,70,Yes participating without using any Provision or the CEO
Discovery Middle School,Fargo 1,Fargo,992,292,Yes participating without using any Provision or the CEO
Divide County Elementary School,Divide County 1,Crosby,221,57,Yes participating without using any Provision or the CEO
Divide County High School,Divide County 1,Crosby,161,42,Yes participating without using any Provision or the CEO
Dorothy Moses Elementary School,Bismarck 1,Bismarck,390,238,Yes under Community Eligibility Option (CEO)
Drake High School,Drake 57,Drake,75,27,Yes participating without using any Provision or the CEO
Drayton Elementary School,Drayton 19,Drayton,120,39,Yes participating without using any Provision or the CEO
Drayton High School,Drayton 19,Drayton,62,19,Yes participating without using any Provision or the CEO
Dunseith Elementary School,Dunseith 1,Dunseith,236,236,Yes under Community Eligibility Option (CEO)
Dunseith High School,Dunseith 1,Dunseith,278,278,Yes under Community Eligibility Option (CEO)
Eagles Elementary School,Fargo 1,Fargo,292,115,Yes participating without using any Provision or the CEO
Early Childhood Center,West Fargo 6,West Fargo,180,,No
Early Childhood Program,Dickinson 1,Dickinson,90,,No
Early Childhood Special Education School,Fargo 1,Fargo,162,,No
East Fairview Elementary School,Yellowstone 14,Fairview,62,12,Yes participating without using any Provision or the CEO
Eastwood Elementary School,West Fargo 6,West Fargo,387,242,Yes under Community Eligibility Option (CEO)
Ed Clapp Elementary School,Fargo 1,Fargo,444,256,Yes participating without using any Provision or the CEO
Edgeley Elementary School,Edgeley 3,Edgeley,138,23,Yes participating without using any Provision or the CEO
Edgeley High School,Edgeley 3,Edgeley,90,16,Yes participating without using any Provision or the CEO
Edison Elementary School,Minot 1,Minot,461,129,Yes participating without using any Provision or the CEO
Edwin Loe Elementary School,New Town 1,New Town,546,264,Yes under Provision 2
Eight Mile Elementary School,Eight Mile 6,Trenton,214,87,Yes participating without using any Provision or the CEO
Eight Mile High School,Eight Mile 6,Trenton,105,42,Yes participating without using any Provision or the CEO
Elgin-New Leipzig Elementary School,Elgin-New Leipzig 49,Elgin,100,55,Yes participating without using any Provision or the CEO
Elgin-New Leipzig High School,Elgin-New Leipzig 49,Elgin,68,37,Yes participating without using any Provision or the CEO
Elk Ridge Elementary School,Bismarck 1,Bismarck,510,11,Yes participating without using any Provision or the CEO
Ellendale Elementary School,Ellendale 40,Ellendale,120,27,Yes participating without using any Provision or the CEO
Ellendale High School,Ellendale 40,Ellendale,79,18,Yes participating without using any Provision or the CEO
Ellendale High Virtual Academy,Ellendale 40,Ellendale,1,,No
Ellendale Middle School,Ellendale 40,Ellendale,56,13,Yes participating without using any Provision or the CEO
Emerado Elementary School,Emerado 127,Emerado,101,49,Yes under Community Eligibility Option (CEO)
Enderlin Area Elementary School,Enderlin Area 24,Enderlin,136,49,Yes participating without using any Provision or the CEO
Enderlin Area High School,Enderlin Area 24,Enderlin,154,56,Yes participating without using any Provision or the CEO
Erik Ramstad Middle School,Minot 1,Minot,584,173,Yes participating without using any Provision or the CEO
Explorer Academy,Fargo 1,Fargo,34,34,Yes under Community Eligibility Option (CEO)
Fairmount Elementary School,Fairmount 18,Fairmount,54,31,Yes participating without using any Provision or the CEO
Fairmount High School,Fairmount 18,Fairmount,45,27,Yes participating without using any Provision or the CEO
Fargo 9-12 Virtual Academy,Fargo 1,Fargo,113,,No
Fargo Davies High School,Fargo 1,Fargo,1277,259,Yes participating without using any Provision or the CEO
Fargo K-8 Virtual Academy,Fargo 1,Fargo,22,,No
Fessenden-Bowdon Elementary School,Fessenden-Bowdon 25,Fessenden,140,22,Yes participating without using any Provision or the CEO
Fessenden-Bowdon High School,Fessenden-Bowdon 25,Fessenden,56,9,Yes participating without using any Provision or the CEO
Finley-Sharon Elementary School,Finley-Sharon 19,Finley,66,31,Yes participating without using any Provision or the CEO
Finley-Sharon High School,Finley-Sharon 19,Finley,35,17,Yes participating without using any Provision or the CEO
Flasher Elementary School,Flasher 39,Flasher,134,39,Yes participating without using any Provision or the CEO
Flasher High School,Flasher 39,Flasher,132,39,Yes participating without using any Provision or the CEO
Fordville-Lankin Elementary School,Fordville-Lankin 5,Fordville,36,12,Yes participating without using any Provision or the CEO
Fordville-Lankin High School,Fordville-Lankin 5,Fordville,14,4,Yes participating without using any Provision or the CEO
Fort Ransom Elementary School,Ft Ransom 6,Fort Ransom,12,3,Yes participating without using any Provision or the CEO
Fort Yates Middle School,Ft Yates 4,Fort Yates,46,46,Yes under Community Eligibility Option (CEO)
Fort Yates PK School,Ft Yates 4,Fort Yates,10,10,Yes under Community Eligibility Option (CEO)
Four Winds Community High School,Ft Totten 30,Fort Totten,159,159,Yes under Community Eligibility Option (CEO)
Four Winds Community PK School,Ft Totten 30,Fort Totten,16,16,Yes under Community Eligibility Option (CEO)
Fox Hills Elementary School,McKenzie Co 1,Watford City,663,237,Yes participating without using any Provision or the CEO
Freedom Elementary School,West Fargo 6,West Fargo,473,135,Yes participating without using any Provision or the CEO
Ft Lincoln Elementary School,Mandan 1,Mandan,455,67,Yes participating without using any Provision or the CEO
