school_name,district_name,city_name,total_students,frl_eligible_students,national_school_lunch_program,admin_approved
1R Elementary,Northwest Public Schools,Grand Island,194,45,Yes participating without using any Provision or the CEO,false
Ackerman Elementary School,Millard Public Schools,Omaha,453,116,Yes participating without using any Provision or the CEO,false
Adams Central Early Childhood Center,Adams Central Public Schools,Juniata,98,8,Yes participating without using any Provision or the CEO,false
Adams Central Elementary School,Adams Central Public Schools,Hastings,506,71,Yes participating without using any Provision or the CEO,false
Adams Central Jr-Sr High Sch,Adams Central Public Schools,Hastings,452,57,Yes participating without using any Provision or the CEO,false
Adams Elementary School,Lincoln Public Schools,Lincoln,767,174,Yes participating without using any Provision or the CEO,false
Adams Elementary School,Omaha Public Schools,Omaha,270,,Yes under Community Eligibility Option (CEO),false
Adams Middle School,North Platte Public Schools,North Platte,513,244,Yes participating without using any Provision or the CEO,false
Ainsworth Elementary School,Ainsworth Community Schools,Ainsworth,138,63,Yes participating without using any Provision or the CEO,false
Ainsworth High School,Ainsworth Community Schools,Ainsworth,104,43,Yes participating without using any Provision or the CEO,false
Ainsworth Little Paws Preschool,Ainsworth Community Schools,Ainsworth,34,11,Yes participating without using any Provision or the CEO,false
Ainsworth Middle School,Ainsworth Community Schools,Ainsworth,107,38,Yes participating without using any Provision or the CEO,true
Alcott Elementary School,Hastings Public Schools,Hastings,267,178,Yes participating without using any Provision or the CEO,false
Aldrich Elementary,Millard Public Schools,Omaha,462,39,Yes participating without using any Provision or the CEO,false
Alfonza W Davis Middle School,Omaha Public Schools,Omaha,732,,Yes under Community Eligibility Option (CEO),true
Alice Buffett Magnet Middle School,Omaha Public Schools,Omaha,952,,Yes under Community Eligibility Option (CEO),false
Allen Elementary School,Allen Consolidated Schools,Allen,70,28,Yes participating without using any Provision or the CEO,false
Allen High School,Allen Consolidated Schools,Allen,61,23,Yes participating without using any Provision or the CEO,true
Alliance Early Child Ed Prog,Alliance Public Schools,Alliance,78,41,No,false
Alliance High School,Alliance Public Schools,Alliance,451,211,Yes participating without using any Provision or the CEO,false
Alliance Middle School,Alliance Public Schools,Alliance,261,158,Yes participating without using any Provision or the CEO,false
Alma Elementary at Alma,Alma Public Schools,Alma,192,77,Yes participating without using any Provision or the CEO,false
Alma High School,Alma Public Schools,Alma,190,67,Yes participating without using any Provision or the CEO,false
Amherst Elementary School,Amherst Public Schools,Amherst,203,34,Yes participating without using any Provision or the CEO,false
Amherst High School,Amherst Public Schools,Amherst,157,27,Yes participating without using any Provision or the CEO,false
Anchor Pointe Elementary,Bennington Public Schools,Bennington,544,35,No,false
Anderson Grove Elementary Sch,Papillion La Vista Community Schools,Bellevue,317,61,Yes participating without using any Provision or the CEO,false
Anselmo-Merna Elementary-Merna,Anselmo-Merna Public Schools,Merna,145,52,Yes participating without using any Provision or the CEO,false
Anselmo-Merna High School,Anselmo-Merna Public Schools,Merna,104,33,Yes participating without using any Provision or the CEO,false
Ansley Elementary School,Ansley Public Schools,Ansley,110,,Yes under Community Eligibility Option (CEO),false
Ansley High School,Ansley Public Schools,Ansley,76,,Yes under Community Eligibility Option (CEO),true
Arapahoe Elementary School,Arapahoe Public Schools,Arapahoe,181,77,Yes participating without using any Provision or the CEO,false
Arapahoe High School,Arapahoe Public Schools,Arapahoe,153,61,Yes participating without using any Provision or the CEO,false
Arbor View Elementary School,Elkhorn Public Schools,Elkhorn,555,54,No,false
Arcadia Elementary School,Arcadia Public Schools,Arcadia,82,32,Yes participating without using any Provision or the CEO,false
Arcadia High School,Arcadia Public Schools,Arcadia,50,25,Yes participating without using any Provision or the CEO,false
Arlington Elementary School,Arlington Public Schools,Arlington,372,94,Yes participating without using any Provision or the CEO,false
Arlington High School,Arlington Public Schools,Arlington,330,81,Yes participating without using any Provision or the CEO,false
Arnold Elementary School,Arnold Public Schools,Arnold,121,31,Yes under Community Eligibility Option (CEO),false
Arnold Elementary School,Lincoln Public Schools,Lincoln,673,,Yes under Community Eligibility Option (CEO),false
Arnold High School,Arnold Public Schools,Arnold,79,12,Yes under Community Eligibility Option (CEO),false
Arthur County Elementary School,Arthur County Schools,Arthur,51,,No,false
Arthur County High School,Arthur County Schools,Arthur,64,,No,false
Ashbury Elementary School,Papillion La Vista Community Schools,Papillion,391,17,No,false
Ashland Park/Robbins Elementary School,Omaha Public Schools,Omaha,708,,Yes under Community Eligibility Option (CEO),false
Ashland-Greenwood High School,Ashland-Greenwood Public Schs,Ashland,322,70,Yes participating without using any Provision or the CEO,false
Ashland-Greenwood Intermediate School,Ashland-Greenwood Public Schs,Ashland,247,49,Yes participating without using any Provision or the CEO,false
Ashland-Greenwood Middle School,Ashland-Greenwood Public Schs,Ashland,247,42,Yes participating without using any Provision or the CEO,false
Ashland-Greenwood Primary Elementary,Ashland-Greenwood Public Schs,Ashland,333,57,Yes participating without using any Provision or the CEO,false
Aspen Creek Elementary School,Gretna Public Schools,Omaha,416,9,No,false
