school_name,district_name,city_name,total_students,frl_eligible_students,national_school_lunch_program
A. Crosby Kennett Middle School,Conway School District,Conway,308,103,Yes participating without using any Provision or the CEO
Abbot-Downing School,Concord School District,Concord,343,96,Yes participating without using any Provision or the CEO
Academy for Science and Design Charter (H),Academy for Science and Design Charter School,Nashua,264,7,No
Academy for Science and Design Charter (M),Academy for Science and Design Charter School,Nashua,408,7,No
Acworth Elementary School,Fall Mountain Regional School District,Acworth,25,7,Yes participating without using any Provision or the CEO
Adeline C. Marston School,Hampton School District,Hampton,303,52,Yes participating without using any Provision or the CEO
Allenstown Community School,Allenstown School District,Allenstown,348,125,Yes participating without using any Provision or the CEO
Alstead Primary School,Fall Mountain Regional School District,Alstead,69,19,Yes participating without using any Provision or the CEO
Alton Central School (Elem),Alton School District,Alton,407,61,Yes participating without using any Provision or the CEO
Alvirne High School,Hudson School District,Hudson,976,156,Yes participating without using any Provision or the CEO
Amherst Middle School,Amherst School District,Amherst,635,52,Yes participating without using any Provision or the CEO
Amherst Street School,Nashua School District,Nashua,290,193,Yes participating without using any Provision or the CEO
Andover Elementary School,Andover School District,Andover,165,45,Yes participating without using any Provision or the CEO
Antrim Elementary School,Contoocook Valley School District,Antrim,133,49,Yes participating without using any Provision or the CEO
Arts Academy of New Hampshire Chartered Public High School,Arts Academy of New Hampshire Chartered Public High School,Salem,106,11,No
Ashland Elementary School,Ashland School District,Ashland,159,64,Yes participating without using any Provision or the CEO
Atkinson Academy,Timberlane Regional School District,Atkinson,364,19,Yes participating without using any Provision or the CEO
Auburn Village School,Auburn School District,Auburn,692,39,Yes participating without using any Provision or the CEO
Bakersville School,Manchester School District,Manchester,329,205,Yes participating without using any Provision or the CEO
Barnstead Elementary School,Barnstead School District,Ctr. Barnstead,449,139,Yes participating without using any Provision or the CEO
Barrington Elementary School,Barrington School District,Barrington,405,52,Yes participating without using any Provision or the CEO
Barrington Middle School,Barrington School District,Barrington,398,43,Yes participating without using any Provision or the CEO
Bartlett Elementary School,Goffstown School District,Manchester,177,43,Yes participating without using any Provision or the CEO
Bath Village School,Bath School District,Bath,50,11,Yes participating without using any Provision or the CEO
Beaver Meadow School,Concord School District,Concord,362,137,Yes participating without using any Provision or the CEO
Bedford High School,Bedford School District,Bedford,1360,73,Yes participating without using any Provision or the CEO
Beech Street School,Manchester School District,Manchester,524,350,Yes participating without using any Provision or the CEO
Belmont Elementary School,Shaker Regional School District,Belmont,336,117,Yes participating without using any Provision or the CEO
Belmont High School,Shaker Regional School District,Belmont,361,77,Yes participating without using any Provision or the CEO
Belmont Middle School,Shaker Regional School District,Belmont,350,104,Yes participating without using any Provision or the CEO
