school_name,district_name,city_name,total_students,frl_eligible_students,national_school_lunch_program
A a Anastasia Elementary School,LONG BRANCH PUBLIC SCHOOL District,Long Branch,588,478,Yes participating without using any Provision or the CEO
A Chester Redshaw School,New Brunswick School District,New Brunswick,678,601,Yes participating without using any Provision or the CEO
A. Russell Knight Elementary School,Cherry Hill School District,Cherry Hill,456,44,Yes participating without using any Provision or the CEO
A.e. Burling High School,Pennsauken Township Board of Education School District,Pennsauken,49,42,No
Aaron Decker School,Butler Public School District,Butler,383,103,Yes participating without using any Provision or the CEO
Abington Avenue School,Newark Public School District,Newark,842,753,Yes participating without using any Provision or the CEO
Abraham Clark High School,Roselle Public School District,Roselle,926,698,Yes participating without using any Provision or the CEO
Abraham Lincoln Elementary School,Wyckoff Township Public School District,Wyckoff,354,3,No
Abraham Lincoln School #6,Garfield Public School District,Garfield,385,261,Yes under Community Eligibility Option (CEO)
Abraham Lincoln School No. 14,Elizabeth Public Schools,Elizabeth,793,670,Yes participating without using any Provision or the CEO
Abraham Lincoln School Number 24,Passaic City School District,Passaic,252,249,Yes under Community Eligibility Option (CEO)
Abram P. Morris Early Childhood Center,Hillside Public School District,Hillside,625,433,Yes participating without using any Provision or the CEO
Absegami High School,Greater Egg Harbor Regional High School District,Galloway,1130,612,Yes participating without using any Provision or the CEO
Academy Charter High School,Academy Charter High School,Lake Como,166,143,Yes participating without using any Provision or the CEO
Academy for Allied Health Sciences,Union County Vocational-Technical School District,Scotch Plains,308,32,No
Academy for Environmental Science,Morris County Vocational School District,Oak Ridge,36,3,No
Academy for Information Technology,Union County Vocational-Technical School District,Scotch Plains,307,27,No
Academy for Mathematics Science and Engineering,Morris County Vocational School District,Rockaway,181,,No
Academy for Performing Arts,Morris County Vocational School District,Rockaway,144,,No
Academy for Performing Arts,Union County Vocational-Technical School District,Scotch Plains,242,12,No
Academy for Urban Leadership Charter School,Academy for Urban Leadership Charter School,Perth Amboy,259,231,Yes participating without using any Provision or the CEO
Academy I,Jersey City Public Schools,Jersey City,415,223,Yes participating without using any Provision or the CEO
Academy Learning Center,Educational Services Commission of New Jersey,Monroe Township,113,18,Yes participating without using any Provision or the CEO
Academy of Career and Technical Education,Hudson County Schools of Technology School District,Secaucus,246,105,No
Academy of Law & Public Safety,Monmouth County Vocational School District,Long Branch,73,9,No
Academy of Technology Design,Hudson County Schools of Technology School District,Jersey City,235,116,No
Academy Street Elementary School,Dover Public School District,Dover,509,424,Yes participating without using any Provision or the CEO
Achievers Early College Prep Charter School,Achievers Early College Prep Charter School,Trenton,543,425,No
Adamsville Primary School,Bridgewater-Raritan Regional School District,Bridgewater,461,116,Yes participating without using any Provision or the CEO
Adelphia Early Learning Center,Howell Township Public School District,Freehold,357,110,Yes participating without using any Provision or the CEO
Adlai E. Stevenson School,Fairfield Public School District,Fairfield,312,14,No
Admiral William F. Halsey Jr. Health & Public Safety Academy,Elizabeth Public Schools,Elizabeth,1272,1036,Yes participating without using any Provision or the CEO
