school_name,district_name,city_name,total_students,frl_eligible_students,national_school_lunch_program,admin_approved
21st Century Public Academy,21st Century Public Academy,Albuquerque,371,172,Yes under Community Eligibility Option (CEO),false
A. Montoya Elementary,Albuquerque,Tijeras,370,367,Yes under Community Eligibility Option (CEO),false
Abiquiu Elementary,Espanola,Abiquiu,68,68,Yes under Community Eligibility Option (CEO),false
Abq Charter Academy,Albuquerque,Albuquerque,350,178,No,true
Abq School of Excellence,Abq School of Excellence,Albuquerque,1005,572,Yes under Community Eligibility Option (CEO),true
Abq Sign Language Academy,Abq Sign Language Academy,Albuquerque,160,160,Yes under Community Eligibility Option (CEO),true
Academy for Technology & Classics,Santa Fe,Santa Fe,398,,Yes under Community Eligibility Option (CEO),true
Ace Leadership High School,Albuquerque,Albuquerque,285,285,Yes under Community Eligibility Option (CEO),true
Acequia Madre Elementary,Santa Fe,Santa Fe,154,,Yes under Community Eligibility Option (CEO),false
Aces Technical Charter School,Aces Technical Charter School,Albuquerque,165,165,Yes under Community Eligibility Option (CEO),false
Adobe Acres Elementary,Albuquerque,Albuquerque,303,302,Yes under Community Eligibility Option (CEO),false
Alameda Elementary,Albuquerque,Albuquerque,212,209,Yes under Community Eligibility Option (CEO),false
Alameda Elementary,Las Cruces,Las Cruces,331,331,Yes under Community Eligibility Option (CEO),false
Alamogordo High,Alamogordo,Alamogordo,1440,1440,Yes under Community Eligibility Option (CEO),true
Alamosa Elementary,Albuquerque,Albuquerque,382,381,Yes under Community Eligibility Option (CEO),false
Albuquerque Aviation Academy,Albuquerque Aviation Academy,Albuquerque,312,56,No,false
Albuquerque Bilingual Academy,Albuquerque Bilingual Academy,Albuquerque,328,,Yes under Community Eligibility Option (CEO),true
Albuquerque Collegiate Charter School,Albuquerque Collegiate Charter School,Albuquerque,221,158,Yes under Community Eligibility Option (CEO),false
Albuquerque High,Albuquerque,Albuquerque,1568,1397,Yes under Community Eligibility Option (CEO),true
Albuquerque Institute of Math & Science,Albuquerque Institute of Math & Science,Albuquerque,311,,No,false
Albuquerque Talent Development Charter,Albuquerque,Albuquerque,119,99,Yes under Community Eligibility Option (CEO),true
Alcalde Elementary,Espanola,Espanola,151,146,Yes under Community Eligibility Option (CEO),false
Aldo Leopold Charter,Aldo Leopold Charter,Silver City,201,95,Yes under Community Eligibility Option (CEO),true
Algodones Elementary,Bernalillo,Algodones,184,184,Yes under Community Eligibility Option (CEO),false
Alice King Community School,Albuquerque,Albuquerque,384,119,Yes under Community Eligibility Option (CEO),false
Alma D'Arte Charter,Alma D'Arte Charter,Las Cruces,63,63,Yes under Community Eligibility Option (CEO),true
Alta Vista Early College High School,Gadsden,Anthony,180,180,Yes under Community Eligibility Option (CEO),true
Alta Vista Elementary,Questa,Questa,106,57,Yes under Community Eligibility Option (CEO),false
Alta Vista Intermediate,Questa,Questa,40,33,Yes under Community Eligibility Option (CEO),false
Altura Preparatory School,Altura Preparatory School,Albuquerque,263,37,Yes participating without using any Provision or the CEO,false
Alvarado Elementary,Albuquerque,Albuquerque,258,258,Yes under Community Eligibility Option (CEO),false
Alvis Elementary,Clayton,Clayton,152,152,Yes under Community Eligibility Option (CEO),false
Amy Biehl Charter High School,Amy Biehl Charter High School,Albuquerque,196,196,Yes under Community Eligibility Option (CEO),true
Amy Biehl Community School at Rancho Viejo,Santa Fe,Santa Fe,354,354,Yes under Community Eligibility Option (CEO),false
Anansi Charter School,Taos,El Prado,198,99,Yes under Community Eligibility Option (CEO),true
Animas 7-12 School,Animas,Animas,90,90,Yes under Community Eligibility Option (CEO),true
Animas Elementary,Animas,Animas,48,48,Yes under Community Eligibility Option (CEO),false
Animas Elementary,Farmington,Farmington,345,345,Yes under Community Eligibility Option (CEO),false
Animas Middle,Animas,Animas,27,27,Yes under Community Eligibility Option (CEO),false
Ann Parish Elementary,Los Lunas,Los Lunas,402,402,Yes under Community Eligibility Option (CEO),false
Anthony Elementary,Gadsden,Anthony,163,163,Yes under Community Eligibility Option (CEO),false
Anthony on-Track Prek Center,Gadsden,Anthony,136,136,Yes under Community Eligibility Option (CEO),false
Anton Chico Middle,Santa Rosa,Anton Chico,31,31,Yes under Community Eligibility Option (CEO),true
Apache Elementary,Albuquerque,Albuquerque,341,337,Yes under Community Eligibility Option (CEO),false
Apache Elementary,Farmington,Farmington,375,375,Yes under Community Eligibility Option (CEO),false
Armijo Elementary,Albuquerque,Albuquerque,260,258,Yes under Community Eligibility Option (CEO),false
Arrey Elementary,T or C,Arrey,93,93,Yes under Community Eligibility Option (CEO),false
Arrowhead Park Early College High School,Las Cruces,Las Cruces,549,547,Yes under Community Eligibility Option (CEO),false
Arroyo Del Norte Elementary,Taos,Arroyo Seco,99,99,Yes under Community Eligibility Option (CEO),false
Arroyo Del Oso Elementary,Albuquerque,Albuquerque,321,321,Yes under Community Eligibility Option (CEO),false
Artesia High,Artesia,Artesia,806,806,Yes under Community Eligibility Option (CEO),false
Artesia Park Junior High,Artesia,Artesia,539,539,Yes under Community Eligibility Option (CEO),true
Artesia Zia Intermediate,Artesia,Artesia,550,,Yes under Community Eligibility Option (CEO),false
Arts Academy at Bella Vista,Clovis,Clovis,444,341,Yes under Community Eligibility Option (CEO),false
Aspen Community School,Santa Fe,Santa Fe,285,281,Yes under Community Eligibility Option (CEO),true
Aspen Elementary,Los Alamos,Los Alamos,428,73,Yes participating without using any Provision or the CEO,false
Atalaya Elementary,Santa Fe,Santa Fe,259,,Yes under Community Eligibility Option (CEO),false
Atrisco Elementary,Albuquerque,Albuquerque,205,205,Yes under Community Eligibility Option (CEO),false
Atrisco Heritage Academy HS,Albuquerque,Albuquerque,1930,1860,Yes under Community Eligibility Option (CEO),true
Aztec High,Aztec,Aztec,696,696,Yes under Community Eligibility Option (CEO),false
Aztec Youth Academy,Juvenile Justice,Las Cruces,33,30,Yes participating without using any Provision or the CEO,true
Bandelier Elementary,Albuquerque,Albuquerque,387,383,Yes under Community Eligibility Option (CEO),false
Barcelona Elementary,Albuquerque,Albuquerque,202,201,Yes under Community Eligibility Option (CEO),false
