school_name,district_name,city_name,total_students,frl_eligible_students,national_school_lunch_program,admin_approved
Abston Sandra B ES,Clark County,Las Vegas,726,726,Yes under Community Eligibility Option (CEO),false
Academy for Career Education,Washoe County,Reno,275,86,No,false
Academy of Arts Careers & Tech,Washoe County,Reno,572,139,Yes participating without using any Provision or the CEO,false
Acceleration Academy,Clark County,North Las Vegas,2092,2092,Yes under Community Eligibility Option (CEO),false
Adams Kirk ES,Clark County,Las Vegas,321,321,Yes under Community Eligibility Option (CEO),false
Adcock O K ES,Clark County,Las Vegas,401,401,Yes under Community Eligibility Option (CEO),false
Adobe Middle School,Elko,Elko,668,255,Yes participating without using any Provision or the CEO,true
Advanced Technologies Academy HS,Clark County,Las Vegas,1225,1225,Yes under Community Eligibility Option (CEO),true
Agnes Risley Elementary,Washoe County,Sparks,363,363,Yes under Community Eligibility Option (CEO),false
Al Seeliger Elementary,Carson City,Carson City,527,240,Yes participating without using any Provision or the CEO,false
Alamo Tony ES,Clark County,Las Vegas,898,898,Yes under Community Eligibility Option (CEO),false
Albert M. Lowry High School,Humboldt,Winnemucca,951,,Yes under Community Eligibility Option (CEO),false
Alice Maxwell Elementary,Washoe County,Sparks,368,368,Yes under Community Eligibility Option (CEO),false
Alice Smith Elementary,Washoe County,Reno,512,512,Yes under Community Eligibility Option (CEO),false
Allen Dean Lamar ES,Clark County,Las Vegas,390,390,Yes under Community Eligibility Option (CEO),false
Alpine Academy High School,State Sponsored Charter Schools,Sparks,224,44,No,false
Alt School,Douglas,Minden,4,,Yes participating without using any Provision or the CEO,false
Alyce Taylor Elementary,Washoe County,Sparks,469,99,Yes participating without using any Provision or the CEO,false
Amargosa Valley Elementary School,Nye,Amargosa,109,109,Yes under Community Eligibility Option (CEO),false
Amargosa Valley Middle School,Nye,Amargosa,40,40,Yes under Community Eligibility Option (CEO),true
Amplus Durango,State Sponsored Charter Schools,Las Vegas,1761,498,No,false
Amplus Rainbow,State Sponsored Charter Schools,Las Vegas,628,195,No,false
Anderson Elementary,Washoe County,Reno,319,319,Yes under Community Eligibility Option (CEO),false
Antonello Lee ES,Clark County,N Las Vegas,518,518,Yes under Community Eligibility Option (CEO),false
Arbor View HS,Clark County,Las Vegas,3069,3069,Yes under Community Eligibility Option (CEO),false
Archie Clayton Pre-A.p. Academy,Washoe County,Reno,667,667,Yes under Community Eligibility Option (CEO),true
Aspire Academy High School,Douglas,Minden,82,82,Yes under Community Eligibility Option (CEO),false
Austin Combined Schools,Lander,Austin,8,,No,false
Bailey Charter School,Washoe County,Reno,174,174,Yes under Community Eligibility Option (CEO),false
Bailey Dr William H MS,Clark County,Las Vegas,1121,1121,Yes under Community Eligibility Option (CEO),true
Bailey Sister Robert Joseph ES,Clark County,Las Vegas,572,572,Yes under Community Eligibility Option (CEO),false
Baker Elementary,White Pine County School District,Baker,12,,No,false
Barber Shirley a ES,Clark County,Las Vegas,784,784,Yes under Community Eligibility Option (CEO),false
Bartlett Selma F ES,Clark County,Henderson,495,495,Yes under Community Eligibility Option (CEO),false
Basic Academy of Int'l Studies HS,Clark County,Henderson,2395,2395,Yes under Community Eligibility Option (CEO),true
Bass John C ES,Clark County,Las Vegas,569,569,Yes under Community Eligibility Option (CEO),false
Batterman Kathy L ES,Clark County,Las Vegas,635,635,Yes under Community Eligibility Option (CEO),false
Battle Born Academy,State Sponsored Charter Schools,Las Vegas,330,311,Yes participating without using any Provision or the CEO,false
Battle Born Youth Challenge Academy,Elko,Carlin,47,3,No,false
Battle Mountain Elementary School,Lander,Battle Mountain,432,200,Yes participating without using any Provision or the CEO,false
Battle Mountain High School,Lander,Battle Mountain,309,132,Yes participating without using any Provision or the CEO,false
Beacon Academy of Nevada,State Sponsored Charter Schools,Las Vegas,928,799,No,true
Beatty Elementary School,Nye,Beatty,60,60,Yes under Community Eligibility Option (CEO),false
Beatty High School,Nye,Beatty,104,104,Yes under Community Eligibility Option (CEO),true
Beatty John R ES,Clark County,Las Vegas,486,486,Yes under Community Eligibility Option (CEO),false
Beatty Middle School,Nye,Beatty,30,30,Yes under Community Eligibility Option (CEO),true
Becker Ernest MS,Clark County,Las Vegas,1075,1075,Yes under Community Eligibility Option (CEO),true
Beckley Will ES,Clark County,Las Vegas,713,713,Yes under Community Eligibility Option (CEO),false
Bell Rex ES,Clark County,Las Vegas,539,539,Yes under Community Eligibility Option (CEO),false
Bendorf Patricia a ES,Clark County,Las Vegas,487,487,Yes under Community Eligibility Option (CEO),false
Bennett William G ES,Clark County,Laughlin,330,330,Yes under Community Eligibility Option (CEO),false
Berkley Shelley ES,Clark County,Las Vegas,719,719,Yes under Community Eligibility Option (CEO),false
Bernice Mathews Elementary,Washoe County,Reno,398,398,Yes under Community Eligibility Option (CEO),false
Bilbray James ES,Clark County,Las Vegas,693,693,Yes under Community Eligibility Option (CEO),false
Billinghurst Middle School,Washoe County,Reno,993,257,Yes participating without using any Provision or the CEO,false
Blue Diamond ES,Clark County,Blue Diamond,35,35,Yes under Community Eligibility Option (CEO),false
Bonanza HS,Clark County,Las Vegas,1858,1858,Yes under Community Eligibility Option (CEO),true
Bonner John W ES,Clark County,Las Vegas,825,825,Yes under Community Eligibility Option (CEO),false
Booker Kermit R Sr ES,Clark County,Las Vegas,333,333,Yes under Community Eligibility Option (CEO),false
Bordewich/Bray Elementary,Carson City,Carson City,539,539,Yes under Community Eligibility Option (CEO),false
Boulder City HS,Clark County,Boulder City,616,616,Yes under Community Eligibility Option (CEO),false
Bowler Grant ES,Clark County,Logandale,662,662,Yes under Community Eligibility Option (CEO),false
Bowler Joseph L ES,Clark County,Bunkerville,465,465,Yes under Community Eligibility Option (CEO),false
Bozarth Henry & Evelyn ES,Clark County,Las Vegas,723,723,Yes under Community Eligibility Option (CEO),false
Bracken Walter ES,Clark County,Las Vegas,482,482,Yes under Community Eligibility Option (CEO),false
Bridger Jim MS,Clark County,N Las Vegas,1072,1072,Yes under Community Eligibility Option (CEO),true
Brinley J Harold MS,Clark County,Las Vegas,885,885,Yes under Community Eligibility Option (CEO),true
Brookman Eileen B ES,Clark County,Las Vegas,671,671,Yes under Community Eligibility Option (CEO),false
Brown B Mahlon JHS,Clark County,Henderson,783,783,Yes under Community Eligibility Option (CEO),true
Brown Elementary,Washoe County,Reno,514,141,Yes participating without using any Provision or the CEO,false
