school_name,district_name,city_name,total_students,frl_eligible_students,national_school_lunch_program,admin_approved
30th Avenue School (The) (G & T Citywide),New York City Geographic District #30,Astoria,525,145,,false
47 American Sign Language and English Lower School (The),New York City Geographic District # 2,New York,172,127,,true
A a Gates Elementary School,Port Byron Central School District,Port Byron,447,208,Yes under Community Eligibility Option (CEO),false
A a Kingston Middle School,Potsdam Central School District,Potsdam,393,124,Yes under Community Eligibility Option (CEO),true
A D Oliver Middle School,Brockport Central School District,Brockport,726,349,Yes under Community Eligibility Option (CEO),true
A F Palmer Elementary School / Windsor Central Middle School,Windsor Central School District,Windsor,542,261,Yes under Community Eligibility Option (CEO),true
A J Schmidt Elementary School,Evans-Brant Central School District (Lake Shore),Angola,247,104,Yes under Community Eligibility Option (CEO),false
A M Cosgrove Middle School,Spencerport Central School District,Spencerport,854,309,Yes under Community Eligibility Option (CEO),false
A Macarthur Barr Middle School,Nanuet Union Free School District,Nanuet,635,222,Yes under Community Eligibility Option (CEO),false
A Philip Randolph Campus High School,New York City Geographic District # 6,New York,1421,1289,Yes under Community Eligibility Option (CEO),true
A-Tech High School,New York City Geographic District #14,Brooklyn,444,386,Yes under Community Eligibility Option (CEO),true
Aaron Mossell Junior High School,Lockport City School District,Lockport,587,379,Yes under Community Eligibility Option (CEO),true
Abbey Lane School,Levittown Union Free School District,Levittown,607,209,Yes under Community Eligibility Option (CEO),false
Abraham Lincoln Elementary School,Jamestown City School District,Jamestown,377,256,Yes under Community Eligibility Option (CEO),false
Abraham Lincoln High School,New York City Geographic District #21,Brooklyn,2210,1848,Yes under Community Eligibility Option (CEO),true
Abraham Wing School,Glens Falls Common School District,Glens Falls,139,78,Yes under Community Eligibility Option (CEO),false
Abram Lansing School,Cohoes City School District,Cohoes,305,256,Yes under Community Eligibility Option (CEO),false
Acad for College Prep and Career Exp,New York City Geographic District #17,Brooklyn,441,423,,true
Acad-Scholarship & Entrepreneurship,New York City Geographic District #11,Bronx,437,392,,true
Academic Leadership Charter School,Academic Leadership Charter School,Bronx,343,327,,true
Academy Charter School,Academy Charter School,Hempstead,2003,1691,Yes under Community Eligibility Option (CEO),true
Academy Charter School 2 (The),Academy Charter School 2 (The),Wyandanch,468,352,Yes under Community Eligibility Option (CEO),false
Academy Charter School-Uniondale,Academy Charter School-Uniondale,Uniondale,1607,1097,Yes under Community Eligibility Option (CEO),true
Academy for Careers in Television and Film,New York City Geographic District #30,Long Island City,555,413,Yes under Community Eligibility Option (CEO),true
Academy for Conservation and the Environment,New York City Geographic District #18,Brooklyn,432,341,,true
Academy for Excellence in Leadership,New York City Geographic District #32,Brooklyn,277,270,Yes under Community Eligibility Option (CEO),true
Academy for Excellence Through the Arts (The),New York City Geographic District #28,Forest Hills,573,136,Yes under Community Eligibility Option (CEO),false
Academy for Health Careers,New York City Geographic District #17,Brooklyn,159,138,,true
Academy for Language and Technology,New York City Geographic District # 9,Bronx,356,353,,true
Academy for New Americans,New York City Geographic District #30,Astoria,50,47,,true
Academy for Personal Leadership and Excellence,New York City Geographic District #10,Bronx,788,744,Yes under Community Eligibility Option (CEO),true
Academy for Software Engineering,New York City Geographic District # 2,New York,438,370,,true
Academy for Young Writers,New York City Geographic District #19,Brooklyn,398,355,,true
Academy of American Studies,New York City Geographic District #30,Long Island City,1206,818,Yes under Community Eligibility Option (CEO),false
Academy of Applied Mathematics and Technology,New York City Geographic District # 7,Bronx,268,256,Yes under Community Eligibility Option (CEO),true
Academy of Arts and Letters,New York City Geographic District #13,Brooklyn,757,275,Yes under Community Eligibility Option (CEO),false
Academy of Finance and Enterprise,New York City Geographic District #24,Long Island City,874,764,,true
Academy of Health Sciences Charter School,Academy of Health Sciences Charter School,Rochester,394,352,Yes under Community Eligibility Option (CEO),false
Academy of Hospitality and Tourism,New York City Geographic District #17,Brooklyn,402,337,,true
Academy of Innovative Technology,New York City Geographic District #19,Brooklyn,390,313,,true
Academy of Medical Technology - a College Board School,New York City Geographic District #27,Far Rockaway,605,520,,true
Academy of Public Relations,New York City Geographic District # 7,Bronx,132,122,,true
Academy of Talented Scholars (The),New York City Geographic District #20,Brooklyn,383,268,Yes under Community Eligibility Option (CEO),false
Academy of the City Charter School,Academy of the City Charter School,Woodside,695,513,Yes under Community Eligibility Option (CEO),false
Academy of Urban Planning and Engineering (The),New York City Geographic District #32,Brooklyn,409,396,,true
Academy School,Buffalo City School District,Buffalo,70,68,Yes under Community Eligibility Option (CEO),true
Academy Street Elementary School,Bayport-Blue Point Union Free School District,Bayport,317,24,Yes participating without using any Provision or the CEO,false
Acadia Middle School,Shenendehowa Central School District,Clifton Park,761,192,Yes participating without using any Provision or the CEO,false
Access Bronx Charter School,Access Bronx Charter School,Bronx,462,440,Yes under Community Eligibility Option (CEO),false
Accion Academy,New York City Geographic District #12,Bronx,185,180,,true
Accompsett Elementary School,Smithtown Central School District,Smithtown,523,73,Yes participating without using any Provision or the CEO,false
Accompsett Middle School,Smithtown Central School District,Smithtown,522,96,Yes participating without using any Provision or the CEO,false
Ace Academy for Scholars at the Geraldine Ferraro Campus,New York City Geographic District #24,Ridgewood,573,382,Yes under Community Eligibility Option (CEO),false
Achievement First Apollo Charter School,Achievement First Apollo Charter School,Brooklyn,758,664,,true
Achievement First Aspire Charter School,Achievement First Aspire Charter School,Brooklyn,935,835,,true
Achievement First Brownsville Charter School,Achievement First Brownsville Charter School,Brooklyn,651,599,,true
Achievement First Crown Heights Charter School,Achievement First Crown Heights Charter School,Brooklyn,1320,1183,,true
Achievement First East New York Charter School,Achievement First East New York Charter School,Brooklyn,1072,938,,true
Achievement First Endeavor Charter School,Achievement First Endeavor Charter School,Brooklyn,579,502,Yes under Community Eligibility Option (CEO),true
Achievement First Legacy Charter School,Achievement First Legacy Charter School,Saint Albans,256,212,Yes under Community Eligibility Option (CEO),false
Achievement First Linden Charter School,Achievement First Linden Charter School,Brooklyn,630,584,,false
Achievement First North Brooklyn Preparatory Charter School,Achievement First North Brooklyn Preparatory Charter School,Brooklyn,843,761,,false
Achievement First Voyager Charter School,Achievement First Voyager Charter School,Brooklyn,96,90,,true
Achievement First-Bushwick Charter School,Achievement First-Bushwick Charter School,Brooklyn,899,818,,true
Active Learning Elementary School (The),New York City Geographic District #25,Flushing,458,346,Yes under Community Eligibility Option (CEO),false
Addison Middle/High School,Addison Central School District,Addison,491,264,Yes under Community Eligibility Option (CEO),true
Adirondack High School,Adirondack Central School District,Boonville,383,169,Yes under Community Eligibility Option (CEO),true
Adirondack Middle School,Adirondack Central School District,Boonville,243,109,Yes under Community Eligibility Option (CEO),true
Aeci Ii: Nyc Charter HS,Aeci Ii: Nyc Charter HS,Bronx,449,448,Yes under Community Eligibility Option (CEO),false
African Road Elementary School,Vestal Central School District,Vestal,325,100,Yes under Community Eligibility Option (CEO),false
Afton Elementary School,Afton Central School District,Afton,210,117,Yes under Community Eligibility Option (CEO),false
Afton Junior/Senior High School,Afton Central School District,Afton,219,124,Yes under Community Eligibility Option (CEO),true
Akron Elementary School,Akron Central School District,Akron,561,208,Yes under Community Eligibility Option (CEO),false
Akron High School,Akron Central School District,Akron,389,147,Yes under Community Eligibility Option (CEO),false
Akron Middle School,Akron Central School District,Akron,260,106,Yes under Community Eligibility Option (CEO),true
Albany Avenue Elementary School,Farmingdale Union Free School District,North Massapequa,536,89,Yes under Community Eligibility Option (CEO),false
Albany Avenue School,Lindenhurst Union Free School District,Lindenhurst,498,226,Yes under Community Eligibility Option (CEO),false
Albany Elementary School,Utica City School District,Utica,478,327,Yes under Community Eligibility Option (CEO),false
Albany High School,Albany City School District,Albany,2937,1916,Yes under Community Eligibility Option (CEO),true
Albany Leadership Charter School for Girls,Albany Leadership Charter School for Girls,Albany,383,311,Yes under Community Eligibility Option (CEO),true
Albany School of Humanities,Albany City School District,Albany,378,208,Yes under Community Eligibility Option (CEO),false
Albany-Schoharie-Schenectady-Saratoga BOCES,Albany-Schoharie-Schenectady-Saratoga BOCES,Albany,294,,No,false
Albee Square Montessori Public School,New York City Geographic District #13,Brooklyn,63,17,Yes under Community Eligibility Option (CEO),false
Albert G Prodell Middle School,Shoreham-Wading River Central School District,Shoreham,457,29,,false
Albert Leonard Middle School,New Rochelle City School District,New Rochelle,1012,375,Yes under Community Eligibility Option (CEO),false
Albert Shanker School for Visual and Performing Arts,New York City Geographic District #30,Long Island City,382,324,Yes under Community Eligibility Option (CEO),true
Albertus W Becker School,Ravena-Coeymans-Selkirk Central School District,Selkirk,389,152,Yes under Community Eligibility Option (CEO),false
Alden Intermediate School,Alden Central School District,Alden,344,109,Yes under Community Eligibility Option (CEO),false
Alden Middle School,Alden Central School District,Alden,343,99,Yes under Community Eligibility Option (CEO),false
Alden Place Elementary School,Millbrook Central School District,Millbrook,157,47,Yes under Community Eligibility Option (CEO),false
Alden Primary at Townline,Alden Central School District,Alden,299,75,Yes under Community Eligibility Option (CEO),false
Alden Senior High School,Alden Central School District,Alden,488,129,Yes under Community Eligibility Option (CEO),false
Alden Terrace School,Elmont Union Free School District,Valley Stream,405,221,Yes under Community Eligibility Option (CEO),false
Alexander Elementary School,Alexander Central School District,Alexander,326,130,Yes under Community Eligibility Option (CEO),false
Alexander Hamilton High School,Elmsford Union Free School District,Elmsford,493,230,Yes under Community Eligibility Option (CEO),true
Alexander Middle School-High School,Alexander Central School District,Alexander,403,101,Yes under Community Eligibility Option (CEO),false
Alexandria Central Elementary School,Alexandria Central School District,Alexandria Bay,243,91,Yes under Community Eligibility Option (CEO),false
Alexandria Central High School,Alexandria Central School District,Alexandria Bay,224,94,Yes under Community Eligibility Option (CEO),true
Alfred E Smith Career and Technical Education High School,New York City Geographic District # 7,Bronx,412,382,Yes under Community Eligibility Option (CEO),true
Alfred-Almond Elementary School,Alfred-Almond Central School District,Almond,250,126,Yes under Community Eligibility Option (CEO),false
Alfred-Almond Junior-Senior High School,Alfred-Almond Central School District,Almond,239,98,Yes under Community Eligibility Option (CEO),false
Algonquin Middle School,Averill Park Central School District,Averill Park,608,176,Yes under Community Eligibility Option (CEO),true
Alice E Grady Elementary School,Elmsford Union Free School District,Elmsford,392,169,Yes under Community Eligibility Option (CEO),false
All City Leadership Secondary School,New York City Geographic District #32,Brooklyn,416,321,Yes under Community Eligibility Option (CEO),true
Allegany-Limestone Elementary School,Allegany-Limestone Central School District,Allegany,466,197,Yes under Community Eligibility Option (CEO),false
Allegany-Limestone Middle-High School,Allegany-Limestone Central School District,Allegany,562,230,Yes under Community Eligibility Option (CEO),false
Alleghany Avenue School,Lindenhurst Union Free School District,Lindenhurst,319,150,Yes under Community Eligibility Option (CEO),false
Allen Creek School,Pittsford Central School District,Rochester,365,22,,false
