school_name,district_name,city_name,total_students,frl_eligible_students,national_school_lunch_program
3EA,Northridge Local,Dayton,3,,No
A+ Arts Academy,A+ Arts Academy,Columbus,247,,Yes under Community Eligibility Option (CEO)
A+ Children's Academy,A+ Children's Academy,Columbus,107,,Yes under Community Eligibility Option (CEO)
A. I. Root Middle School,Medina City SD,Medina,690,133,Yes participating without using any Provision or the CEO
Abraham Depp Elementary,Dublin City,Plain City,902,33,Yes participating without using any Provision or the CEO
Abraham Lincoln School,Maple Heights City,Maple Heights,479,,Yes under Community Eligibility Option (CEO)
Academy for Multilingual Immersion Studies,Cincinnati Public Schools,Cincinnati,524,,Yes under Community Eligibility Option (CEO)
Academy for Urban Scholars Youngstown,Academy for Urban Scholars Youngstown,Youngstown,374,,Yes under Community Eligibility Option (CEO)
Academy of World Languages School,Cincinnati Public Schools,Cincinnati,548,,Yes under Community Eligibility Option (CEO)
Ace Community Academy,ACE Community Academy,Middlefield,25,,No
Achievepoint Career Academy - Cincinnati,AchievePoint Career Academy - Cincinnati,Cincinnati,303,,No
Ada Elementary School,Ada Exempted Village,Ada,461,,No
Ada High School,Ada Exempted Village,Ada,404,376,Yes participating without using any Provision or the CEO
Adamsville Elementary School,Tri-Valley Local,Adamsville,255,141,Yes participating without using any Provision or the CEO
Addaville Elementary School,Gallia County Local,Gallipolis,315,,Yes under Community Eligibility Option (CEO)
Adena Elementary School,Adena Local,Frankfort,524,521,Yes participating without using any Provision or the CEO
Adena Elementary School,Lakota Local,West Chester,690,322,Yes participating without using any Provision or the CEO
Adena High School,Adena Local,Frankfort,297,,No
Adena Middle School,Adena Local,Frankfort,263,,No
Adlai Stevenson School,Cleveland Municipal,Cleveland,295,,Yes under Community Eligibility Option (CEO)
Admiral King Elementary School,Lorain City,Lorain,278,,Yes under Community Eligibility Option (CEO)
Adrian Elementary School,South Euclid-Lyndhurst City,South Euclid,265,,Yes under Community Eligibility Option (CEO)
Aerospace & Natural Science Academy of Toledo,Toledo City,Toledo,437,,Yes under Community Eligibility Option (CEO)
Aiken New Tech High School,Cincinnati Public Schools,Cincinnati,1226,,Yes under Community Eligibility Option (CEO)
Aim Academy @ Belden,Canton City,Canton,267,,Yes under Community Eligibility Option (CEO)
Akron Alternative Academy,Akron City,Akron,154,,Yes under Community Eligibility Option (CEO)
Akron Career Tech High School,Akron Career Tech High School,Akron,93,,Yes under Community Eligibility Option (CEO)
Akron Early College High School,Akron City,Akron,399,,Yes under Community Eligibility Option (CEO)
Akron Preparatory School,Akron Preparatory School,Akron,359,,Yes under Community Eligibility Option (CEO)
Akros Middle School,Akros Middle School,Akron,127,,Yes under Community Eligibility Option (CEO)
Akrotech High School,AkroTech High School,Akron,67,,Yes under Community Eligibility Option (CEO)
