school_name,district_name,city_name,total_students,frl_eligible_students,national_school_lunch_program
4th and 5th Grade Center,Deer Creek,Edmond,1289,345,Yes participating without using any Provision or the CEO
6th and 7th Grade Academy,Muskogee,Muskogee,551,471,Yes under Community Eligibility Option (CEO)
7th and 8th Grade Academic Ctr,Poteau,Poteau,277,191,Yes under Community Eligibility Option (CEO)
8th and 9th Grade Academy,Muskogee,Muskogee,595,473,Yes under Community Eligibility Option (CEO)
Academy ES,Guymon,Guymon,436,374,Yes under Provision 2
Academy of Okmulgee ES,Academy of Seminole (Charter),Okmulgee,185,123,Yes participating without using any Provision or the CEO
Academy of Seminole ES,Academy of Seminole (Charter),Seminole,181,135,Yes participating without using any Provision or the CEO
Academy of Seminole HS,Academy of Seminole (Charter),Seminole,50,30,Yes participating without using any Provision or the CEO
Achille ES,Achille,Achille,222,150,Yes under Community Eligibility Option (CEO)
Achille HS,Achille,Achille,63,41,Yes under Community Eligibility Option (CEO)
Ada Ec Ctr,Ada,Ada,360,267,Yes under Community Eligibility Option (CEO)
Ada HS,Ada,Ada,576,329,Yes under Community Eligibility Option (CEO)
Ada JHS,Ada,Ada,581,343,Yes under Community Eligibility Option (CEO)
Adair HS,Adair,Adair,281,149,Yes participating without using any Provision or the CEO
Adair MS,Adair,Adair,233,148,Yes participating without using any Provision or the CEO
Adams ES,Enid,Enid,305,290,Yes participating without using any Provision or the CEO
Adams ES,Norman,Norman,506,353,Yes under Community Eligibility Option (CEO)
Adams ES,Oklahoma City,Oklahoma City,378,373,Yes under Community Eligibility Option (CEO)
Adelaide Lee ES,Oklahoma City,Oklahoma City,571,567,Yes under Community Eligibility Option (CEO)
Afton ES,Afton,Afton,268,205,Yes under Community Eligibility Option (CEO)
Afton HS,Afton,Afton,139,78,Yes under Community Eligibility Option (CEO)
Agra ES,Agra,Agra,200,155,Yes under Community Eligibility Option (CEO)
Agra HS,Agra,Agra,59,37,Yes under Community Eligibility Option (CEO)
Agra JHS,Agra,Agra,46,30,Yes under Community Eligibility Option (CEO)
Albion Public School,Albion,Albion,26,21,Yes under Community Eligibility Option (CEO)
Alcott MS,Norman,Norman,708,334,Yes participating without using any Provision or the CEO
Alex ES,Alex,Alex,205,146,Yes under Community Eligibility Option (CEO)
Alex HS,Alex,Alex,115,56,Yes under Community Eligibility Option (CEO)
Alexander ES,Commerce,Commerce,447,391,Yes under Community Eligibility Option (CEO)
Aline-Cleo ES,Aline-Cleo,Cleo Springs,83,58,Yes under Community Eligibility Option (CEO)
Aline-Cleo HS,Aline-Cleo,Aline,27,14,Yes under Provision 2
