school_name,district_name,city_name,total_students,frl_eligible_students,national_school_lunch_program,admin_approved
509J On-Line,Jefferson County SD 509J,Madras,27,,No,false
A C Houghton Elementary School,Morrow SD 1,Irrigon,221,167,Yes under Community Eligibility Option (CEO),false
Abernethy Elementary School,Portland SD 1J,Portland,285,119,Yes under Community Eligibility Option (CEO),false
Abraham Lincoln Elementary,Medford SD 549C,Medford,401,348,Yes under Community Eligibility Option (CEO),false
Academy for Character Education,South Lane SD 45J3,Cottage Grove,354,,No,false
Academy of Arts and Academics,Springfield SD 19,Springfield,231,150,Yes under Community Eligibility Option (CEO),false
Adams Elementary School,Corvallis SD 509J,Corvallis,342,197,Yes under Community Eligibility Option (CEO),false
Adams Elementary School,Eugene SD 4J,Eugene,365,236,Yes under Community Eligibility Option (CEO),false
Adel Elementary School,Adel SD 21,Adel,11,,No,false
Adrian Elementary School,Adrian SD 61,Adrian,210,161,Yes under Community Eligibility Option (CEO),true
Adrian High School,Adrian SD 61,Adrian,83,59,Yes under Community Eligibility Option (CEO),false
Adrienne C. Nelson High School,North Clackamas SD 12,Happy Valley,1536,898,Yes under Community Eligibility Option (CEO),false
Agnes Stewart Middle School,Springfield SD 19,Springfield,460,471,Yes under Community Eligibility Option (CEO),true
Aiken Elementary School,Ontario SD 8C,Ontario,333,337,Yes under Community Eligibility Option (CEO),false
Ainsworth Elementary School,Portland SD 1J,Portland,587,247,Yes under Community Eligibility Option (CEO),false
Al Kennedy High School,South Lane SD 45J3,Cottage Grove,62,42,Yes under Community Eligibility Option (CEO),true
Alameda Elementary School,Portland SD 1J,Portland,498,208,Yes under Community Eligibility Option (CEO),false
Alameda Intermediate School,Ontario SD 8C,Ontario,355,360,Yes under Community Eligibility Option (CEO),false
Albany Options School,Greater Albany Public SD 8J,Albany,136,104,Yes under Community Eligibility Option (CEO),true
Alberta Rider Elementary School,Tigard-Tualatin SD 23J,Tigard,367,211,Yes under Community Eligibility Option (CEO),false
Alder Creek Middle School,North Clackamas SD 12,Milwaukie,810,478,Yes under Community Eligibility Option (CEO),false
Alder Elementary School,Reynolds SD 7,Portland,340,336,Yes under Community Eligibility Option (CEO),false
Alice Ott Middle School,David Douglas SD 40,Portland,594,595,Yes under Community Eligibility Option (CEO),true
Allen Dale Elementary School,Grants Pass SD 7,Grants Pass,397,295,Yes under Community Eligibility Option (CEO),false
Alliance Charter Academy,Oregon City SD 62,Oregon City,419,,No,false
Alliance High School,Portland SD 1J,Portland,197,,No,true
Aloha High School,Beaverton SD 48J,Beaverton,1658,823,Yes under Community Eligibility Option (CEO),false
Aloha-Huber Park School,Beaverton SD 48J,Beaverton,901,474,Yes under Community Eligibility Option (CEO),true
Alsea Charter School,Alsea SD 7J,Alsea,235,159,Yes under Community Eligibility Option (CEO),false
Amity Creek Elementary School,Bend-LaPine Administrative SD 1,Bend,144,68,Yes under Community Eligibility Option (CEO),false
Amity Elementary School,Amity SD 4J,Amity,320,207,Yes under Community Eligibility Option (CEO),false
Amity High School,Amity SD 4J,Amity,258,166,Yes under Community Eligibility Option (CEO),false
