school_name,district_name,city_name,total_students,frl_eligible_students,national_school_lunch_program,admin_approved
21st Century Cyber CS,21st Century Cyber CS,West Chester,996,,No,false
6th Grade Center,Quakertown Community SD,Quakertown,331,,Yes participating without using any Provision or the CEO,false
A J McMullen Sch,Uniontown Area SD,Markleysburg,164,,Yes under Community Eligibility Option (CEO),true
A L Wilson El Sch,Albert Gallatin Area SD,Fairchance,341,,Yes under Community Eligibility Option (CEO),false
A W Beattie Career Center,A W Beattie Career Center,Allison Park,7,,No,false
Abington Heights HS,Abington Heights SD,Clarks Summit,1115,,Yes participating without using any Provision or the CEO,false
Abington Heights MS,Abington Heights SD,Clarks Summit,1073,,Yes participating without using any Provision or the CEO,false
Abington MS,Abington SD,Abington,2044,,Yes participating without using any Provision or the CEO,false
Abington SHS,Abington SD,Abington,2692,,Yes participating without using any Provision or the CEO,false
Abraham Lincoln El Sch,Bethel Park SD,Pittsburgh,348,,Yes participating without using any Provision or the CEO,false
Academy at Palumbo,Philadelphia City SD,Philadelphia,1225,,Yes participating without using any Provision or the CEO,true
Academy Park HS,Southeast Delco SD,Sharon Hill,1194,,Yes under Community Eligibility Option (CEO),true
Achievement House CS,Achievement House CS,Exton,927,,No,true
Acmetonia El Sch,Allegheny Valley SD,Cheswick,458,,Yes under Community Eligibility Option (CEO),false
Ad Prima CS,Ad Prima CS,Philadelphia,602,,Yes under Community Eligibility Option (CEO),true
Adaire Alexander Sch,Philadelphia City SD,Philadelphia,447,,Yes under Community Eligibility Option (CEO),true
Adams County Technical Institute,Adams County Technical Institute,Gettysburg,5,,No,false
Adamstown El Sch,Cocalico SD,Adamstown,409,,Yes participating without using any Provision or the CEO,false
Admiral Peary Area Vocational-Technical School,Admiral Peary Area Vocational-Technical School,Ebensburg,24,,No,false
Afton El Sch,Pennsbury SD,Yardley,483,,Yes participating without using any Provision or the CEO,false
Agora Cyber CS,Agora Cyber CS,King of Prussia,4156,,No,true
Akron El Sch,Ephrata Area SD,Akron,276,,Yes participating without using any Provision or the CEO,false
Albert Gallatin Area SHS,Albert Gallatin Area SD,Uniontown,920,,Yes under Community Eligibility Option (CEO),true
Albert Gallatin North MS,Albert Gallatin Area SD,McClellandtown,375,,Yes under Community Eligibility Option (CEO),true
Albert Gallatin South MS,Albert Gallatin Area SD,Point Marion,318,,Yes under Community Eligibility Option (CEO),true
Alburtis El Sch,East Penn SD,Alburtis,360,,Yes participating without using any Provision or the CEO,false
Aldan El Sch,William Penn SD,Aldan,238,,Yes under Community Eligibility Option (CEO),false
Aliquippa El Sch,Aliquippa SD,Aliquippa,480,,Yes under Community Eligibility Option (CEO),false
Aliquippa Jshs,Aliquippa SD,Aliquippa,493,,Yes under Community Eligibility Option (CEO),true
Allegheny-Clarion Valley Elem,Allegheny-Clarion Valley SD,Foxburg,304,,Yes participating without using any Provision or the CEO,false
Allegheny-Clarion Valley HS,Allegheny-Clarion Valley SD,Foxburg,269,,Yes participating without using any Provision or the CEO,false
Allen Dr Ethel Sch,Philadelphia City SD,Philadelphia,322,,Yes under Community Eligibility Option (CEO),true
Allen Ethan Sch,Philadelphia City SD,Philadelphia,957,,Yes under Community Eligibility Option (CEO),true
Allen MS,West Shore SD,Camp Hill,272,,Yes participating without using any Provision or the CEO,false
Alliance for Progress CS,Alliance for Progress CS,Philadelphia,618,,Yes under Community Eligibility Option (CEO),true
Allison Park El Sch,Chartiers-Houston SD,Houston,691,,Yes participating without using any Provision or the CEO,false
Alloway Creek El Sch,Littlestown Area SD,Littlestown,746,,Yes participating without using any Provision or the CEO,false
Altoona Area HS,Altoona Area SD,Altoona,2255,,Yes participating without using any Provision or the CEO,true
Altoona Area Jr HS,Altoona Area SD,Altoona,1578,,Yes participating without using any Provision or the CEO,true
Amanda E Stout El Sch,Reading SD,Reading,758,,Yes under Community Eligibility Option (CEO),false
Ambridge Area HS,Ambridge Area SD,Ambridge,705,,Yes under Community Eligibility Option (CEO),true
Ambridge Area MS,Ambridge Area SD,Freedom,500,,Yes under Community Eligibility Option (CEO),true
Amos K Hutchinson El Sch,Greensburg Salem SD,Greensburg,521,,Yes under Community Eligibility Option (CEO),false
Amosland El Sch,Ridley SD,Morton,470,,Yes participating without using any Provision or the CEO,false
Amy at Martin,Philadelphia City SD,Philadelphia,185,,Yes under Community Eligibility Option (CEO),true
Amy NW,Philadelphia City SD,Philadelphia,150,,Yes under Community Eligibility Option (CEO),true
Anderson Add B Sch,Philadelphia City SD,Philadelphia,339,,Yes under Community Eligibility Option (CEO),true
Andrew Maier El Sch,Fleetwood Area SD,Blandon,245,,Yes participating without using any Provision or the CEO,false
Annville El Sch,Annville-Cleona SD,Annville,429,,Yes participating without using any Provision or the CEO,false
Annville-Cleona HS,Annville-Cleona SD,Annville,464,,Yes participating without using any Provision or the CEO,false
Annville-Cleona MS,Annville-Cleona SD,Annville,235,,Yes participating without using any Provision or the CEO,false
Antietam HS,Antietam SD,Reading,360,,Yes participating without using any Provision or the CEO,false
Antonia Pantoja Community CS,Antonia Pantoja Community CS,Philadelphia,752,,Yes under Community Eligibility Option (CEO),true
Apollo-Ridge El Sch,Apollo-Ridge SD,Spring Church,545,,Yes under Community Eligibility Option (CEO),false
Apollo-Ridge HS,Apollo-Ridge SD,Spring Church,327,,Yes under Community Eligibility Option (CEO),true
Apollo-Ridge MS,Apollo-Ridge SD,Spring Church,264,,Yes under Community Eligibility Option (CEO),true
Arcola Intrmd Sch,Methacton SD,Eagleville,692,,Yes participating without using any Provision or the CEO,false
