school_name,district_name,city_name,total_students,frl_eligible_students,national_school_lunch_program
Achievement First Envision Ele,Achievement First Rhode Island,Providence,458,377,Yes under Community Eligibility Option (CEO)
Achievement First Iluminar,Achievement First Rhode Island,Cranston,465,365,Yes under Community Eligibility Option (CEO)
Achievement First Promesa,Achievement First Rhode Island,Providence,548,459,Yes under Community Eligibility Option (CEO)
Achievement First Providence,Achievement First Rhode Island,Providence,460,382,Yes under Community Eligibility Option (CEO)
Achievement First Providence H,Achievement First Rhode Island,Providence,458,377,Yes under Community Eligibility Option (CEO)
Af Iluminar Mayoral Middle Sch,Achievement First Rhode Island,Cranston,406,328,Yes under Community Eligibility Option (CEO)
Af Providence Mayoral Middle,Achievement First Rhode Island,Providence,405,348,Yes under Community Eligibility Option (CEO)
Agnes B. Hennessey School,East Providence,East Providence,242,160,Yes participating without using any Provision or the CEO
Agnes E. Little School,Pawtucket,Pawtucket,320,269,Yes under Community Eligibility Option (CEO)
Alan Shawn Feinstein MS of Cov,Coventry,Coventry,944,348,Yes participating without using any Provision or the CEO
Alfred Lima Sr. El School,Providence,Providence,662,599,Yes under Community Eligibility Option (CEO)
Anthony Carnevale Elementary,Providence,Providence,519,437,Yes under Community Eligibility Option (CEO)
Apprenticeship Exploration Sch,Cranston,Cranston,176,146,Yes participating without using any Provision or the CEO
Aquidneck School,Middletown,Middletown,302,85,Yes participating without using any Provision or the CEO
Archie R. Cole MS,East Greenwich,East Greenwich,597,84,Yes participating without using any Provision or the CEO
Arlington School,Cranston,Cranston,209,162,Yes participating without using any Provision or the CEO
Asa Messer El. School,Providence,Providence,557,468,Yes under Community Eligibility Option (CEO)
Ashaway Elementary School,Chariho,Ashaway,212,75,Yes participating without using any Provision or the CEO
Ashton School,Cumberland,Cumberland,429,77,Yes participating without using any Provision or the CEO
Austin T. Levy School,Burrillville,Harrisville,254,121,Yes participating without using any Provision or the CEO
Aventure Academy,Providence,Providence,227,194,Yes under Community Eligibility Option (CEO)
B.f. Norton Elementary School,Cumberland,Cumberland,374,198,Yes participating without using any Provision or the CEO
Barrington High School,Barrington,Barrington,1098,139,Yes participating without using any Provision or the CEO
Barrington Middle School,Barrington,Barrington,763,91,Yes participating without using any Provision or the CEO
Beacon Charter School,Beacon Charter School,Woonsocket,203,134,Yes participating without using any Provision or the CEO
Bernon Heights School,Woonsocket,Woonsocket,405,259,Yes under Community Eligibility Option (CEO)
Birchwood Middle School,North Providence,North Providence,390,220,Yes participating without using any Provision or the CEO
Blackrock School,Coventry,Coventry,322,178,Yes participating without using any Provision or the CEO
Blackstone Academy Charter,Blackstone Academy,Pawtucket,357,290,Yes participating without using any Provision or the CEO
Blackstone Valley Prep,Blackstone Valley Prep A RI Mayoral Academy,Cumberland,422,357,Yes under Community Eligibility Option (CEO)
Blackstone Valley Prep E. 2,Blackstone Valley Prep A RI Mayoral Academy,Cumberland,426,339,Yes under Community Eligibility Option (CEO)
Blackstone Valley Prep Element,Blackstone Valley Prep A RI Mayoral Academy,Cumberland,280,231,Yes under Community Eligibility Option (CEO)
