school_name,district_name,city_name,total_students,frl_eligible_students,national_school_lunch_program,admin_approved
A H Roberts Elementary,Overton County,Livingston,344,,Yes under Community Eligibility Option (CEO),false
A L Lotts Elementary,Knox County,Knoxville,936,,Yes participating without using any Provision or the CEO,false
A. B. Hill Elementary,Memphis-Shelby County Schools,Memphis,485,,Yes under Community Eligibility Option (CEO),false
A. Maceo Walker Middle,Memphis-Shelby County Schools,Memphis,641,,Yes under Community Eligibility Option (CEO),false
A. Z. Kelley Elementary,Davidson County,Antioch,840,,Yes participating without using any Provision or the CEO,false
Abraham Lincoln Elementary School,Kingsport,Kingsport,420,,Yes under Community Eligibility Option (CEO),false
Adamsville Elementary,McNairy County,Adamsville,710,,Yes under Community Eligibility Option (CEO),true
Adamsville High School,McNairy County,Adamsville,460,,Yes under Community Eligibility Option (CEO),false
Adrian Burnett Elementary,Knox County,Knoxville,563,,Yes under Community Eligibility Option (CEO),false
Alamo Elementary,Alamo,Alamo,600,,Yes under Community Eligibility Option (CEO),false
Alcoa Elementary,Alcoa,Alcoa,581,,Yes participating without using any Provision or the CEO,false
Alcoa High School,Alcoa,Alcoa,687,,Yes participating without using any Provision or the CEO,false
Alcoa Intermediate School,Alcoa,Alcoa,476,,Yes participating without using any Provision or the CEO,false
Alcoa Middle School,Alcoa,Alcoa,526,,Yes participating without using any Provision or the CEO,true
Alcy Elementary,Memphis-Shelby County Schools,Memphis,775,,Yes under Community Eligibility Option (CEO),false
Alex Green Elementary,Davidson County,Whites Creek,451,,Yes under Community Eligibility Option (CEO),false
Alexander Elementary School,Madison County,Jackson,427,,Yes under Community Eligibility Option (CEO),false
Algood Elementary,Putnam County,Algood,495,,Yes participating without using any Provision or the CEO,false
Algood Middle School,Putnam County,Cookeville,718,,Yes participating without using any Provision or the CEO,true
Allardt Elementary,Fentress County,Allardt,399,,Yes under Community Eligibility Option (CEO),true
Allen Elementary School,Hamilton County,Soddy Daisy,416,,Yes participating without using any Provision or the CEO,false
Allendale Elementary School,Williamson County,Spring Hill,563,,Yes participating without using any Provision or the CEO,false
Allons Elementary,Overton County,Allons,378,,Yes under Community Eligibility Option (CEO),true
Alpha Elementary,Hamblen County,Morristown,595,,Yes under Community Eligibility Option (CEO),false
Alpine Crest Elementary School,Hamilton County,Chattanooga,302,,Yes under Community Eligibility Option (CEO),false
Altruria Elementary,Bartlett,Bartlett,730,,Yes participating without using any Provision or the CEO,false
Alvin C. York Agricultural Institute,Alvin C. York Agricultural Institute,Jamestown,493,,Yes participating without using any Provision or the CEO,true
Amanda H. North Elementary School,Williamson County,Spring Hill,539,,Yes participating without using any Provision or the CEO,false
American Classical Academy Rutherford,Rutherford County,LaVergne,195,,No,false
American Way Middle,Memphis-Shelby County Schools,Memphis,693,,Yes under Community Eligibility Option (CEO),true
Amherst Elementary School,Knox County,Knoxville,683,,Yes under Community Eligibility Option (CEO),false
Amqui Elementary,Davidson County,Madison,626,,Yes under Community Eligibility Option (CEO),false
Anderson County Head Start / Preschool,Anderson County,Clinton,64,,No,false
Anderson County High School,Anderson County,Clinton,1019,,Yes under Community Eligibility Option (CEO),false
Anderson County Innovation Academy,Anderson County,Clinton,32,,Yes under Community Eligibility Option (CEO),false
Anderson Early Childhood,Haywood County,Brownsville,324,,Yes under Community Eligibility Option (CEO),false
Anderson Elementary,Bristol,Bristol,280,,Yes under Community Eligibility Option (CEO),false
Andersonville Elementary,Anderson County,Andersonville,296,,Yes under Community Eligibility Option (CEO),false
Andrew Jackson Elementary,Davidson County,Old Hickory,493,,Yes under Community Eligibility Option (CEO),false
Andrew Jackson Elementary School,Madison County,Jackson,566,,Yes under Community Eligibility Option (CEO),false
Andrew Jackson Elementary School,Kingsport,Kingsport,430,,Yes under Community Eligibility Option (CEO),false
Andrew Johnson Elementary School,Kingsport,Kingsport,558,,Yes participating without using any Provision or the CEO,false
Antioch High School,Davidson County,Antioch,2212,,Yes under Community Eligibility Option (CEO),true
Antioch Middle,Davidson County,Antioch,656,,Yes participating without using any Provision or the CEO,true
Apison Elementary School,Hamilton County,Apison,617,,Yes participating without using any Provision or the CEO,false
Apollo Middle,Davidson County,Antioch,549,,Yes under Community Eligibility Option (CEO),true
Appling Middle School,Bartlett,Bartlett,593,,Yes participating without using any Provision or the CEO,true
Arlington Elementary,Arlington,Arlington,926,,Yes participating without using any Provision or the CEO,false
Arlington Elementary School,Madison County,Jackson,626,,Yes under Community Eligibility Option (CEO),false
Arlington High,Arlington,Arlington,1674,,Yes participating without using any Provision or the CEO,true
Arlington Middle,Arlington,Arlington,960,,Yes participating without using any Provision or the CEO,true
Arnold Memorial Elementary,Cleveland,Cleveland,330,,Yes under Community Eligibility Option (CEO),false
Arrington Elementary School,Williamson County,Arrington,715,,Yes participating without using any Provision or the CEO,false
