school_name,district_name,city_name,total_students,frl_eligible_students,national_school_lunch_program
A & M Cons H S,College Station ISD,College Station,2166,719,Yes participating without using any Provision or the CEO
A & M Consolidated Middle,College Station ISD,College Station,681,304,Yes participating without using any Provision or the CEO
A B Duncan Collegiate El,Floydada Collegiate ISD,Floydada,295,210,Yes under Community Eligibility Option (CEO)
A B McBay El,Mexia ISD,Mexia,498,418,Yes under Community Eligibility Option (CEO)
A C Blunt Middle,Aransas Pass ISD,Aransas Pass,382,268,Yes under Community Eligibility Option (CEO)
A C Jones H S,Beeville ISD,Beeville,969,762,Yes under Community Eligibility Option (CEO)
A E Butler Int,Quinlan ISD,Quinlan,651,495,Yes participating without using any Provision or the CEO
A G Elder El,Joshua ISD,Joshua,670,346,Yes participating without using any Provision or the CEO
A Leal Jr Middle,Harlandale ISD,San Antonio,499,463,Yes under Community Eligibility Option (CEO)
A M Ochoa El,Donna ISD,Donna,580,543,Yes under Community Eligibility Option (CEO)
A M Pate El,Fort Worth ISD,Fort Worth,227,218,Yes under Community Eligibility Option (CEO)
A N Rico El,Weslaco ISD,Weslaco,780,697,Yes under Community Eligibility Option (CEO)
A P Beutel El,Brazosport ISD,Lake Jackson,572,309,Yes under Community Eligibility Option (CEO)
A P Solis Middle,Donna ISD,Donna,646,590,Yes under Community Eligibility Option (CEO)
A V Cato El,Castleberry ISD,Fort Worth,633,600,Yes under Community Eligibility Option (CEO)
A W Orr El - Cp,Tyler ISD,Tyler,247,228,Yes under Community Eligibility Option (CEO)
A+ Academy El,A+ Academy,Dallas,888,814,Yes under Provision 2
A+ Secondary School,A+ Academy,Dallas,790,776,Yes under Provision 2
A+ Unlimited Potential - University,A+ Unlimited Potential,Houston,156,121,Yes participating without using any Provision or the CEO
A+up H S,A+ Unlimited Potential,Houston,47,40,Yes participating without using any Provision or the CEO
Aaron Parker El,North Lamar ISD,Powderly,246,156,Yes under Community Eligibility Option (CEO)
Ab Harrison Int,Wylie ISD,Wylie,1093,320,Yes participating without using any Provision or the CEO
Abbett El,Garland ISD,Garland,710,435,Yes under Community Eligibility Option (CEO)
Abbott School,Abbott ISD,Abbott,284,109,Yes participating without using any Provision or the CEO
Abell J H,Midland ISD,Midland,1129,613,Yes participating without using any Provision or the CEO
Abernathy El,Abernathy ISD,Abernathy,400,205,Yes under Community Eligibility Option (CEO)
Abernathy H S,Abernathy ISD,Abernathy,237,110,Yes under Community Eligibility Option (CEO)
Abernathy Middle,Abernathy ISD,Abernathy,171,78,Yes under Community Eligibility Option (CEO)
Abilene H S,Abilene ISD,Abilene,1798,1138,Yes under Community Eligibility Option (CEO)
About Face Program El,El Paso ISD,El Paso,3,,Yes under Community Eligibility Option (CEO)
Academic Counseling and Transition Academy,Channelview ISD,Channelview,25,25,Yes under Community Eligibility Option (CEO)
Academy at Carrie F Thomas,Birdville ISD,North Richland Hills,586,443,Yes under Provision 2
Academy at Nola Dunn,Burleson ISD,Burleson,668,99,Yes participating without using any Provision or the CEO
Academy Early Childhood Center,Academy ISD,Little River,167,81,Yes under Provision 2
Academy El,Academy ISD,Little River,258,101,Yes under Provision 2
Academy for Technology Engineering Math & Science,Abilene ISD,Abilene,384,166,Yes under Community Eligibility Option (CEO)
Academy H S,Academy ISD,Little River,546,186,Yes under Provision 2
Academy H S,Plano ISD,Plano,275,41,Yes participating without using any Provision or the CEO
Academy Int,Academy ISD,Little River,444,169,Yes under Provision 2
Academy Middle,Academy ISD,Little River,417,143,Yes under Provision 2
Academy of Accelerated Learning,Academy of Accelerated Learning Inc,Houston,738,652,Yes under Community Eligibility Option (CEO)
Academy of Creative Ed,North East ISD,San Antonio,121,73,Yes under Community Eligibility Option (CEO)
Academy of Dallas,Academy of Dallas,Dallas,220,194,Yes under Community Eligibility Option (CEO)
Academy of Visual and Performing Arts,Academy of Visual and Performing Arts,Fort Worth,146,3,Yes under Community Eligibility Option (CEO)
Accelerated Center for Education (Ace),Galena Park ISD,Houston,230,209,Yes under Community Eligibility Option (CEO)
Accelerated Int Charter School,Accelerated Intermediate Academy,Houston,21,19,Yes under Community Eligibility Option (CEO)
Accelerated Interdisciplinary Acad,Accelerated Intermediate Academy,Houston,161,160,Yes under Community Eligibility Option (CEO)
Achieve Academy,Wylie ISD,Wylie,133,64,Yes participating without using any Provision or the CEO
