school_name,district_name,city_name,total_students,frl_eligible_students,national_school_lunch_program,admin_approved
Academy for Math Engineering & Science,Academy for Math Engineering & Science,Salt Lake City,460,83,No,false
Academy Park School,Granite District,West Valley City,358,173,Yes participating without using any Provision or the CEO,false
Adams School,Davis District,Layton,645,141,Yes participating without using any Provision or the CEO,false
Adams School,Logan City District,Logan,338,177,Yes participating without using any Provision or the CEO,false
Adelaide School,Davis District,Bountiful,415,205,Yes participating without using any Provision or the CEO,false
Advantage Arts Academy,Advantage Arts Academy,Herriman,354,88,Yes participating without using any Provision or the CEO,false
Albert R. Lyman Middle,San Juan District,Blanding,330,202,Yes under Community Eligibility Option (CEO),true
Albion Middle,Canyons District,Sandy,943,90,Yes participating without using any Provision or the CEO,false
Alpine Online School,Alpine District,American Fork,106,28,No,false
Alpine School,Alpine District,Alpine,539,49,Yes participating without using any Provision or the CEO,false
Alta High,Canyons District,Sandy,2278,346,Yes participating without using any Provision or the CEO,false
Alta View School,Canyons District,Sandy,556,126,Yes participating without using any Provision or the CEO,false
Altamont High,Duchesne District,Altamont,273,61,Yes participating without using any Provision or the CEO,false
Altamont School,Duchesne District,Altamont,357,130,Yes participating without using any Provision or the CEO,false
Altara School,Canyons District,Sandy,560,104,Yes participating without using any Provision or the CEO,false
Amelia Earhart School,Provo District,Provo,377,223,Yes participating without using any Provision or the CEO,false
American Academy of Innovation,American Academy of Innovation,South Jordan,373,86,Yes participating without using any Provision or the CEO,false
American Fork High,Alpine District,American Fork,2316,325,Yes participating without using any Provision or the CEO,false
American Fork Jr High,Alpine District,American Fork,1827,336,Yes participating without using any Provision or the CEO,false
American Leadership Academy,American Leadership Academy,Spanish Fork,1597,584,Yes participating without using any Provision or the CEO,false
American Preparatory Academy - Accelerated School,American Preparatory Academy,West Valley City,1556,805,Yes participating without using any Provision or the CEO,true
American Preparatory Academy - Draper #1,American Preparatory Academy,Draper,622,69,Yes participating without using any Provision or the CEO,false
American Preparatory Academy - Draper #2,American Preparatory Academy,Draper,1068,183,Yes participating without using any Provision or the CEO,false
American Preparatory Academy - Draper #3,American Preparatory Academy,Draper,719,114,Yes participating without using any Provision or the CEO,false
American Preparatory Academy - Salem,American Preparatory Academy,Salem,570,121,Yes participating without using any Provision or the CEO,false
American Preparatory Academy - the School for New Americans,American Preparatory Academy,West Valley City,639,380,Yes participating without using any Provision or the CEO,true
American Principles Academy,American Principles Academy,Cedar City,204,63,No,false
Anna Smith School,Tooele District,Wendover,203,123,Yes under Community Eligibility Option (CEO),false
Antelope Canyon Elementary,Jordan District,West Jordan,592,111,Yes participating without using any Provision or the CEO,false
Antelope School,Davis District,Clearfield,667,281,Yes participating without using any Provision or the CEO,false
Antimony School,Garfield District,Antimony,1,,Yes participating without using any Provision or the CEO,false
Apple Valley School,Nebo District,Santaquin,732,240,Yes participating without using any Provision or the CEO,false
Arcadia School,Granite District,Taylorsville,433,190,Yes participating without using any Provision or the CEO,false
Arrowhead School,Washington District,Santa Clara,520,172,Yes participating without using any Provision or the CEO,false
Art City School,Nebo District,Springville,433,143,Yes participating without using any Provision or the CEO,false
Ascent Academies of Utah - West Valley,Ascent Academies of Utah,West Valley City,425,231,Yes participating without using any Provision or the CEO,true
Ascent Academies of Utah Farmington,Ascent Academies of Utah,Farmington,385,55,Yes participating without using any Provision or the CEO,false
Ascent Academies of Utah Lehi,Ascent Academies of Utah,Lehi,646,102,Yes participating without using any Provision or the CEO,false
Ascent Academies of Utah Saratoga Springs,Ascent Academies of Utah,Saratoga Springs,637,124,Yes participating without using any Provision or the CEO,false
Ascent Academies of Utah West Jordan,Ascent Academies of Utah,West Jordan,761,252,Yes participating without using any Provision or the CEO,false
Ashley School,Uintah District,Vernal,442,247,Yes participating without using any Provision or the CEO,false
Ashley Valley Educ. Ctr.,Uintah District,Vernal,287,100,Yes participating without using any Provision or the CEO,false
Ashman School,Sevier District,Richfield,466,249,Yes participating without using any Provision or the CEO,false
Aspen Elementary,Jordan District,South Jordan,901,239,Yes participating without using any Provision or the CEO,false
Aspen School,Alpine District,Orem,419,102,Yes participating without using any Provision or the CEO,false
Athenian Eacademy,Athenian eAcademy,American Fork,557,161,Yes under Community Eligibility Option (CEO),false
Athlos Academy of Utah,Athlos Academy of Utah,Herriman,458,189,Yes participating without using any Provision or the CEO,false
Backman School,Salt Lake District,Salt Lake City,396,389,Yes under Community Eligibility Option (CEO),false
Barnett School,Nebo District,Payson,508,255,Yes participating without using any Provision or the CEO,false
Barratt School,Alpine District,American Fork,563,116,Yes participating without using any Provision or the CEO,false
Basin Online School,Duchesne District,Roosevelt,39,14,No,false
Bastian School,Jordan District,Herriman,741,131,Yes participating without using any Provision or the CEO,false
Bates School,Weber District,Ogden,690,123,Yes participating without using any Provision or the CEO,false
Beacon Heights School,Salt Lake District,Salt Lake City,345,63,Yes participating without using any Provision or the CEO,false
Bear River Charter School,Bear River Charter School,Logan,162,43,No,false
Bear River High,Box Elder District,Garland,1194,283,Yes participating without using any Provision or the CEO,false
Bear River Middle,Box Elder District,Garland,841,255,Yes participating without using any Provision or the CEO,false
Beaver High,Beaver District,Beaver,442,179,Yes participating without using any Provision or the CEO,false
Beaver Preschool,Beaver District,Beaver,42,10,No,false
Beehive School,Granite District,Kearns,489,221,Yes participating without using any Provision or the CEO,false
Beehive Science & Technology Academy,Beehive Science & Technology Academy,Sandy,424,85,Yes participating without using any Provision or the CEO,false
Beehive Science & Technology Academy Elementary,Beehive Science & Technology Academy,Sandy,435,101,No,false
Belknap School,Beaver District,Beaver,451,231,Yes participating without using any Provision or the CEO,false
Bella Vista School,Canyons District,Salt Lake City,219,71,Yes participating without using any Provision or the CEO,false
Belmont School,Alpine District,Lehi,946,157,Yes participating without using any Provision or the CEO,false
Ben Lomond High,Ogden City District,Ogden,1180,636,Yes participating without using any Provision or the CEO,false
Bennion Jr High,Granite District,Taylorsville,1022,386,Yes participating without using any Provision or the CEO,false
Bennion School,Granite District,Salt Lake City,447,121,Yes participating without using any Provision or the CEO,false
Big Water High,Kane District,Big Water,33,10,No,false
Big Water School,Kane District,Big Water,40,17,Yes participating without using any Provision or the CEO,false
Bingham High,Jordan District,South Jordan,2461,322,Yes participating without using any Provision or the CEO,false
Birch Creek School,Cache District,Smithfield,766,270,Yes participating without using any Provision or the CEO,false
Black Ridge School,Alpine District,Eagle Mountain,842,102,Yes participating without using any Provision or the CEO,false
Blackridge School,Jordan District,Herriman,782,107,Yes participating without using any Provision or the CEO,false
Blanding School,San Juan District,Blanding,509,314,Yes under Community Eligibility Option (CEO),false
Blind Region 2,Utah Schools for the Deaf and the Blind,Salt Lake City,16,5,No,false
Blind South,Utah Schools for the Deaf and the Blind,Orem,10,3,No,false
Bloomington Hills School,Washington District,St George,448,194,Yes participating without using any Provision or the CEO,false
Bloomington School,Washington District,St George,553,143,Yes participating without using any Provision or the CEO,false
Blue Peak High,Tooele District,Tooele,128,56,Yes participating without using any Provision or the CEO,false
Bluff Ridge School,Davis District,Syracuse,915,109,Yes participating without using any Provision or the CEO,false
Bluff School,San Juan District,Bluff,82,81,Yes under Community Eligibility Option (CEO),false
Bluffdale School,Jordan District,Bluffdale,736,149,Yes participating without using any Provision or the CEO,false
Bonneville Academy,Bonneville Academy,Stansbury Park,337,81,Yes participating without using any Provision or the CEO,false
Bonneville High,Weber District,Ogden,1373,490,Yes participating without using any Provision or the CEO,false
Bonneville Jr High,Granite District,Salt Lake City,636,255,Yes participating without using any Provision or the CEO,false
Bonneville Preschool,Weber District,Ogden,59,5,No,false
Bonneville School,Ogden City District,Ogden,442,298,Yes under Community Eligibility Option (CEO),false
Bonneville School,Alpine District,Orem,564,254,Yes participating without using any Provision or the CEO,false
Bonneville School,Salt Lake District,Salt Lake City,414,28,Yes participating without using any Provision or the CEO,false
Book Cliff School,Emery District,Green River,123,84,Yes participating without using any Provision or the CEO,false
Boulder School,Garfield District,Boulder,7,,Yes participating without using any Provision or the CEO,false
Boulton School,Davis District,Bountiful,466,97,Yes participating without using any Provision or the CEO,false
Bountiful High,Davis District,Bountiful,1550,216,Yes participating without using any Provision or the CEO,false
Bountiful Jr High,Davis District,Bountiful,630,152,Yes participating without using any Provision or the CEO,false
Bountiful School,Davis District,Bountiful,474,115,Yes participating without using any Provision or the CEO,false
Box Elder High,Box Elder District,Brigham City,1641,414,Yes participating without using any Provision or the CEO,false
Box Elder Middle,Box Elder District,Brigham City,1124,348,Yes participating without using any Provision or the CEO,false
Bridge Elementary School,Bridge Elementary School,Roy,558,196,Yes participating without using any Provision or the CEO,false
Bridger School,Logan City District,Logan,499,324,Yes participating without using any Provision or the CEO,false
Bridges Nebo Transition Center,Nebo District,Springville,175,92,Yes participating without using any Provision or the CEO,true
Brighton High,Canyons District,Salt Lake City,2435,312,Yes participating without using any Provision or the CEO,false
Brockbank School,Nebo District,Spanish Fork,456,133,Yes participating without using any Provision or the CEO,false
Brookhaven School,Alpine District,Eagle Mountain,1077,221,Yes participating without using any Provision or the CEO,false
Brookside School,Nebo District,Springville,362,140,Yes participating without using any Provision or the CEO,false
Brookwood School,Canyons District,Sandy,359,15,Yes participating without using any Provision or the CEO,false
Bruin Point School,Carbon District,Sunnyside,107,81,Yes under Community Eligibility Option (CEO),false
Bryce Valley High,Garfield District,Tropic,142,28,Yes participating without using any Provision or the CEO,false
Bryce Valley School,Garfield District,Tropic,157,53,Yes participating without using any Provision or the CEO,false
Buffalo Point School,Davis District,Syracuse,726,89,Yes participating without using any Provision or the CEO,false
Burch Creek School,Weber District,Ogden,577,309,Yes participating without using any Provision or the CEO,false
Butler Middle,Canyons District,Salt Lake City,913,153,Yes participating without using any Provision or the CEO,false
Butler School,Canyons District,Salt Lake City,600,73,Yes participating without using any Provision or the CEO,false
Butterfield Canyon School,Jordan District,Herriman,704,75,Yes participating without using any Provision or the CEO,false
C R Sundwall Center,Grand District,Moab,60,11,No,false
C.s. Lewis Academy,C.S. Lewis Academy,Santaquin,224,120,Yes participating without using any Provision or the CEO,false
Cache High,Cache District,Logan,125,57,No,false
Cache Preschool,Cache District,North Logan,68,,No,false
Calvin S. Smith School,Granite District,Taylorsville,525,102,Yes participating without using any Provision or the CEO,false
Canyon Creek School,Davis District,Farmington,778,47,Yes participating without using any Provision or the CEO,false
Canyon Crest School,Provo District,Provo,487,100,Yes participating without using any Provision or the CEO,false
Canyon Grove Academy,Canyon Grove Academy,Pleasant Grove,1052,69,No,false
Canyon Rim Academy,Canyon Rim Academy,Salt Lake City,524,32,Yes participating without using any Provision or the CEO,false
Canyon School,Cache District,Hyrum,789,330,Yes participating without using any Provision or the CEO,false
Canyon School,Nebo District,Spanish Fork,457,116,Yes participating without using any Provision or the CEO,false
Canyon View High,Iron District,Cedar City,1021,333,Yes participating without using any Provision or the CEO,false
Canyon View Jr High,Alpine District,Orem,1066,311,Yes participating without using any Provision or the CEO,false
Canyon View Middle,Iron District,Cedar City,948,390,Yes participating without using any Provision or the CEO,false
Canyon View Middle School,Emery District,Huntington,215,84,Yes participating without using any Provision or the CEO,false
Canyon View Preschool,Weber District,Ogden,42,10,No,false
Canyon View School,Weber District,Ogden,16,9,No,false
Canyon View School,Canyons District,Salt Lake City,471,51,Yes participating without using any Provision or the CEO,false
Canyons Technical Education Center,Canyons District,Sandy,8,,No,false
Carbon High,Carbon District,Price,1004,398,Yes participating without using any Provision or the CEO,false
Career Tech High School,Washington District,Saint George,592,137,Yes participating without using any Provision or the CEO,false
Cascade School,Alpine District,Orem,882,355,Yes participating without using any Provision or the CEO,false
Castle Dale School,Emery District,Castle Dale,127,66,Yes participating without using any Provision or the CEO,false
Castle Heights School,Carbon District,Price,369,168,Yes participating without using any Provision or the CEO,false
Castle Valley Center,Carbon District,Price,95,51,Yes under Community Eligibility Option (CEO),false
Cedar City High,Iron District,Cedar City,1372,340,Yes participating without using any Provision or the CEO,false
Cedar East School,Iron District,Cedar City,598,318,Yes participating without using any Provision or the CEO,false
Cedar Middle,Iron District,Cedar City,1139,388,Yes participating without using any Provision or the CEO,false
Cedar North School,Iron District,Cedar City,578,275,Yes participating without using any Provision or the CEO,false
Cedar Ridge High,Sevier District,Richfield,57,38,Yes participating without using any Provision or the CEO,true
Cedar Ridge School,Alpine District,Cedar Hills,682,96,Yes participating without using any Provision or the CEO,false
Cedar Ridge School,Cache District,Hyde Park,719,108,Yes participating without using any Provision or the CEO,false
Cedar South School,Iron District,Cedar City,545,183,Yes participating without using any Provision or the CEO,false
