school_name,district_name,city_name,total_students,frl_eligible_students,national_school_lunch_program,admin_approved
A. Henderson Elementary,Prince William County Public Schools,Dumfries,815,275,Yes participating without using any Provision or the CEO,false
A.g. Richardson Elementary,Culpeper County Public Schools,Culpeper,563,312,Yes under Community Eligibility Option (CEO),false
A.m. Davis Elementary,Chesterfield County Public Schools,North Chesterfield,708,535,Yes under Community Eligibility Option (CEO),false
A.s. Rhodes Elementary,Warren County Public Schools,Front Royal,265,197,Yes under Community Eligibility Option (CEO),false
A.w.e. Bassette Elementary,Hampton City Public Schools,Hampton,486,448,Yes under Community Eligibility Option (CEO),false
Abb's Valley-Boissevain Elementary,Tazewell County Public Schools,Bluefield,144,129,Yes under Community Eligibility Option (CEO),false
Aberdeen Elementary,Hampton City Public Schools,Hampton,482,435,Yes under Community Eligibility Option (CEO),false
Abingdon Elementary,Washington County Public Schools,Abingdon,426,321,Yes under Community Eligibility Option (CEO),false
Abingdon Elementary,Arlington County Public Schools,Arlington,768,442,Yes under Community Eligibility Option (CEO),false
Abingdon Elementary,Gloucester County Public Schools,Hayes,455,299,Yes under Community Eligibility Option (CEO),false
Abingdon High,Washington County Public Schools,Abingdon,914,678,Yes under Community Eligibility Option (CEO),false
Academy for Discovery at Lakewood,Norfolk City Public Schools,Norfolk,739,739,Yes under Community Eligibility Option (CEO),false
Accawmacke Elementary,Accomack County Public Schools,Accomac,453,469,Yes under Community Eligibility Option (CEO),false
Achievable Dream Academy,Newport News City Public Schools,Newport News,641,643,Yes under Community Eligibility Option (CEO),false
Achievable Dream Middle/High,Newport News City Public Schools,Newport News,498,495,Yes under Community Eligibility Option (CEO),true
Achilles Elementary,Gloucester County Public Schools,Hayes,397,263,Yes under Community Eligibility Option (CEO),false
Acquinton Elementary,King William County Public Schools,King William,472,224,Yes participating without using any Provision or the CEO,false
Addison Aerospace Magnet Middle,Roanoke City Public Schools,Roanoke,540,525,Yes under Community Eligibility Option (CEO),true
Admiral Richard E. Byrd Middle,Frederick County Public Schools,Winchester,853,309,Yes participating without using any Provision or the CEO,false
