school_name,district_name,city_name,total_students,frl_eligible_students,national_school_lunch_program
Academy School,Windham Southeast Unified Union School District #96,Brattleboro,418,262,Yes under Community Eligibility Option (CEO)
Albany Community School,Lake Region Union Elementary Middle School District,Albany,98,63,Yes under Community Eligibility Option (CEO)
Albert Bridge School (West Windsor),Mount Ascutney School District #86,Brownsville,68,18,Yes under Community Eligibility Option (CEO)
Albert D. Lawton School,Essex Westford Educational Community Unified Union SD #51,Essex Junction,297,99,Yes under Community Eligibility Option (CEO)
Alburgh Community Education Center,Alburgh School District,Alburgh,188,128,Yes under Community Eligibility Option (CEO)
Arlington Memorial,Arlington School District,Arlington,202,145,Yes under Community Eligibility Option (CEO)
Bakersfield School,Northern Mountain Valley Unified Union School District #85,Bakersfield,143,73,Yes under Community Eligibility Option (CEO)
Barnard Academy,Mountain Views Unified Union School District #76,Barnard,57,13,Yes under Community Eligibility Option (CEO)
Barnet Elementary School,Caledonia Cooperative Unified School District #78,Barnet,135,81,Yes under Community Eligibility Option (CEO)
Barre City Elementary/Middle School,Barre Unified Union School District #97,Barre,701,476,Yes under Community Eligibility Option (CEO)
Barre Town Elementary & Middle School,Barre Unified Union School District #97,Barre,821,294,Yes under Community Eligibility Option (CEO)
Barstow Memorial School,Barstow Unified Union School District #49,Chittenden,168,41,Yes under Community Eligibility Option (CEO)
Barton Graded School,Lake Region Union Elementary Middle School District,Barton,136,102,Yes under Community Eligibility Option (CEO)
Beeman Elementary School,Mt. Abraham Unified School District #61,New Haven,98,37,Yes under Community Eligibility Option (CEO)
Bellows Falls Middle School,Rockingham School District,Bellows Falls,245,156,Yes under Community Eligibility Option (CEO)
Bellows Falls Union High School,Bellows Falls Union High School District #27,Bellows Falls,303,172,Yes under Community Eligibility Option (CEO)
Bellows Free Academy (St. Albans),Maple Run Unified Union School District #57,Saint Albans,905,385,Yes under Community Eligibility Option (CEO)
Bellows Free Academy Elementary (Fairfax),Fairfax School District,Fairfax,579,238,Yes under Provision 2
Bellows Free Academy Middle/High School (Fairfax),Fairfax School District,Fairfax,393,168,Yes under Provision 2
Bennington Elementary School,Southwest Vermont Union Elementary School District #87,Bennington,278,229,Yes under Community Eligibility Option (CEO)
Benson Village School,Slate Valley Unified Union School District #62,Benson,97,71,Yes under Community Eligibility Option (CEO)
Berkshire Elementary School,Northern Mountain Valley Unified Union School District #85,Richford,185,126,Yes under Community Eligibility Option (CEO)
Berlin Elementary School,Washington Central Unified Union School District #92,Berlin,182,96,Yes under Community Eligibility Option (CEO)
Bethel Elementary School,White River Unified School District #79,Bethel,124,71,Yes under Community Eligibility Option (CEO)
Bingham Memorial School,Addison Central Unified Union School District #55,Cornwall,91,24,Yes under Community Eligibility Option (CEO)
Blue Mountain Union School,Blue Mountain Union School District #21,Wells River,392,282,Yes under Community Eligibility Option (CEO)
Bradford Elementary School,Oxbow Unified Union School District #91,Bradford,216,133,Yes under Community Eligibility Option (CEO)
Braintree School,Orange Southwest Unified Union School District #59,Braintree,88,48,Yes under Community Eligibility Option (CEO)
Brattleboro Area Middle School,Windham Southeast Unified Union School District #96,Brattleboro,255,145,Yes under Community Eligibility Option (CEO)
Brattleboro Union High School,Windham Southeast Unified Union School District #96,Brattleboro,705,358,Yes under Community Eligibility Option (CEO)
Brewster Pierce School,Mount Mansfield Unified Union School District #401,Huntington,127,30,Yes under Provision 2
Bridport Central School,Addison Central Unified Union School District #55,Bridport,63,31,Yes under Community Eligibility Option (CEO)
Brighton Elementary School,Brighton School District,Island Pond,127,90,Yes under Community Eligibility Option (CEO)
Bristol Elementary School,Mt. Abraham Unified School District #61,Bristol,284,113,Yes under Community Eligibility Option (CEO)
Brookfield School,Orange Southwest Unified Union School District #59,Brookfield,89,34,Yes under Community Eligibility Option (CEO)
Brookside Primary School,Harwood Unified Union School District #60,Waterbury,389,95,Yes under Provision 2
Brownington Central School,Lake Region Union Elementary Middle School District,Brownington,113,71,Yes under Community Eligibility Option (CEO)
Browns River Middle School,Mount Mansfield Unified Union School District #401,Jericho,403,55,Yes under Provision 2
Burke Town School,Kingdom East Unified Union School District #64,West Burke,188,97,Yes under Community Eligibility Option (CEO)
Burlington High School,Burlington School District,Burlington,921,527,Yes under Community Eligibility Option (CEO)
C. P. Smith School,Burlington School District,Burlington,255,110,Yes under Community Eligibility Option (CEO)
Cabot School,Cabot School District,Cabot,150,94,Yes under Community Eligibility Option (CEO)
Calais Elementary School,Washington Central Unified Union School District #92,Plainfield,91,33,Yes under Community Eligibility Option (CEO)
Cambridge Elementary School,Cambridge School District,Jeffersonville,324,149,Yes under Community Eligibility Option (CEO)
Camels Hump Middle School,Mount Mansfield Unified Union School District #401,Richmond,332,79,Yes under Provision 2
