school_name,district_name,city_name,total_students,frl_eligible_students,national_school_lunch_program
10th Street School,Marysville School District,Marysville,217,75,Yes under Community Eligibility Option (CEO)
A G West Black Hills High School,Tumwater School District,Tumwater,753,235,Yes participating without using any Provision or the CEO
A J West Elementary,Aberdeen School District,Aberdeen,281,241,Yes under Community Eligibility Option (CEO)
A-3 Multiagency Adolescent Prog,Spokane School District,Spokane,29,19,Yes under Community Eligibility Option (CEO)
Abraham Lincoln Elementary,Wenatchee School District,Wenatchee,604,487,Yes under Community Eligibility Option (CEO)
Acceleration Academy,Bethel School District,Spanaway,450,218,Yes under Community Eligibility Option (CEO)
Aces High School,Mukilteo School District,Everett,130,91,Yes under Community Eligibility Option (CEO)
Acme Elementary,Mount Baker School District,Acme,168,88,Yes under Community Eligibility Option (CEO)
Adams Elementary,Spokane School District,Spokane,312,223,Yes under Community Eligibility Option (CEO)
Adams Elementary,Central Valley School District,Spokane Valley,376,232,Yes under Community Eligibility Option (CEO)
Adams Elementary,Wapato School District,Wapato,394,359,Yes under Community Eligibility Option (CEO)
Adams Elementary School,Seattle School District No. 1,Seattle,285,53,Yes participating without using any Provision or the CEO
Adams Elementary School,Yakima School District,Yakima,643,607,Yes under Community Eligibility Option (CEO)
Adelaide Elementary School,Federal Way School District,Federal Way,321,232,Yes under Community Eligibility Option (CEO)
Adna Elementary School,Adna School District,Chehalis,265,81,Yes participating without using any Provision or the CEO
Adna Middle/High School,Adna School District,Chehalis,369,92,Yes participating without using any Provision or the CEO
Ahtanum Valley Elementary,West Valley School District (Yakima),Yakima,381,245,Yes under Community Eligibility Option (CEO)
Aim High School,Snohomish School District,Snohomish,174,72,No
Aki Kurose Middle School,Seattle School District No. 1,Seattle,817,464,Yes under Community Eligibility Option (CEO)
Alan T. Sugiyama High School,Seattle School District No. 1,Seattle,48,34,Yes under Community Eligibility Option (CEO)
Albert Einstein Elementary,Lake Washington School District,Redmond,448,93,Yes participating without using any Provision or the CEO
Albert Einstein Middle School,Shoreline School District,Shoreline,1032,343,Yes participating without using any Provision or the CEO
Alderwood Elementary School,Bellingham School District,Bellingham,305,200,Yes under Community Eligibility Option (CEO)
Alderwood Middle School,Edmonds School District,Lynnwood,679,372,Yes under Community Eligibility Option (CEO)
Alexander Graham Bell Elementary,Lake Washington School District,Kirkland,503,148,Yes participating without using any Provision or the CEO
Alfaretta House,Clover Park School District,Lakewood,26,19,No
Alki Elementary School,Seattle School District No. 1,Seattle,269,38,Yes participating without using any Provision or the CEO
Alki Middle School,Vancouver School District,Vancouver,594,174,Yes under Community Eligibility Option (CEO)
Allen Creek Elementary School,Marysville School District,Marysville,437,215,Yes under Community Eligibility Option (CEO)
Allen Elementary,Burlington-Edison School District,Bow,386,305,Yes under Community Eligibility Option (CEO)
Almira Coulee Hartline High School,Coulee-Hartline School District,Coulee City,102,43,Yes participating without using any Provision or the CEO
Almira Elementary School,Almira School District,Almira,129,52,Yes participating without using any Provision or the CEO
Alpac Elementary School,Auburn School District,Pacific,534,331,Yes under Community Eligibility Option (CEO)
Alpine Lakes Elementary,Cascade School District,Leavenworth,252,126,Yes participating without using any Provision or the CEO
Alternative Educational Experience,Methow Valley School District,Winthrop,26,16,No
Alternative Northeast Community Center Preschool,Spokane School District,Spokane,37,29,No
