school_name,district_name,city_name,total_students,frl_eligible_students,national_school_lunch_program,admin_approved
21st Century Preparatory School,Racine Charter One Inc,Racine,438,277,Yes under Community Eligibility Option (CEO),true
4K Center for Literacy,Kimberly Area School District,Kimberly,271,28,No,false
4K Community-Based,Reedsburg School District,Reedsburg,37,3,No,false
4K McFarland,McFarland School District,McFarland,138,21,No,false
4K PK Off Site,Madison Metropolitan School District,Madison,619,25,No,false
Abbotsford Elementary,Abbotsford School District,Abbotsford,374,264,Yes under Community Eligibility Option (CEO),false
Abbotsford Middle/Senior High,Abbotsford School District,Abbotsford,414,271,Yes under Community Eligibility Option (CEO),true
Abraham Lincoln Elementary,Monroe School District,Monroe,267,117,Yes participating without using any Provision or the CEO,false
Abrams Elementary,Oconto Falls Public School District,Abrams,287,73,Yes participating without using any Provision or the CEO,false
Academy of Accelerated Learning,Milwaukee School District,Milwaukee,493,380,Yes under Community Eligibility Option (CEO),false
Ace Alliance Charter Elementary,Neenah Joint School District,Neenah,225,21,Yes participating without using any Provision or the CEO,false
Adams Elementary,Janesville School District,Janesville,267,205,Yes under Community Eligibility Option (CEO),false
Adams-Friendship Elementary,Adams-Friendship Area School District,Adams,486,327,Yes under Community Eligibility Option (CEO),false
Adams-Friendship High,Adams-Friendship Area School District,Adams,446,245,Yes under Community Eligibility Option (CEO),true
Adams-Friendship Middle,Adams-Friendship Area School District,Adams,338,211,Yes under Community Eligibility Option (CEO),true
Addison Elementary,Slinger School District,Hartford,441,56,Yes participating without using any Provision or the CEO,false
Adeline Montessori School Inc,Adeline Montessori School Inc,Oconomowoc,211,3,Yes under Community Eligibility Option (CEO),false
Al Behrman Elementary,Baraboo School District,Baraboo,278,,Yes under Community Eligibility Option (CEO),false
Alba - Academia De Lenguaje Y Bellas Artes,Milwaukee School District,Milwaukee,593,516,Yes under Community Eligibility Option (CEO),true
Albany Community Middle,Albany School District,Albany,66,22,Yes participating without using any Provision or the CEO,false
Albany Elementary,Albany School District,Albany,159,46,Yes participating without using any Provision or the CEO,false
Albany High,Albany School District,Albany,75,17,Yes participating without using any Provision or the CEO,false
Alcott Elementary,Milwaukee School District,Milwaukee,264,196,Yes under Community Eligibility Option (CEO),true
Aldo Leopold Community School K-8,Green Bay Area Public School District,Green Bay,500,190,Yes participating without using any Provision or the CEO,false
Aldrich Intermediate,Beloit School District,Beloit,521,346,Yes under Community Eligibility Option (CEO),true
Alexander Middle,Nekoosa School District,Nekoosa,326,200,Yes participating without using any Provision or the CEO,true
Algoma Elementary,Algoma School District,Algoma,301,125,Yes participating without using any Provision or the CEO,false
Algoma High,Algoma School District,Algoma,287,119,Yes participating without using any Provision or the CEO,false
Algoma Venture Academy,Algoma School District,Algoma,35,17,Yes participating without using any Provision or the CEO,false
All District 4 Year Old Kindergarten,Racine Unified School District,Racine,103,50,No,false
Allen-Field Elementary,Milwaukee School District,Milwaukee,451,403,Yes under Community Eligibility Option (CEO),false
Allenton Elementary,Slinger School District,Allenton,417,72,Yes participating without using any Provision or the CEO,false
Alliance School of Milwaukee,Milwaukee School District,Milwaukee,141,119,Yes under Community Eligibility Option (CEO),true
Alma Elementary,Alma School District,Alma,184,62,Yes participating without using any Provision or the CEO,true
Alma High,Alma School District,Alma,80,27,Yes participating without using any Provision or the CEO,false
Almond-Bancroft Elementary,Almond-Bancroft School District,Almond,171,84,Yes participating without using any Provision or the CEO,false
Almond-Bancroft High,Almond-Bancroft School District,Almond,103,50,Yes participating without using any Provision or the CEO,false
Almond-Bancroft Middle,Almond-Bancroft School District,Almond,77,33,Yes participating without using any Provision or the CEO,true
Altoona Elementary,Altoona School District,Altoona,555,186,Yes participating without using any Provision or the CEO,false
Altoona High,Altoona School District,Altoona,551,161,Yes participating without using any Provision or the CEO,false
Altoona Intermediate,Altoona School District,Altoona,278,99,Yes participating without using any Provision or the CEO,false
Altoona Middle,Altoona School District,Altoona,394,139,Yes participating without using any Provision or the CEO,true
Amery High,Amery School District,Amery,418,134,Yes participating without using any Provision or the CEO,false
Amery Intermediate,Amery School District,Amery,260,107,Yes participating without using any Provision or the CEO,false
Amery Middle,Amery School District,Amery,275,102,Yes participating without using any Provision or the CEO,false
Amherst Elementary,Tomorrow River School District,Amherst,342,91,Yes participating without using any Provision or the CEO,false
Amherst High,Tomorrow River School District,Amherst,349,76,Yes participating without using any Provision or the CEO,false
Amherst Middle,Tomorrow River School District,Amherst,257,72,Yes participating without using any Provision or the CEO,false
Amy Belle Elementary,Germantown School District,Colgate,356,58,Yes participating without using any Provision or the CEO,false
Andrew S Douglas Middle,Milwaukee School District,Milwaukee,106,94,Yes under Community Eligibility Option (CEO),false
Anthony Acres School,Mondovi School District,Mondovi,48,15,Yes participating without using any Provision or the CEO,false
Antigo High,Antigo Unified School District,Antigo,781,366,Yes under Community Eligibility Option (CEO),false
Antigo Middle,Antigo Unified School District,Antigo,451,255,Yes under Community Eligibility Option (CEO),false
Appleton Bilingual School,Appleton Area School District,Appleton,139,55,Yes under Community Eligibility Option (CEO),false
Appleton Community 4K,Appleton Area School District,Appleton,672,304,No,false
Appleton Eschool,Appleton Area School District,Appleton,35,18,No,false
Appleton Public Montessori,Appleton Area School District,Grand Chute,149,36,Yes participating without using any Provision or the CEO,false
Appleton Technical Academy,Appleton Area School District,Appleton,68,26,Yes participating without using any Provision or the CEO,false
Appleview,Appleton Area School District,Appleton,29,6,No,false
Arbor Vitae-Woodruff Elementary,Woodruff J1 School District,Arbor Vitae,514,189,Yes participating without using any Provision or the CEO,true
Arboretum Elementary,Waunakee Community School District,Waunakee,435,14,No,false
Arcadia Elementary,Arcadia School District,Arcadia,531,439,Yes participating without using any Provision or the CEO,false
Arcadia High,Arcadia School District,Arcadia,413,265,Yes participating without using any Provision or the CEO,false
Arcadia Middle,Arcadia School District,Arcadia,359,274,Yes participating without using any Provision or the CEO,true
Argyle Elementary,Argyle School District,Argyle,150,55,Yes participating without using any Provision or the CEO,false
Argyle High,Argyle School District,Argyle,85,29,Yes participating without using any Provision or the CEO,false
Argyle Middle,Argyle School District,Argyle,62,18,Yes participating without using any Provision or the CEO,false
Arise Virtual Academy,Janesville School District,Janesville,119,55,No,false
Arrowhead High,Arrowhead UHS School District,Hartland,1950,169,Yes participating without using any Provision or the CEO,true
Asa Clark Middle,Pewaukee School District,Pewaukee,623,68,Yes participating without using any Provision or the CEO,false
Ashland High,Ashland School District,Ashland,589,319,Yes participating without using any Provision or the CEO,false
Ashland Middle,Ashland School District,Ashland,383,225,Yes participating without using any Provision or the CEO,true
Ashwaubenon High,Ashwaubenon School District,Green Bay,1024,322,Yes participating without using any Provision or the CEO,false
Assata High,Milwaukee School District,Milwaukee,78,72,Yes under Community Eligibility Option (CEO),true
Athens Elementary,Athens School District,Athens,136,61,Yes participating without using any Provision or the CEO,false
Athens High,Athens School District,Athens,108,33,Yes participating without using any Provision or the CEO,false
Athens Middle,Athens School District,Athens,79,24,Yes participating without using any Provision or the CEO,true
Atwater Elementary,Shorewood School District,Shorewood,474,115,Yes participating without using any Provision or the CEO,false
Auburndale Elementary,Auburndale School District,Auburndale,421,114,Yes participating without using any Provision or the CEO,false
