school_name,district_name,city_name,total_students,frl_eligible_students,national_school_lunch_program,admin_approved
6-12 Summers County Comprehensive HS,Summers County Schools,Hinton,627,,Yes under Community Eligibility Option (CEO),false
A. T. Allison Elementary School,Hancock County Schools,Chester,261,,Yes under Community Eligibility Option (CEO),false
Alban Elementary School,Kanawha County Schools,Saint Albans,376,,Yes under Community Eligibility Option (CEO),false
Alderson Elementary,Greenbrier County Schools,Alderson,186,,Yes under Community Eligibility Option (CEO),false
Altizer Elementary School,Cabell County Schools,Huntington,207,,Yes under Community Eligibility Option (CEO),false
Alum Creek Elementary School,Kanawha County Schools,South Charleston,151,,Yes under Community Eligibility Option (CEO),false
Andrew Jackson Middle School,Kanawha County Schools,Charleston,488,,Yes under Community Eligibility Option (CEO),false
Andrews Heights Elementary School,Kanawha County Schools,Tornado,233,,Yes under Community Eligibility Option (CEO),false
Anna Jarvis Elementary School,Taylor County Schools,Grafton,461,,Yes under Community Eligibility Option (CEO),false
Anne Bailey Elementary School,Kanawha County Schools,Saint Albans,221,,Yes under Community Eligibility Option (CEO),false
Ansted Elementary,Fayette County Schools,Ansted,178,,Yes under Community Eligibility Option (CEO),false
Arnoldsburg School,Calhoun County Schools,Arnoldsburg,139,,Yes under Community Eligibility Option (CEO),false
Arthur I Boreman Elementary School,Tyler County Schools,Middlebourne,273,,Yes under Community Eligibility Option (CEO),false
Ashford-Rumble Elementary,Boone County Schools,Ashford,140,,Yes under Community Eligibility Option (CEO),false
Ashton Elementary School,Mason County Schools,Ashton,270,,Yes under Community Eligibility Option (CEO),false
Athens Elementary School,Mercer County Schools,Athens,233,,Yes under Community Eligibility Option (CEO),false
Aurora School,Preston County Schools,Aurora,142,,Yes under Community Eligibility Option (CEO),true
B-U Middle School,Upshur County Schools,Buckhannon,718,,Yes under Community Eligibility Option (CEO),true
Back Creek Valley Elementary School,Berkeley County Schools,Hedgesville,149,,Yes under Community Eligibility Option (CEO),false
Baileysville Elementary & Middle School,Wyoming County Schools,Brenton,267,,Yes under Community Eligibility Option (CEO),true
Barboursville Middle School,Cabell County Schools,Barboursville,697,,Yes under Community Eligibility Option (CEO),false
Barrackville Elementary/Middle School,Marion County Schools,Barrackville,321,,Yes under Community Eligibility Option (CEO),false
Beale Elementary School,Mason County Schools,Gallipolis Ferry,218,,Yes under Community Eligibility Option (CEO),false
Beckley Elementary,Raleigh County Schools,Beckley,260,,Yes under Community Eligibility Option (CEO),false
Beckley-Stratton Middle School,Raleigh County Schools,Beckley,590,,Yes participating without using any Provision or the CEO,true
Bedington Elementary School,Berkeley County Schools,Martinsburg,216,,Yes under Community Eligibility Option (CEO),false
Belington Elementary,Barbour County Schools,Belington,280,,Yes under Community Eligibility Option (CEO),false
Belington Middle School,Barbour County Schools,Belington,248,,Yes under Community Eligibility Option (CEO),true
