school_name,district_name,city_name,total_students,frl_eligible_students,national_school_lunch_program,admin_approved
4-J Elementary School,Campbell County School District #1,Gillette,35,4,Yes participating without using any Provision or the CEO,false
Afflerbach Elementary,Laramie County School District #1,Cheyenne,352,240,Yes under Community Eligibility Option (CEO),false
Afton Elementary,Lincoln County School District #2,Afton,419,149,Yes participating without using any Provision or the CEO,false
Albin Elementary,Laramie County School District #2,Albin,43,27,Yes participating without using any Provision or the CEO,false
Alta Elementary,Teton County School District #1,Alta,33,5,Yes participating without using any Provision or the CEO,false
Alta Vista Elementary,Laramie County School District #1,Cheyenne,227,154,Yes participating without using any Provision or the CEO,false
Anderson Elementary,Laramie County School District #1,Cheyenne,292,103,Yes participating without using any Provision or the CEO,false
Antelope Creek School,Albany County School District #1,Laramie,2,,No,false
Arapahoe Charter High School,Fremont County School District #38,Arapahoe,54,54,Yes under Community Eligibility Option (CEO),true
Arapahoe Elementary,Fremont County School District #38,Arapahoe,392,381,Yes under Community Eligibility Option (CEO),true
Arp Elementary,Laramie County School District #1,Cheyenne,332,225,Yes under Community Eligibility Option (CEO),false
Aspen Elementary,Uinta County School District #1,Evanston,287,143,Yes participating without using any Provision or the CEO,false
Aspen Elementary School,Fremont County School District #25,Riverton,286,124,Yes participating without using any Provision or the CEO,false
Baggs Elementary,Laramie County School District #1,Cheyenne,336,217,Yes participating without using any Provision or the CEO,false
Bain Elementary,Laramie County School District #1,Cheyenne,221,158,Yes under Community Eligibility Option (CEO),false
Baldwin Creek Elementary,Fremont County School District # 1,Lander,210,77,Yes participating without using any Provision or the CEO,false
Bar Nunn Elementary,Natrona County School District #1,Casper,227,109,Yes participating without using any Provision or the CEO,false
Big Horn Elementary,Sheridan County School District #1,Big Horn,216,27,Yes participating without using any Provision or the CEO,false
Big Horn High School,Sheridan County School District #1,Big Horn,169,,No,false
Big Horn Middle School,Sheridan County School District #1,Big Horn,134,,No,false
Big Piney Elementary,Sublette County School District #9,Big Piney,138,70,Yes participating without using any Provision or the CEO,false
Big Piney High School,Sublette County School District #9,Big Piney,150,56,Yes participating without using any Provision or the CEO,false
Big Piney Middle School,Sublette County School District #9,Big Piney,105,45,Yes participating without using any Provision or the CEO,true
Black Butte High School,Sweetwater County School District #1,Rock Springs,103,50,Yes participating without using any Provision or the CEO,false
Bondurant Elementary,Sublette County School District #1,Bondurant,4,,No,false
Buffalo High School,Johnson County School District #1,Buffalo,317,76,Yes participating without using any Provision or the CEO,false
Buffalo Ridge Elementary,Laramie County School District #1,Cheyenne,153,66,Yes participating without using any Provision or the CEO,false
Buffalo Ridge Elementary,Campbell County School District #1,Gillette,413,117,Yes participating without using any Provision or the CEO,false
Burlington Elementary,Big Horn County School District #1,Burlington,119,62,Yes participating without using any Provision or the CEO,false
Burlington High School,Big Horn County School District #1,Burlington,69,33,Yes participating without using any Provision or the CEO,true
Burlington Middle School,Big Horn County School District #1,Burlington,52,31,Yes participating without using any Provision or the CEO,true
Burns Elementary,Laramie County School District #2,Burns,245,96,Yes participating without using any Provision or the CEO,false
Burns Jr & Sr High School,Laramie County School District #2,Burns,307,105,Yes participating without using any Provision or the CEO,false
C Y Middle School,Natrona County School District #1,Casper,766,284,Yes participating without using any Provision or the CEO,true
Campbell County High School,Campbell County School District #1,Gillette,1212,471,Yes participating without using any Provision or the CEO,false
Canyon Elementary School,Lincoln County School District #1,Kemmerer,331,,No,false
Carey Junior High School,Laramie County School District #1,Cheyenne,800,329,Yes participating without using any Provision or the CEO,false
Carpenter Elementary,Laramie County School District #2,Carpenter,69,32,Yes participating without using any Provision or the CEO,false
Casper Classical Academy,Natrona County School District #1,Casper,516,290,Yes participating without using any Provision or the CEO,false
Centennial Elementary,Albany County School District #1,Centennial,4,,Yes participating without using any Provision or the CEO,false
Centennial Middle School,Natrona County School District #1,Casper,755,265,Yes participating without using any Provision or the CEO,false
Central High School,Laramie County School District #1,Cheyenne,1270,238,Yes participating without using any Provision or the CEO,false
Cheyenne Classical Academy,Cheyenne Classical Academy,Cheyenne,150,,No,false
Clark Elementary,Uinta County School District #1,Evanston,194,105,Yes participating without using any Provision or the CEO,false
Clark Elementary,Park County School District # 1,Powell,14,11,Yes participating without using any Provision or the CEO,false
Clawson Elementary,Laramie County School District #1,Horse Creek,9,,No,false
Clear Creek Middle School,Johnson County School District #1,Buffalo,240,89,Yes participating without using any Provision or the CEO,false
Clearmont K-12 School,Sheridan County School District #3,Clearmont,86,,No,false
Cloud Peak Elementary,Johnson County School District #1,Buffalo,225,81,Yes participating without using any Provision or the CEO,false
Cody High School,Park County School District # 6,Cody,604,172,Yes participating without using any Provision or the CEO,false
Cody Middle School,Park County School District # 6,Cody,466,185,Yes participating without using any Provision or the CEO,false
Cokeville Elementary,Lincoln County School District #2,Cokeville,94,43,Yes participating without using any Provision or the CEO,false
Cokeville High School,Lincoln County School District #2,Cokeville,98,36,Yes participating without using any Provision or the CEO,false
Cole Elementary,Laramie County School District #1,Cheyenne,164,106,Yes under Community Eligibility Option (CEO),false
Colter Elementary,Teton County School District #1,Jackson,318,58,Yes participating without using any Provision or the CEO,false
Conestoga Elementary,Campbell County School District #1,Gillette,348,143,Yes participating without using any Provision or the CEO,false
Cottonwood Elementary,Natrona County School District #1,Casper,347,233,Yes participating without using any Provision or the CEO,false
Cottonwood Elementary,Campbell County School District #1,Wright,198,97,Yes participating without using any Provision or the CEO,false
Coyote Ridge,Laramie County School District #1,Cheyenne,415,105,Yes participating without using any Provision or the CEO,false
Crest Hill Elementary,Natrona County School District #1,Casper,234,109,Yes participating without using any Provision or the CEO,false
Crowheart Elementary,Fremont County School District # 6,Crowheart,7,,Yes under Community Eligibility Option (CEO),false
Davis Elementary,Laramie County School District #1,Cheyenne,210,84,Yes participating without using any Provision or the CEO,false
Davis Middle School,Uinta County School District #1,Evanston,309,172,Yes participating without using any Provision or the CEO,true
Dean Morgan Middle School,Natrona County School District #1,Casper,613,357,Yes participating without using any Provision or the CEO,true
Deming Elementary,Laramie County School District #1,Cheyenne,96,41,Yes participating without using any Provision or the CEO,false
Desert Elementary,Sweetwater County School District #1,Wamsutter,27,20,Yes participating without using any Provision or the CEO,false
Desert Middle School,Sweetwater County School District #1,Wamsutter,8,,Yes participating without using any Provision or the CEO,false
Desert View Elementary,Sweetwater County School District #1,Rock Springs,181,126,Yes participating without using any Provision or the CEO,false
Dildine Elementary,Laramie County School District #1,Cheyenne,298,146,Yes participating without using any Provision or the CEO,false
Douglas High School,Converse County School District #1,Douglas,511,173,Yes participating without using any Provision or the CEO,false
Douglas Intermediate School,Converse County School District #1,Douglas,229,108,Yes participating without using any Provision or the CEO,false
Douglas Middle School,Converse County School District #1,Douglas,389,149,Yes participating without using any Provision or the CEO,false
Douglas Primary School,Converse County School District #1,Douglas,210,128,Yes under Community Eligibility Option (CEO),false
Douglas Upper Elementary School,Converse County School District #1,Douglas,251,121,Yes participating without using any Provision or the CEO,false
Dry Creek Elementary,Converse County School District #1,Douglas,8,,No,true
Dubois Elementary,Fremont County School District # 2,Dubois,72,33,Yes participating without using any Provision or the CEO,false
Dubois High School,Fremont County School District # 2,Dubois,59,29,Yes participating without using any Provision or the CEO,false
Dubois Middle School,Fremont County School District # 2,Dubois,51,26,Yes participating without using any Provision or the CEO,true
East High School,Laramie County School District #1,Cheyenne,1566,476,Yes participating without using any Provision or the CEO,false
East Side Elementary,Washakie County School District #1,Worland,151,76,Yes participating without using any Provision or the CEO,false
Eastside Elementary,Park County School District # 6,Cody,294,144,Yes participating without using any Provision or the CEO,false
Eastside Elementary,Sweetwater County School District #1,Rock Springs,541,348,Yes participating without using any Provision or the CEO,false
Encampment K-12 School,Carbon County School District #2,Encampment,120,50,Yes under Community Eligibility Option (CEO),false
Etna Elementary,Lincoln County School District #2,Etna,274,93,Yes participating without using any Provision or the CEO,false
Evanston High School,Uinta County School District #1,Evanston,771,335,Yes participating without using any Provision or the CEO,false
Evanston Middle School,Uinta County School District #1,Evanston,324,174,Yes participating without using any Provision or the CEO,true
Evansville Elementary,Natrona County School District #1,Evansville,277,177,Yes participating without using any Provision or the CEO,false
Expedition Academy,Sweetwater County School District #2,Green River,35,17,Yes participating without using any Provision or the CEO,false
Fairview Elementary,Laramie County School District #1,Cheyenne,94,67,Yes under Community Eligibility Option (CEO),false
Farson-Eden Elementary,Sweetwater County School District #1,Farson,45,14,Yes participating without using any Provision or the CEO,false
Farson-Eden High School,Sweetwater County School District #1,Farson,53,17,Yes participating without using any Provision or the CEO,false
Farson-Eden Middle School,Sweetwater County School District #1,Farson,39,14,Yes participating without using any Provision or the CEO,false
Freedom Elementary,Laramie County School District #1,Cheyenne,323,112,Yes participating without using any Provision or the CEO,false
Frontier Academy,Fremont County School District #25,Riverton,42,15,Yes participating without using any Provision or the CEO,true
Ft. Caspar Academy,Natrona County School District #1,Casper,356,146,Yes participating without using any Provision or the CEO,false
Ft. Washakie Elementary,Fremont County School District #21,Ft. Washakie,255,236,Yes under Community Eligibility Option (CEO),false
Ft. Washakie High School,Fremont County School District #21,Ft. Washakie,91,91,Yes under Community Eligibility Option (CEO),true
Ft. Washakie Middle School,Fremont County School District #21,Ft. Washakie,67,67,Yes under Community Eligibility Option (CEO),true
Gannett Peak Elementary,Fremont County School District # 1,Lander,436,176,Yes participating without using any Provision or the CEO,false
Gilchrist Elementary,Laramie County School District #1,Cheyenne,129,29,Yes participating without using any Provision or the CEO,false
Glendo Elementary,Platte County School District #1,Glendo,17,7,Yes participating without using any Provision or the CEO,false
Glendo Junior High School,Platte County School District #1,Glendo,6,,Yes participating without using any Provision or the CEO,false
Glenn Livingston Elementary,Park County School District # 6,Cody,286,118,Yes participating without using any Provision or the CEO,false
Glenrock Intermediate School,Converse County School District #2,Glenrock,144,69,Yes under Community Eligibility Option (CEO),false
Glenrock Jr/Sr High School,Converse County School District #2,Glenrock,305,128,Yes under Community Eligibility Option (CEO),false
Goins Elementary,Laramie County School District #1,Cheyenne,299,202,Yes under Community Eligibility Option (CEO),false
Granger Elementary,Sweetwater County School District #2,Granger,3,,Yes participating without using any Provision or the CEO,false
Grant Elementary,Converse County School District #2,Glenrock,185,77,Yes under Community Eligibility Option (CEO),false
Green River High School,Sweetwater County School District #2,Green River,757,244,Yes participating without using any Provision or the CEO,false
Greybull Elementary,Big Horn County School District #3,Greybull,207,131,Yes participating without using any Provision or the CEO,false
