school_name,district_name,city,state,admin_approved
Deep Roots CS,Deep Roots CS,Philadelphia,PA,false
Irma Rangel Young Women's Leadership School,Dallas Isd,Dallas,TX,true
ALBA - Academia De Lenguaje Y Bellas Artes,Milwaukee School District,Milwaukee,WI,true
Roopville Elementary School,Carroll County,Roopville,GA,false
Urban Assembly Charter School for Computer Science,Urban Assembly Charter School for Computer Science,Bronx,NY,true
Booker T. Washington Hs,Tulsa,Tulsa,OK,true
Freedom High,Prince William County Public Schools,Woodbridge,VA,true
Johnson Magnet,Richmond County,Augusta,GA,true
Smith Middle School,Birmingham City,Birmingham,AL,true
Roosevelt Center,Rockford SD 205,Rockford,IL,true
Roosevelt Elem School,Chicago Heights SD 170,Chicago Heights,IL,false
Roosevelt Elem School,Dolton SD 148,Dolton,IL,false
Roosevelt Elem School,Belleville SD 118,Belleville,IL,false
Roosevelt Elem School,Moline-Coal Valley CUSD 40,Moline,IL,false
Mary K Vollmer Elementary School,Rush-Henrietta Central School District,West Henrietta,NY,false
Seventy-First High,Cumberland County Schools,Fayetteville,NC,true
Dr Cleveland Steward Jr El Sch,Gateway SD,Monroeville,PA,false
Fox Chase Sch,Philadelphia City SD,Philadelphia,PA,false
Fox Es,Fox,Fox,OK,true
Fox Twp El Sch,Saint Marys Area SD,Kersey,PA,false
Foyil Es,Foyil,Foyil,OK,false
Frances Willard #32,Scranton SD,Scranton,PA,false
Lakeland Preparatory School,Lakeland,Lakeland,TN,true
Deer Creek Elementary School,Tigard-Tualatin SD 23J,Tigard,OR,false
Hillcrest H S,Dallas Isd,Dallas,TX,true
Roosevelt Elem School,Maywood-Melrose Park-Broadview 89,Broadview,IL,false
Health Arts Robotics and Technology High School,New York City Geographic District #29,Cambria Heights,NY,true
North Hagerstown High,Washington County Public Schools,Hagerstown,MD,true
Roosevelt Elementary School,Boise Independent District,Boise,ID,false
Edward M. Kennedy Academy for Health Careers (Horace Mann,Edward M. Kennedy Academy for Health Careers (Horace Mann Ch,Boston,MA,true
Arizona College Prep High School,Chandler Unified District #80 (4242),Chandler,AZ,false
Achieve Virtual Education Academy,MSD Wayne Township,Indianapolis,IN,true
Cornerstone JeffersonDouglass Academy,Cornerstone Jefferson-Douglass Academy,Detroit,MI,true
West Junior High,Boise Independent District,Boise,ID,false
Roosevelt Elementary School,Nampa School District,Nampa,ID,false
Deer Creek Es,Deer Creek,Edmond,OK,false
Deer Creek Intermediate School,Deer Creek,Edmond,OK,false
Deer Run Elementary School,Dublin City,Dublin,OH,false
Defiance Elementary School,Defiance City,Defiance,OH,false
Shenango HS,Shenango Area SD,New Castle,PA,false
Donna H S,Donna Isd,Donna,TX,true
Fairfield Career and Technology Center,Fairfield 01,Winnsboro,SC,false
Martin H S,Arlington Isd,Arlington,TX,false
Memorial H S,Spring Branch Isd,Houston,TX,false
Adams-Friendship High,Adams-Friendship Area School District,Adams,WI,true
Magnolia H S,Magnolia Isd,Magnolia,TX,false
East High,Madison Metropolitan School District,Madison,WI,true
Life Middle Waxahachie,Life School,Red Oak,TX,true
Frontier School of Innovation,Frontier Schools,Kansas City,MO,true
Valley View High,Moreno Valley Unified,Moreno Valley,CA,true
Fairfield Comm High School,Fairfield Comm H S Dist 225,Fairfield,IL,false
Independence H S,Frisco Isd,Frisco,TX,false
DSST: Cedar High School,School District No. 1 in the County of Denver and State of C,Denver,CO,false
Mountain Home Career Academies,Mountain Home School District,Mountain Home,AR,true
Roosevelt High School,Chicago Public Schools Dist 299,Chicago,IL,true
University Preparatory Art  Design MiddleHigh,University Preparatory Art & Design,Detroit,MI,true
DeFranco El Sch,Bangor Area SD,Bangor,PA,false
Mary Lillard I S,Mansfield Isd,Mansfield,TX,false
Traverse City High School,Traverse City Area Public Schools,Traverse City,MI,true
Fairfield High,Fairfield-Suisun Unified,Fairfield,CA,true
Roosevelt Junior High School,Dolton SD 148,Dolton,IL,false
Roosevelt Middle School,Twin Lakes School Corp,Monticello,IN,true
Deibler El Sch,Pennridge SD,Perkasie,PA,false
Del City Es,Midwest City-Del City,Del City,OK,false
Girls HS,Philadelphia City SD,Philadelphia,PA,true
Thomas Edison Preparatory Hs,Tulsa,Tulsa,OK,true
Central H S,San Angelo Isd,San Angelo,TX,true
Fairfield Central High,Fairfield 01,Winnsboro,SC,true
Garland Elementary,Milwaukee School District,Milwaukee,WI,true
Resiliency Preparatory Academy,Fall River,Fall River,MA,true
Ma Academy for Math and Science School,Ma Academy for Math and Science,Worcester,MA,false
Jahn Elem School,Chicago Public Schools Dist 299,Chicago,IL,false
O'Bryant School of Math & Science,Boston,Roxbury,MA,true
Vaughn Next Century Learning Center,Vaughn Next Century Learning Center District,San Fernando,CA,true
Is 584,New York City Geographic District # 7,Bronx,NY,true
DSST: Montview Middle School,School District No. 1 in the County of Denver and State of C,Denver,CO,true
A D Oliver Middle School,Brockport Central School District,Brockport,NY,true
Acton-Boxborough Regional High,Acton Boxborough,Acton,MA,false
Lee's Summit Sr. High,Lee's Summit R-Vii,Lee's Summit,MO,false
Roosevelt Middle School,Bellwood SD 88,Bellwood,IL,false
Delaware Valley El Sch,Delaware Valley SD,Matamoras,PA,false
Delcroft Sch,Southeast Delco SD,Folcroft,PA,true
Sotomayor Arts and Sciences Magnet,Los Angeles Unified,Los Angeles,CA,true
Heritage High,Perris Union High,Romoland,CA,true
Fairfield Jr-Sr High School,Fairfield Community Schools,Goshen,IN,false
Roosevelt School,River Forest SD 90,River Forest,IL,false
Roosevelt STEAM Academy,Elkhart Community Schools,Elkhart,IN,false
